"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","dayIdentified","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","169566","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Gochnatia","hatschbachii","Gochnatia hatschbachii","Cabrera","isotype","G. G. Hatschbach","29951","1972","08","06","South America","Brazil","Minas Gerais","Jaboticatubas","Serra do Cipó","-43.539757","-19.388386","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=561531' target='other'> <mi>dwc_moreinfo</mi></a>","NY00169566","NY00169566_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","860221","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Moquiniastrum","hatschbachii","Moquiniastrum hatschbachii","(Cabrera) G.Sancho",NA,"B. Maguire","49194","1960","08","13","South America","Brazil","Minas Gerais",NA,"20-30 km South of Gouveia, on road between Diamantina and Curvelo.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=945361' target='other'> <mi>dwc_moreinfo</mi></a>","NY00860221","NY00860221_01","K. A. Freitas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-10-09 11:10:57-03","UFBA","ALCB","121581","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Moquiniastrum","hatschbachii","Moquiniastrum hatschbachii","(Cabrera) G.Sancho",NA,"Loeuille, B; Mello-Silva, R de; Lovo, J; Alcantara, S","582","2011","11","17","Southern America","Brasil","Minas Gerais","Serro","Capivari. Subida do Pico do Itambé. Margem de um córrego.","-43.373889","-18.389722",NA,"até 1,5 m. Capítulos velhos.",NA,NA,"Loeuille, B","2012","01","-43.373889","-18.389722","1285","1285",NA,NA,NA,NA,NA
"4","2019-10-09 11:10:57-03","UFBA","ALCB","78320","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Moquiniastrum","hatschbachii","Moquiniastrum hatschbachii","(Cabrera) G.Sancho",NA,"Farinnaccio, MA; Furlan, A; Scatena, VL; Cardoso, VA; Rosa, MM","54","1997","06","07","Southern America","Brasil","Minas Gerais","Santana do Riacho","Cardeal. Serra do cipó. Próximo â estatua do Juquinha. Km 120.","-43.7144012451172","-19.1688995361328",NA,"Flores brancas.; Campo Rupestre.","ALCB033002","ALCB033002","Roque, N","2016","07",NA,NA,NA,NA,"26557","auto",NA,NA,NA
"5","2020-12-20 21:15:57-03","UFV","VIC","50712","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Moquiniastrum","hatschbachii","Moquiniastrum hatschbachii","(Cabrera)",NA,"I. M. Franco; Andrino, C. .O.; Marques, D.; Araújo, I. .M.; Silva, K. .R.","1067","2012","09","18",NA,"Brasil","Minas Gerais","Diamantina","Parque Estadual do Biribiri, Córrego do Mocotó","-43","-18",NA,"Ao lado de curso d'água em solo arenoso pedregoso. Arvoreta. Flores creme amareladas com cheiros adocicado de mal. Pápus coe de palha. Presença de flor e fruto.; Ao lado de curso d'água em solo arenoso pedregoso. Arvoreta. Flores creme","VIC050712","VIC050712","I. M. Franco",NA,NA,"-43","-18","1053","1053",NA,NA,NA,NA,NA
"6","2019-11-21 14:31:50-03","UFJF","CESJ","67640","PreservedSpecimen","Plantae","Angiosperma",NA,"Asteraceae","Gochnatia","hatschbachii","Gochnatia hatschbachii","Cabrera","Isotypus","G. Hatschbach","29951","1972","08","06","América do Sul","Brasil","Minas Gerais","Jaboticatubas","Serra do Cipó","-43.7449989318848","-19.513599395752",NA,"Arbusto 2m, capítulos creme, margem de córrego, zona de campo.","CESJ067640","CESJ067640","A. Cabrera","1974",NA,NA,NA,NA,NA,"31264","auto",NA,NA,NA
"7","2019-11-27 13:46:18-03","UFS","ASE","33720","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Moquiniastrum","hatschbachii","Moquiniastrum hatschbachii","(Cabrera) G. Sancho",NA,"Franco, IM; Andrino, CO; Marques, D; Araújo, IM; Silva, KR","1064","2012","09","18","Southern America","Brasil","Minas Gerais","Diamantina","Parque Estadual do Biribiri, Saída do Córrego da Taioba","-43.36533","-18.08428",NA,"Arvoreta decumbente com ca. de 2m em fenda de rocha em afloramento rochoso. invólucro esverdeado. Flores passadas.","ASE0036677","ASE0036677",NA,NA,NA,"-43.36533","-18.08428",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-01 16:24:17-03","UNICAMP","UEC","129531","S","Plantae","Magnoliopsida",NA,"Asteraceae","Gochnatia","hatschbachii","Gochnatia hatschbachii","Cabrera",NA,"Yamamoto, K; Kinoshita, LS; Costa, IR; Verola, CF; Rio, MCS; Nakakura, HCC","C203","2002","09","27",NA,"Brazil","Minas Gerais",NA,"Morro do Breu, subida para cachoeira. 19°06'57S; 43°40'17W.",NA,NA,NA,"Arbusto ca. 2,0m; sem flores; frutos com âquenios dourados.","UEC123855","UEC123855","Semir, J; Monge, M","2010","05",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-08-20 10:05:40-03","UNICAMP","UEC","129806","S","Plantae","Magnoliopsida",NA,"Asteraceae","Gochnatia","hatschbachii","Gochnatia hatschbachii","Cabrera",NA,"Lewinsohn, TM; Silva, J; Prado, P; Santos, A","PIC96796","1996","09","11",NA,"Brazil","Minas Gerais","Santana do Riacho","Serra do Cipó","-43.57","-19.298056",NA,NA,"UEC123877","UEC123877",NA,NA,NA,"-43.57","-19.298056",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-01 16:24:17-03","UNICAMP","UEC","27959","S","Plantae","Magnoliopsida",NA,"Asteraceae","Gochnatia","hatschbachii","Gochnatia hatschbachii","Cabrera",NA,"Giulietti, AM; Semir, J; et al.","21510","1981","08","29",NA,"Brazil","Minas Gerais","Gouveia","Fazenda Contagem. 13 Km direita. Curvelo-Diamantina.","-43.964","-18.594333",NA,"Capítulos alvos.","UEC123850","UEC123850","Roque, N","1993","10","-43.964","-18.594333",NA,NA,NA,NA,"04",NA,NA
