"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","phylum","order","continentOcean","preparationType","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","minimumDepthInMeters","maximumDepthInMeters","sex"
"1","2021-04-05 14:25:13-03","UNESC","CRI","3665","PreservedSpecimen","Plantae","Euphorbiaceae","Actinostemon","concolor","Actinostemon concolor","(Spreng.) Müll.Arg.","R. Záchia","1993","R. Záchia; J. L. Reck","1469","1993","10","03","Brasil","Rio Grande do Sul","São Borja","Estância das bonitas.","-56.004722","-28.661111","56º0'17''W","28º39'40''S","Habitat: mata ciliar Habito: arvoreta","CRI002254","CRI002254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-08 15:16:31-03","UNESC","CRI","14736","PreservedSpecimen","Plantae","Euphorbiaceae","Actinostemon","concolor","Actinostemon concolor","(Spreng.) Müll.Arg.","Vanilde Citadini-Zanette","2000","Jairo J. Zocche; Rogério & Marinalda",NA,"2000","09","30","Brasil","Santa Catarina","Turvo",NA,"-49.681944","-28.928056","49º40'55''W","28º55'41''S","Habito: Arbóreo","CRI014061","CRI014061","11","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:29-03","UNESC","CRI","1671","PreservedSpecimen","Plantae","Euphorbiaceae","Actinostemon","concolor","Actinostemon concolor","(Spreng.) Müll.Arg.","Daniel B. Falkenberg",NA,"V. Citadini-Zanette; C. M. Martinello","1562","1993","03","02","Brasil","Santa Catarina","Orleans","rio novo.","-49.291667","-28.359444","49º17'30''W","28º21'34''S","Habitat: interior da mata Habito: árvore","CRI002283","CRI002283",NA,NA,"110","110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:14-03","UNESC","CRI","4986","PreservedSpecimen","Plantae","Euphorbiaceae","Actinostemon","concolor","Actinostemon concolor","(Spreng.) Müll.Arg.","Denise de Bem Bez",NA,"Denise de Bem Bez",NA,"1996","10","13","Brasil",NA,"Brasil",NA,"-49.700278","-29.136667","49º42'1''W","29º8'12''S",NA,"CRI002271","CRI002271",NA,NA,"2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:13-03","UNESC","CRI","1993","PreservedSpecimen","Plantae","Euphorbiaceae","Actinostemon","concolor","Actinostemon concolor","(Spreng.) Müll.Arg.","L. B. Smith",NA,"R. M. Klein","5717","1964","09","01","Brasil",NA,"Brasil","Peperí, Paraíso.","-53.516667","-26.724444","53º31'0''W","26º43'28''S","Habitat: mata Habito: arvoreta","CRI002263","CRI002263",NA,NA,"600","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:29-03","UNESC","CRI","11708","PreservedSpecimen","Plantae","Euphorbiaceae","Actinostemon","concolor","Actinostemon concolor","(Spreng.) Müll.Arg.","Vanilde C. Zanette","2016","Vanilde C. Zanette; Beatriz Buogo, Renato Colares e Peterson Padilha",NA,"2016","02","03","Brasil","Santa Catarina","Orleans","Parque Estadual da Serra Furada.","-49.285278","-28.368333","49º17'7''W","28º22'6''S","Habito: árvore","CRI008645","CRI008645","02","03","100","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:29-03","UNESC","CRI","399","PreservedSpecimen","Plantae","Euphorbiaceae","Actinostemon","concolor","Actinostemon concolor","(Spreng.) Müll.Arg.","V. C. Zanette",NA,"Vanilde Citadini Zanette; F. M. Bastos","816","1987","12","21","Brasil","Santa Catarina","Turvo",NA,"-49.679444","-28.926667","49º40'46''W","28º55'36''S",NA,"CRI002259","CRI002259",NA,NA,"30","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:33:29-03","UNESC","CRI","1263","PreservedSpecimen","Plantae","Euphorbiaceae","Actinostemon","concolor","Actinostemon concolor","(Spreng.) Müll.Arg.","J. J. Zocche",NA,"J. J. Zocche",NA,"1990","09","24","Brasil","Santa Catarina","Forquilhinha","Parque Ecológico.","-49.4725","-28.748056","49º28'21''W","28º44'53''S","Habitat: beira da mata Habito: arbusto","CRI002279","CRI002279",NA,NA,"28","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:33:29-03","UNESC","CRI","3836","PreservedSpecimen","Plantae","Euphorbiaceae","Actinostemon","concolor","Actinostemon concolor","(Spreng.) Müll.Arg.","J. A. Jarenkow",NA,"J. A. Jarenkow; J. L. Waechter","456","1986","09","29","Brasil","Rio Grande do Sul","Capão do Leão","Horto Botânico Ir. Teodoro Luiz.","-52.484167","-31.763889","52º29'3''W","31º45'50''S","Habitat: interior da mata arenosa Habito: arvoreta","CRI002248","CRI002248",NA,NA,"21","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:25:13-03","UNESC","CRI","1967","PreservedSpecimen","Plantae","Euphorbiaceae","Actinostemon","concolor","Actinostemon concolor","(Spreng.) Müll.Arg.","L. B. Smith",NA,"R. M. Klein","5656","1964","08","29","Brasil","Santa Catarina","Itapiranga",NA,"-53.7125","-27.17","53º42'45''W","27º10'12''S",NA,"CRI002261","CRI002261",NA,NA,"200","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
