"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","recordNumber","minimumElevationInMeters","maximumElevationInMeters","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","typeStatus"
"1","2021-04-08 15:16:32-03","UNESC","CRI","3900","PreservedSpecimen","Plantae","Salicaceae","Banara","tomentosa","Banara tomentosa","Clos","Jarenkow, J. A.","1994","11","28","Jarenkow, J. A.","1988","12","01","Brasil","Rio Grande do Sul","Canguçu","Mata de galeria, próxima a ponte BR 392. Interior de mata","-52.686389","-31.395556","52º41'11''W","31º23'44''S","Flor branca-amarelada Habito: Arvoreta","CRI013796","CRI013796",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:34:08-03","UNESC","CRI","9999","PreservedSpecimen","Plantae","Salicaceae","Banara","tomentosa","Banara tomentosa","Clos","F. Gonzatti",NA,NA,NA,"F. Gonzatti","2012","01","30","Brasil","Rio Grande do Sul","Bento Gonçalves","Linha 40 da Graciema.","-51.519444","-29.171944","51º31'10''W","29º10'19''S","Habitat: mata ciliar","CRI009745","CRI009745","655","400","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:26:04-03","UNESC","CRI","10206","PreservedSpecimen","Plantae","Salicaceae","Banara","tomentosa","Banara tomentosa","Clos","M. G. Caxambu","2010","01","25","M. G. Caxambu; E.L. Siqueira","2009","11","13","Brasil","Paraná","Turvo","Arredores.","-51.52155","-25.03665","51º31'293''W","25º2'199''S","Floresta Ombrófila Mista Montana","CRI009748","CRI009748","2889","1008","1008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:34:08-03","UNESC","CRI","5287","PreservedSpecimen","Plantae","Salicaceae","Banara","tomentosa","Banara tomentosa","Clos","J. A. Jarenkow",NA,NA,NA,"J. A. Jarenkow; C. F. N. Widholzer","1994","12","14","Brasil","Rio Grande do Sul","Capão do Leão","Campus UFPEL/EMBRAPA.","-52.484167","-31.763889","52º29'3''W","31º45'50''S","Habitat: mata de restinga arenosa Habito: arvoreta","CRI009744","CRI009744","2470","21","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:34:08-03","UNESC","CRI","8520","PreservedSpecimen","Plantae","Salicaceae","Banara","tomentosa","Banara tomentosa","Clos","A. L. Gaspar","2009","05","01","S. Dreveck; F. E. Carneiro","2008","12","12","Brasil","Santa Catarina","Seara",NA,"-52.303056","-27.156389","52º18'11''W","27º9'23''S",NA,"CRI009746","CRI009746","480",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:34:08-03","UNESC","CRI","5335","PreservedSpecimen","Plantae","Salicaceae","Banara","tomentosa","Banara tomentosa","Clos","J. A. Jarenkow",NA,NA,NA,"J. A. Jarenkow","1991","11","17","Brasil","Rio Grande do Sul","Marcelino Ramos","Mata do Sétimo Céu.","-51.906667","-27.462222","51º54'24''W","27º27'44''S","Habitat: borda de mata pluvial Habito: árvore","CRI009743","CRI009743","1946",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","374717","PreservedSpecimen","Plantae","Salicaceae","Banara","tomentosa","Banara tomentosa","Clos","H. O. Sleumer",NA,NA,NA,"L. B. Smith","1956","12","25","Brazil","Santa Catarina","Xanxerê","Pinheiral and ruderal 17 km north of Abelardo Luz","-52.4042","-26.8769",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=568938' target='other'> <mi>dwc_moreinfo</mi></a>","NY00374717","NY00374717_01","9205","500","600","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","374703","PreservedSpecimen","Plantae","Salicaceae","Banara","tomentosa","Banara tomentosa","Clos","A. L. Bernardi",NA,NA,NA,"P. K. H. Dusén","1909","02","26","Brazil","Paraná","Irati","Iraty","-50.6508","-25.4672",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=568943' target='other'> <mi>dwc_moreinfo</mi></a>","NY00374703","NY00374703_01","7801",NA,NA,"Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","374706","PreservedSpecimen","Plantae","Salicaceae","Banara","tomentosa","Banara tomentosa","Clos",NA,NA,NA,NA,"F. Sellow",NA,NA,NA,"Brazil","Rio Grande do Sul",NA,NA,NA,NA,NA,NA,"Collector's name on the sheet is 'Sello'. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=568947' target='other'> <mi>dwc_moreinfo</mi></a>","NY00374706","NY00374706_01","3291",NA,NA,"Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","374701","PreservedSpecimen","Plantae","Salicaceae","Banara","tomentosa","Banara tomentosa","Clos","J. C. Lindeman",NA,NA,NA,"J. C. Lindeman",NA,NA,NA,"Brazil","Paraná","Foz do Iguaçu","Parque Nacional do Iguaçú; road in rainforest near Aranha","-54.5881","-25.5481",NA,NA,"s.d. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=568941' target='other'> <mi>dwc_moreinfo</mi></a>","NY00374701","NY00374701_01","3414",NA,NA,"Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
