"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","recordNumber","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","class","relatedCatalogItem","individualCount","fieldNumber","typeStatus","sex"
"1","2021-04-05 14:34:09-03","UNESC","CRI","12867","PreservedSpecimen","Plantae","Sapindaceae","Dodonaea","viscosa","Dodonaea viscosa","Jacq.","Renato Colares","2018","03","12","Alexandre Medeiros","2017","08","31","Brasil","Santa Catarina","Balneário Camboriú","Praia do Estaleiro.","-48.637778","-27.001389","48º38'16''W","27º0'5''S","Coleta 712. Fruto castanho. Habito: Arbustivo","CRI011475","CRI011475",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:34:09-03","UNESC","CRI","4315","PreservedSpecimen","Plantae","Sapindaceae","Dodonaea","viscosa","Dodonaea viscosa","Jacq.","Vanilde Citadini-Zanette",NA,NA,NA,"Valdemar P. Boff","1995","11","14","Brasil","Santa Catarina","Içara",NA,"-49.300278","-28.713889","49º18'1''W","28º42'50''S",NA,"CRI009937","CRI009937","273",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:26:06-03","UNESC","CRI","11553","PreservedSpecimen","Plantae","Sapindaceae","Dodonaea","viscosa","Dodonaea viscosa","Jacq.","M. Verdi","2009","11","05","M. Verdi; A.L. Tomazi & G. Klemz","2009","11","05","Brasil","Santa Catarina","Siderópolis","Barragem do Rio São Bento.","-49.59","-28.62","49º35'24''W","28º37'12''S","Floresta Ombrófila Densa Habitat: entorno do fragmento Habito: arbustiva","CRI009770","CRI009770","2997","479","479",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:34:09-03","UNESC","CRI","3941","PreservedSpecimen","Plantae","Sapindaceae","Dodonaea","viscosa","Dodonaea viscosa","Jacq.","J. A. Jarenkow",NA,NA,NA,"J. A. Jarenkow","1990","08","26","Brasil","Rio Grande do Sul","Pelotas",NA,"-52.342778","-31.7725","52º20'34''W","31º46'21''S",NA,"CRI009772","CRI009772","1702",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:34:09-03","UNESC","CRI","14209","PreservedSpecimen","Plantae","Sapindaceae","Dodonaea","viscosa","Dodonaea viscosa","Jacq.","Korte, A","2010","12","15","Korte, A.","2010","12","15","Brasil","Santa Catarina","Florianópolis","Praia da Daniela.","-48.516111","-27.596667","48º30'58''W","27º35'48''S","Coleta Extra IFFSC (Arbusto) Habitat: Restinga; Habito: arbustiva;","CRI013372",NA,"5679","5","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:34:09-03","UNESC","CRI","112","PreservedSpecimen","Plantae","Sapindaceae","Dodonaea","viscosa","Dodonaea viscosa","Jacq.","Bruno Irgang",NA,NA,NA,"Vanilde Citadini-Zanette; Márcia Butuhy","1989","07",NA,"Brasil","Santa Catarina","Jaguaruna",NA,"-49.025833","-28.615556","49º1'33''W","28º36'56''S",NA,"CRI009935","CRI009935",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:26:06-03","UNESC","CRI","527","PreservedSpecimen","Plantae","Sapindaceae","Dodonaea","viscosa","Dodonaea viscosa","Jacq.","Vanilde Citadini- Zanette",NA,NA,NA,"V. P. Boff","1997","08","01","Brasil","Santa Catarina","Araranguá","Lot. Paiquere, Morro dos Conventos.","-49.486111","-28.935278","49º29'10''W","28º56'7''S",NA,"CRI009769","CRI009769",NA,"13","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:34:09-03","UNESC","CRI","362","PreservedSpecimen","Plantae","Sapindaceae","Dodonaea","viscosa","Dodonaea viscosa","Jacq.","Vanilde Citadini-Zanette",NA,NA,NA,"Vanilde Citadini-Zanette; M. D. Butuhy","1987","10","08","Brasil","Santa Catarina","Imbituba",NA,"-48.670556","-28.240556","48º40'14''W","28º14'26''S",NA,"CRI009773","CRI009773","728",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:34:09-03","UNESC","CRI","4090","PreservedSpecimen","Plantae","Sapindaceae","Dodonaea","viscosa","Dodonaea viscosa","Jacq.","Vanilde Citadini-Zanette",NA,NA,NA,"Valdemar P. Boff","1995","09","12","Brasil","Santa Catarina","Içara",NA,"-49.300278","-28.713889","49º18'1''W","28º42'50''S",NA,"CRI009942","CRI009942","61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:26:06-03","UNESC","CRI","14267","PreservedSpecimen","Plantae","Sapindaceae","Dodonaea","viscosa","Dodonaea viscosa","Jacq.","Sobral, M","2010","10","25","Verdi, M.; Souza, N.L. de; Klemz, G. & Klettenberg, D.H.","2010","06","10","Brasil","Santa Catarina","Paulo Lopes","Sertão do Campo/Parque Estadual da Serra do Tabuleiro. Sertão do Campo/Parque Estadual da Serra do Tabuleiro.","-48.755833","-27.893333","48º45'21''W","27º53'36''S","Florística IFFSC 226 (Arbusto) Habitat: Floresta Ombrófila Densa; Estágio mosaicos de inicial, médio a avançado; interior do fragmento Habito: arbustiva; Fruto vermelho;","CRI013371",NA,"4952","295","295",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
