"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","county","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","class","coordinatePrecision","geoFlag","dayIdentified","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","800783","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","ulei","Mikania ulei","Hieron.","C. T. Oliveira","C. Moura",".n.","1965","07","15","South America","Brazil","São Paulo","Registro, nas adjacências do aeroporto","-47.84168","-24.531728","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=286234' target='other'> <mi>dwc_moreinfo</mi></a>","NY00800783","NY00800783_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","811729","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","ulei","Mikania ulei","Hieron.","P. K. H. Dusén","P. K. H. Dusén","17124","1915","08","17","South America","Brazil","Paraná","Jacarehý","-49.7056","-24.2511","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=803821' target='other'> <mi>dwc_moreinfo</mi></a>","NY00811729","NY00811729_01","Jaguariaíva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","801013","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","ulei","Mikania ulei","Hieron.","G. M. Barroso","W. Hoehne","3885","1953","07","16","South America","Brazil","São Paulo","Caraguatatuba","-45.4097","-23.6203","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=37786' target='other'> <mi>dwc_moreinfo</mi></a>","NY00801013","NY00801013_01","Caraguatatuba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01240706","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","ulei","Mikania ulei","Hieron.","M. M. M. Lopes","M. M. M. Lopes","1150","2007","03","13","South America","Brazil","Bahia","Serra da Pedra Lascada. 13,7 km de Barro Preto, na estrada que passa pela Fazenda São Miguel, em direção a serra","-39.2028","-14.7703","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1463004' target='other'> <mi>dwc_moreinfo</mi></a>","NY01240706","NY01240706_01","Barro Preto","860","860",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","811728","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","ulei","Mikania ulei","Hieron.","P. K. H. Dusén","P. K. H. Dusén","10149","1910","08","21","South America","Brazil","Paraná","Alexandra.","-48.631716","-25.548936","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=803820' target='other'> <mi>dwc_moreinfo</mi></a>","NY00811728","NY00811728_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","801012","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","ulei","Mikania ulei","Hieron.","W. Hoehne","W. Hoehne","2626","1948","07","27","South America","Brazil","São Paulo","Próximo a Interlagos","-46.702004","-23.702324","sheet","sem registro <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=37787' target='other'> <mi>dwc_moreinfo</mi></a>","NY00801012","NY00801012_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","806692","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","ulei","Mikania ulei","Hieron.","M. Borgo","M. Borgo","413","1999","07","27","South America","Brazil","Santa Catarina","Reserva Volta Velha. (ponto 4).","-48.65","-26.15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=803392' target='other'> <mi>dwc_moreinfo</mi></a>","NY00806692","NY00806692_01","Itapoá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","801011","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","ulei","Mikania ulei","Hieron.","G. M. Barroso","M. Kuhlmann","s.n.","1954","07",NA,"South America","Brazil","São Paulo","Boracéa","-45.886229","-23.65179","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=37785' target='other'> <mi>dwc_moreinfo</mi></a>","NY00801011","NY00801011_01","Salesópolis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-02-18 09:28:53-03","UNESP-IBB","BOTU","11834","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Mikania","ulei","Mikania ulei","Hieron.","Sobral, M.","Sobral, M.","2059","1983","06",NA,NA,"Brasil","Rio Grande do Sul",NA,NA,NA,NA,"Trepadeira em interior de mata","BOTU011834","BOTU011834","Torres",NA,NA,"9999","9999",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-08 17:37:06-03","EAO","IAN","76458","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Mikania","ulei","Mikania ulei","Hieron.",NA,"Ule, EHG","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,"IAN076458",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-10-09 11:10:56-03","UFBA","ALCB","128918","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Mikania","ulei","Mikania ulei","Hieron.","Gaio, J","Gaio, J; Demeda, C; Gonzatti, F","407","2015","07","11","Southern America","Brasil","Rio Grande do Sul","Fazenda do arroio","-50.362778","-29.976944",NA,"bordo da mata paludosa","ALCB046455","ALCB046455","Osório","8","8","-50.362778","-29.976944","2015","08",NA,NA,NA,NA,NA,NA
"12","2019-10-09 11:10:56-03","UFBA","ALCB","039805","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Mikania","ulei","Mikania ulei","Hieron.","Barroso, GM","Hoehne, W","3885","1953","07","16","Southern America","Brasil","São Paulo","Martim de Sá","-45.4","-23.616667",NA,"Volúvel. Flores alvas.",NA,NA,"Caraguatatuba",NA,NA,"-45.4","-23.616667",NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-10-09 11:10:56-03","UFBA","ALCB","76051","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Mikania","ulei","Mikania ulei","Hieron.","Liro, RM","Amorim, AMA; Jardim, JG; Paixão, JL da; Moura, F; Sant'Ana, SC de","4778","2005","02","07","Southern America","Brasil","Bahia","Litoral Sul, Serra da Pedra Lascada. 13,7 km de Barro Preto, na estrada que possa pela Faz. São Miguel em direção à serra","-39.202778","-14.770278",NA,"Ca. 6m alt. Folíolos verdes, brácteas verdes, papus alvo.",NA,NA,"Barro Preto","600","600","-39.202778","-14.770278",NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-02-08 08:50:37-03","NBC","NL-BOTANY","L.3734689","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Mikania","ulei","Mikania ulei","Hieron.",NA,"Ritter MR",NA,"2001","08","11","Southern America","Brazil",NA,"RS - Torres, mata do Faxinal, face norte.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3734689 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3734689","NL-L3734689",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"15","2020-11-04 11:01:57-03","ESALQ","ESA","20903","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Mikania","ulei","Mikania ulei",NA,"Hind, N.","Monteiro, C.A. et al.","13.0","1994","09","08",NA,"Brasil","São Paulo",NA,"-47.9199981689453","-25.0100002288818",NA,NA,"ESA020903","ESA020903","Cananéia",NA,NA,NA,NA,NA,NA,NA,"37574","auto",NA,NA,NA
"16","2020-11-04 11:01:57-03","ESALQ","ESA","37015","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Mikania","ulei","Mikania ulei","Hieron.","Hoehne, W.","Hoehne, W.","2626.0","1948","07","27",NA,"Brasil","São Paulo",NA,"-46.6300010681152","-23.5400009155273",NA,NA,"ESA037015","ESA037015","São Paulo",NA,NA,NA,NA,NA,NA,NA,"53584","auto",NA,NA,NA
"17","2020-11-04 11:01:57-03","ESALQ","ESA","20937","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Mikania","ulei","Mikania ulei","Hieron.",NA,"Wongtschowski, M. et al.","29.0","1994","09","06",NA,"Brasil","São Paulo",NA,"-47.9199981689453","-25.0100002288818",NA,NA,"ESA020937","ESA020937","Cananéia",NA,NA,NA,NA,NA,NA,NA,"37574","auto",NA,NA,NA
"18","2020-11-04 11:01:57-03","ESALQ","ESA","39922","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Mikania","ulei","Mikania ulei","Hieron.","Barroso, G.M.","Hoehne, W.","3885.0","1953","07","16",NA,"Brasil","São Paulo",NA,"-45.4099998474121","-23.6200008392334",NA,NA,"ESA039922","ESA039922","Caraguatatuba",NA,NA,NA,NA,NA,NA,NA,"30093","auto",NA,NA,NA
"19","2020-11-04 11:01:57-03","ESALQ","ESA","84531","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Mikania","ulei","Mikania ulei","Hieron.","Rother, D.C","Aguiar, A.C.; Silva, R.R.; Pereira, Z.V.; Cerqueira, R.M.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Paula-Souza, J.; Muniz, M.","191.0","2003","04","20",NA,"Brasil","São Paulo","Parque Estadual Intervales, trilha da Caçadinha, com início na estrada do Carmo.Vegetação Secundária Capoeirão de Floresta Ombrófila Densa Montana com intensa exploração de palmito e madeira.","-482.509","-241.639",NA,"Liana com capítulos esbranquiçados e estames lilás","ESA084531","ESA084531","Ribeirão Grande","780","780","-482,509","-241,639",NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-11-04 11:01:57-03","ESALQ","ESA","40045","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Mikania","ulei","Mikania ulei","Hieron.","Robinson, H.","Silva, J.M. ; Cervi, A.C.","589.0","1989","04","26",NA,"Brasil","Paraná",NA,"-48.834400177002","-25.476900100708",NA,NA,"ESA040045","ESA040045","Morretes",NA,NA,NA,NA,NA,NA,NA,"30514","auto",NA,NA,NA
"21","2020-11-04 11:01:57-03","ESALQ","ESA","55322","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Mikania","ulei","Mikania ulei","Hieron.","Loeuille, B.","Loeuille, B.","230.0","2007","04","09",NA,"Brasil","Santa Catarina","Fazenda das Ovelhas. Sub-bosque.","-49.8731002807617","-27.9528007507324",NA,"Liana. Flores cremes.","ESA055322","ESA055322","Urupema","1557","1557",NA,NA,"2007","04",NA,"23096","auto","09",NA,NA
"22","2020-11-04 11:01:57-03","ESALQ","ESA","55288","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Mikania","ulei","Mikania ulei","Hieron","Loeuille, B.","Loeuille, B.","196.0","2007","04","06",NA,"Brasil","Santa Catarina","Fazenda Farofa, trilha da estrada do meio. Vegetação secundária de Floresta Ombrófila Mista.","-49.9444007873535","-27.7444000244141",NA,"Liana. Ramos e brácteas verde-claras. Flores amarelo-esverdeadas.","ESA055288","ESA055288","Bocaina do Sul","1317","1317",NA,NA,"2007","04",NA,"18696","auto","06",NA,NA
"23","2016-02-02 14:37:57-02","BGBM","B","B 10 0002130","S","Plantae",NA,NA,"Compositae","Mikania","ulei","Mikania ulei",NA,NA,"Rau","29835",NA,NA,NA,"Middle and South America","Brazil",NA,"RGS, Livramento.",NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100002130 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100002130","B100002130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2019-02-15 11:34:23-02","IPA","IPA","77061","S","Plantae","Plantae",NA,"Asteraceae","Mikania","ulei","Mikania ulei","Hieron.","Gaio, J.","Gaio, J.; Demeda, C.; Gonzatti, F.; Demeda, C.; Gonzatti, F.","407","2015","07","11","Southern America","Brasil","Rio Grande do Sul","Fazenda do Arroio.","-50.212778","-29.976944",NA,"Volúvel.; Borda de mata paludosa.","IPA0077061","IPA0077061","Osório","8","8","-50.212778","-29.976944","2015","08",NA,NA,NA,"04",NA,NA
