"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","recordedBy","recordNumber","year","month","day","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","barcode","imagecode","dayIdentified","typeStatus","fieldNumber","class"
"1","2019-06-10 10:10:50-03","FZB-BH","CVJBFZB","3466","S","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Actinocephalus","ciliatus","Actinocephalus ciliatus","(Bong.) Sano","Luiz Gluck","2014","08","Brasil","Minas Gerais","Presidente Kubitschek","Distrito de Andrequicé, Comunidade Andrequicé.","-43.562198638916","-18.6144008636475","79390552","6441397","13347","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00898039","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Actinocephalus","ciliatus","Actinocephalus ciliatus","(Bong.) Sano","M. L. O. Trovó",NA,NA,"Brazil","Minas Gerais","Serro","Just north of Milho Verde","-43.4889","-18.4611",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=965747' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"N. Hensold","331","1981","12","03","South America","1100","1100","sheet","NY00898039","NY00898039_01",NA,NA,NA,NA
"3","2020-01-28 13:11:10-03","MCN-PUC-MINAS","HPUC-MG","ANG2131","S","Plantae",NA,NA,"Eriocaulaceae","Actinocephalus","ciliatus","Actinocephalus ciliatus",NA,"Lívia Echternacht","2015","03","Brasil","Minas Gerais","Serro","Báu","-43.3793983459473","-18.604700088501",NA,NA,"37754","Folhas em roseta, pêlo branco na base da folha, Pecíolo piloso, inflorecência branca, 3 estames, sepalas brancas, petalas sem pelo x 0657006 y 7948852.","auto","Juliana Lima Passos Rezende",NA,"2013","10","14",NA,NA,NA,NA,NA,NA,"25",NA,NA,NA
"4","2020-11-04 11:06:56-03","ESALQ","ESA","22058","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Eriocaulaceae","Actinocephalus","ciliatus","Actinocephalus ciliatus",NA,"Andrade, E.L.","2009",NA,"Brasil","Minas Gerais","Presidente Kubitschek",NA,"-43.562198638916","-18.6144008636475",NA,NA,"13347",NA,"auto","Souza, V.C. et al.","8481.0","1995","03","13",NA,NA,NA,NA,"ESA022058","ESA022058",NA,NA,NA,NA
"5","2020-11-04 11:06:57-03","ESALQ","ESA","19051","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Eriocaulaceae","Paepalanthus","ciliatus","Paepalanthus ciliatus",NA,"Trovó, M.L.O.","2009",NA,"Brasil","Minas Gerais","Serro",NA,"-43.3793983459473","-18.604700088501",NA,NA,"37754",NA,"auto","Souza, V.C. et al.","8342.0","1995","03","11",NA,NA,NA,NA,"ESA019051","ESA019051",NA,NA,NA,NA
"6","2016-02-02 14:38:04-02","BGBM","B","B 10 0247691","S","Plantae",NA,NA,"Eriocaulaceae","Actinocephalus","ciliatus","Actinocephalus ciliatus","Sano",NA,NA,NA,"Brazil",NA,NA,"In glareosis arenosis q. pr. Cachoeira.",NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100247691 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>",NA,"L. Riedel","1183","1824","12",NA,"Middle and South America",NA,NA,NA,"B100247691","B100247691",NA,"isotype",NA,NA
"7","2020-12-20 21:16:53-03","UFV","VIC","15792","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Actinocephalus","ciliatus","Actinocephalus ciliatus","(Bong.) Sano","Giulietti, A.M.","2000","05","Brasil","Minas Gerais","Milho Verde","distrito do Serro, Cachoeira do Moinho",NA,NA,NA,NA,NA,"População crescendo em solo arenoso próximo a um afloramento rochoso ao lado da referida cachoeira",NA,"Chaves, A.L.F.","s.n.","1996","02","28",NA,NA,NA,NA,"VIC015792","VIC015792",NA,NA,NA,NA
"8","2019-11-06 10:13:52-03","UFOP","OUPR","29486","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Actinocephalus","ciliatus","Actinocephalus ciliatus","(Bong.) Sano","Echternacht, L.; Stutzel, T.","2015","03","Brasil","Minas Gerais","Serro","Capivari, Trilha para o Pico do Itambé.","-43.385556","-18.394722","-43.385556","-18.394722",NA,"População abundante por toda a região, composta por milhares de indivíduos. Floração em período intermediário.; Campo rupestre, vegetação herbácea rala, solo arenoso quartzoso branco.",NA,"Echternacht, L.; et al.","2624","2015","03","03",NA,"1219","1219",NA,NA,NA,"03",NA,NA,NA
"9","2020-12-21 16:23:37-03","MBM","MBM","105056","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Paepalanthus","ciliatus","Paepalanthus ciliatus","(Bong.) Kunth","Giulietti, A.M.",NA,NA,"Brazil","Minas Gerais","Presidente Kubitschek","Trinta Reis","-43.562198638916","-18.6144008636475",NA,NA,"13347",NA,"auto","Hatschbach, G.; Silva, J.M.; Silva, J.M.","50253","1985","11",NA,"Southern America",NA,NA,NA,"MBM105056",NA,NA,NA,NA,NA
"10","2015-09-03 21:20:18-03","MNHN","RECOLNAT_MNHN_P","P01641819","PreservedSpecimen",NA,NA,NA,"Eriocaulaceae","Actinocephalus","ciliatus","Actinocephalus ciliatus","(Bong.) Sano",NA,NA,NA,"Brésil","Minas Gerais",NA,"Bresil. Minas Gerais, Sudeste, Brasil, América do Sul",NA,NA,NA,NA,NA,". s.d. Voyage d´ Auguste de Saint-Hilaire, de 1816 à 1821 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01641819' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Saint-Hilaire, A. de",NA,NA,NA,NA,NA,NA,NA,"hb","P01641819","P01641819_01",NA,NA,"13 2134",NA
