"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","preparationType","occurrenceRemarks","barcode","imagecode","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","identifiedBy","individualCount","class","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","1031029","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Maytenus","basidentata","Maytenus basidentata","Reissek","isoneotype","L. Riedel","s.n.","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1141684' target='other'> <mi>dwc_moreinfo</mi></a>","NY01031029","NY01031029_01 NY01031029_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-09-05 10:44:33-03","MNHN","RECOLNAT_MNHN_P","P05585954","PreservedSpecimen",NA,NA,NA,"Celastraceae","Maytenus","basidentata","Maytenus basidentata","Reissek",NA,"Riedel",NA,NA,"Brasil","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05585954' target='other'> <mi>dwc_moreinfo</mi></a>","P05585954","P05585954_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-09-05 10:44:33-03","MNHN","RECOLNAT_MNHN_P","P05585955","PreservedSpecimen",NA,NA,NA,"Celastraceae","Maytenus","basidentata","Maytenus basidentata","Reissek",NA,"Riedel",NA,NA,"Brasil","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05585955' target='other'> <mi>dwc_moreinfo</mi></a>","P05585955","P05585955_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2015-09-05 10:44:33-03","MNHN","RECOLNAT_MNHN_P","P05585958","PreservedSpecimen",NA,NA,NA,"Celastraceae","Maytenus","basidentata","Maytenus basidentata","Reissek",NA,"Riedel",NA,NA,"Brasil","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05585958' target='other'> <mi>dwc_moreinfo</mi></a>","P05585958","P05585958_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2015-09-05 10:44:33-03","MNHN","RECOLNAT_MNHN_P","P05585957","PreservedSpecimen",NA,NA,NA,"Celastraceae","Maytenus","basidentata","Maytenus basidentata","Reissek",NA,"Nadeaud",NA,NA,"Brasil","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05585957' target='other'> <mi>dwc_moreinfo</mi></a>","P05585957","P05585957_01","1862","9","1","Rio de Janeiro","Rio de Janeiro","Bois de Copa-cabana","-43.2075004577637","-22.9027996063232","57442","auto",NA,NA,NA,NA
"6","2015-09-05 10:44:33-03","MNHN","RECOLNAT_MNHN_P","P05585956","PreservedSpecimen",NA,NA,NA,"Celastraceae","Maytenus","basidentata","Maytenus basidentata","Reissek",NA,"Nadeaud",NA,NA,"Brasil","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05585956' target='other'> <mi>dwc_moreinfo</mi></a>","P05585956","P05585956_01","1862","8","1","Rio de Janeiro","Rio de Janeiro","Copacabana","-43.2075004577637","-22.9027996063232","57442","auto",NA,NA,NA,NA
"7","2020-07-29 13:38:00-03","MO","MOBOT","100287484","PreservedSpecimen","Plantae",NA,NA,"Celastraceae","Monteverdia","basidentata","Monteverdia basidentata","(Reissek) Biral",NA,"Ludwig Riedel","Riedel s.n.","South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R.Liesner (MO)","1",NA,NA
"8","2020-07-29 13:38:00-03","MO","MOBOT","1879934","PreservedSpecimen","Plantae",NA,NA,"Celastraceae","Monteverdia","basidentata","Monteverdia basidentata","(Reissek) Biral","Not a Type","Ludwig Riedel","Riedel s.n.","South America","Brazil",NA,NA,NA,NA,"1821",NA,NA,NA,NA,NA,NA,NA,NA,NA,"R.Liesner (MO)","1",NA,NA
"9","2020-09-12 05:00:02-03","US","US","16366","PreservedSpecimen","Plantae",NA,"Celastrales","Celastraceae","Maytenus","basidentata","Maytenus basidentata","Reissek in Mart.","Possible Type","L. Reidel","s.n.","South America - Neotropics","Brazil",NA,"Annotated in unknown hand, Type coll.?","US00930603","US00930603_01",NA,NA,NA,NA,NA,"Brasilia. [Protologue, Habitat in prov. Rio de Janeiro in silvaticis prope urbem principalem: Luschnath.]",NA,NA,NA,NA,NA,"1","Dicotyledonae",NA
"10","2020-09-12 05:00:02-03","US","US","16367","PreservedSpecimen","Plantae",NA,"Celastrales","Celastraceae","Maytenus","basidentata","Maytenus basidentata","Reissek in Mart.",NA,"L. Riedel","s.n.","South America - Neotropics","Brazil",NA,NA,"US01866886","US01866886_01 US01866886_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA
