"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","class","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","typeStatus","individualCount","fieldNumber","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","1843343","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lychnophora","markgravii","Lychnophora markgravii","G.M.Barroso","J. Semir","A. P. Duarte","13263","1970","09","19","South America","Brazil","Minas Gerais","Serra do Grao Mogol","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2050000' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843343","NY01843343_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1843344","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lychnophora","markgravii","Lychnophora markgravii","G.M.Barroso","J. Semir","G. G. Hatschbach","41478","1978","07","22","South America","Brazil","Minas Gerais","Grao Mogol, arredores","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2050002' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843344","NY01843344_01","Grão Mogol","-42.8943","-16.5648",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","894818","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lychnophora","markgravii","Lychnophora markgravii","G.M.Barroso",NA,"J. R. Pirani","4635","2000","03","24","South America","Brazil","Minas Gerais","Serra do Cabral, alto da serra na estrada para Várzea da Palma, ca. 20.5 km da ponte do Rio da Onça, Armazém das Lajes, frente à Capelinha.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966045' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894818","NY00894818_01","Lassance","-44.28","-17.68","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","860257","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lychnophora","markgravii","Lychnophora markgravii","G.M.Barroso","B. Loeuille","G. G. Hatschbach","41221","1978","04","20","South America","Brazil","Minas Gerais","Arredores, Minas Gerais","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=944376' target='other'> <mi>dwc_moreinfo</mi></a>","NY00860257","NY00860257_01","Grão Mogol","-42.8944","-16.56475",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","894819","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lychnophora","markgravii","Lychnophora markgravii","G.M.Barroso",NA,"A. M. V. de Carvalho","6554","1998","08","02","South America","Brazil","Minas Gerais","Atrás da cidade. Trilha do Barão.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966049' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894819","NY00894819_01","Grão Mogol","-42.895","-16.5517",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:34:55-03","EAO","IAN","105551","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Lychnophora","markgravii","Lychnophora markgravii","G.M.Barroso","Barroso, GM","Magalhães, MG","5937","1953","11","20","Southern America","Brasil","Minas Gerais","Serra do Cabral. Nas pedras da base da serra do Cabral.",NA,"Árvore de 6-8m de altura, esparsa; flor alva. Regular.","IAN105551",NA,"Buenópolis","-44.1800003051758","-17.8733005523682",NA,NA,"42854","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-11-25 16:50:14-03","UFBA","ALCB","030565","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Maschalostachys","markgrafii","Maschalostachys markgrafii","(G.M. Barroso) Loeuille & N.Roque","Roque, N; Locuille, B","Mello-Silva, R de; et al.","516","1991","06","15","Southern America","Brasil","Minas Gerais","Encosta leste da Serra da Canastra, rochas no alto da Cachoeira da Noruega.",NA,"Arvoreta até 5 m alt., sobre rochas ao lado do rio. Flores passadas. Comum","ALCB036658","ALCB036658 ALCB036658_1","Botumirim","-43.010799407959","-16.872200012207",NA,NA,"39434","auto","2019",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-11-25 16:50:14-03","UFBA","ALCB","09584","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Maschalostachys","markgrafii","Maschalostachys markgrafii","(G.M. Barroso) Loeuille & N.Roque","Semir, J","Semir, J; Chukr, NS; Menezes, NL; Melo-Silva, R; Cavalcanti, TB","CFCR9606","1986","02","25","Southern America","Brasil","Minas Gerais","Margens de córrego à saída na cidade, na estrada para o rio Ventania",NA,"&nf;; Arbusto candelabriforme (hábito de Cecropia) até 5 m alt., crescendo entre rochas. Flores lilás-claro, anteras roxas.","ALCB036657","ALCB036657","Grão Mogol","-42.8897018432617","-16.5594005584717","900","1000","67219","auto","1987",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 08:50:19-03","NBC","NL-BOTANY","U.1136771","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Lychnophora","markgravii","Lychnophora markgravii","G.M.Barroso",NA,"Hatschbach GG; Schinini A; Silva JM",NA,"1996","04","14","Southern America","Brazil",NA,"Serra do Cabral (mun. Joaquim Felicio) Mina Gerais.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1136771 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1136771","NL-U1136771",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 08:50:19-03","NBC","NL-BOTANY","U.1136772","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Lychnophora","markgravii","Lychnophora markgravii","G.M.Barroso",NA,"Hatschbach GG; Schinini A; Silva JM",NA,"1996","04","14","Southern America","Brazil",NA,"Serra do Cabral (mun. Joaquim Felicio) Mina Gerais.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1136772 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1136772","NL-U1136772",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
