"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","day","infraspecificEpithet","class","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","eventTime","coordinatePrecision","geoFlag","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","404973","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","pachyclada","Eugenia pachyclada","D.Legrand","type","R. Reitz","3190","South America","Brazil","Santa Catarina","Palhoça","Piloes, Palhoça","-48.694057","-27.77489","350","350","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=556606' target='other'> <mi>dwc_moreinfo</mi></a>","NY00404973","NY00404973_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","580011","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","pachyclada","Eugenia pachyclada","D.Legrand",NA,"R. Reitz","3797","South America","Brazil","Santa Catarina","Palhoça","Piloes, Palhoça.","-48.694057","-27.77489","350","350","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=556605' target='other'> <mi>dwc_moreinfo</mi></a>","NY00580011","NY00580011_01","C. M. D. E. Legrand","1956","09","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","580010","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","pachyclada","Eugenia pachyclada microphylla","O.Berg",NA,"D. S. D. de Araújo","7970","South America","Brazil","Rio de Janeiro","Arraial do Cabo","Rr. do Foguete, nas dunas.","-42.0278","-22.9661",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=396735' target='other'> <mi>dwc_moreinfo</mi></a>","NY00580010","NY00580010_01","G. M. Barroso","1987","08","24","microphylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 10:06:25-03","NBC","NL-BOTANY","L.2508896","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Eugenia","pachyclada","Eugenia pachyclada","D.Legrand",NA,"Reitz R; Klein RM",NA,"Southern America","Brazil",NA,NA,"Santa Catarina. Pilões, Palhoça. Mata. Arbusto.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2508896 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2508896","NL-L2508896",NA,"1956","05","03",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 10:06:25-03","NBC","NL-BOTANY","L.2508897","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Eugenia","pachyclada","Eugenia pachyclada","D.Legrand",NA,"Reitz R; Klein RM",NA,"Southern America","Brazil",NA,NA,"Santa Catarina. Pilões, Palhoça. Mata (na rocha). Arbusto.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2508897 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2508897","NL-L2508897",NA,"1956","09","28",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-11-08 08:53:48-03","FURB","FURB","4002","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","pachyclada","Eugenia pachyclada","D.Legrand",NA,"Pozzobon, M.",NA,NA,"Brasil","Santa Catarina","Indaial","PCH.","-49.2036111","-26.8833333","59","59",NA,NA,"FURB02463","FURB02463","Sobral, M","2004","06","01",NA,NA,"2009","07","17","-49.2036111","-26.8833333",NA,NA,NA,NA
"7","2019-11-08 08:53:48-03","FURB","FURB","48041","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","pachyclada","Eugenia pachyclada","D.Legrand",NA,"Oliveira, A.A. de","2824",NA,"Brasil","Santa Catarina","Ponte Alta","Ponte Altinha.","-50.2336111","-27.3611111","1150","1150",NA,NA,"FURB48041","FURB48041","Oliveira, AA de","2015","09","13",NA,NA,"2015","09","13","-50.2336111","-27.3611111",NA,NA,NA,NA
"8","2014-10-14 15:56:58-03","BS","M","M-0171077","S","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","pachyclada","Eugenia pachyclada","D.Legrand","PARATYPE","Klein, R.M.",NA,NA,"Brasil",NA,NA,"Santa Catarina, Pilões. Palhoca",NA,NA,NA,NA,NA,NA,"M0171077",NA,NA,"1956","09","27",NA,"Magnoliopsida",NA,NA,NA,NA,NA,"21:00",NA,NA,NA
"9","2020-12-21 16:36:37-03","MBM","MBM","7668","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","pachyclada","Eugenia pachyclada","D.Legrand",NA,"Hatschbach, G.","19675","Southern America","Brazil","Paraná","Guaratuba","Rio Saí","-48.5746994018555","-25.8827991485596",NA,NA,NA,NA,"MBM007668","MBM007668 MBM007668_1","Legrand, D.","1968","09","05",NA,NA,NA,NA,NA,NA,NA,NA,"41937","auto",NA
"10","2018-06-22 05:25:00-03","MO","MOBOT","2483503","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","pachyclada","Eugenia pachyclada","D. Legrand",NA,"Pe. Raulino Reitz","Reitz 3190","South America","Brazil","Santa Catarina",NA,"Palhoça. Piloes",NA,NA,"350.00000000",NA,NA,NA,NA,NA,NA,"1956","5","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
