"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","recordNumber","continentOcean","typeStatus","class"
"1","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","570","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Canistrum","pickelii","Canistrum pickelii","(A.Lima & L.B.Sm.) Leme & J.A.Siqueira","Elton. C. M. Leme","2009","05","Elton M. C. Leme; J. A. Siqueira; Gregory K. Brown","2000","11","17","Brasil","Pernambuco","Jaqueira","Serra do Quengo, Usina Frei Caneca (Colônia)","-35.7933006286621","-8.72667026519775","11830","2","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-01-14 15:25:46-03","MN","R","225076","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Canistrum","pickelii","Canistrum pickelii","(Andrade-Lima & L.B. Sm.) Leme & J.A.Siqueira","Couto, D.R.","2014","05","Couto, D.R. 2721; Paixão-Souza, B. & Kessous, I.M.","2014","04","17","Brasil","Pernambuco","Jaqueira","Serra do Espelho","-35.845556","-8.733333",NA,NA,NA,NA,"27","35°50'44W","8°44'00S","709","709","R010000755,R010000756","R010000755 R010000756",NA,NA,NA,NA
"3","2020-08-17 12:30:41-03","UFPI","TEPB","9627","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Portea","pickelii","Portea pickelii","A .Lima & L.B. Sm.","G. M. Sousa",NA,NA,"K. N. Yoshida Arns","1996","02","14","Brasil","Pernambuco","Maraial","Engenho Nabuco. 12 Km a leste da cidade","-35.8088989257812","-8.78250026702881","17320",NA,"Herbáceo; brácteas laranja Ambiente: Mata <ll>dwc_commonname:</ll> Gravatá","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-02-15 11:35:36-02","IPA","IPA","21319","S","Plantae","Plantae",NA,"Bromeliaceae","Canistrum","pickelii","Canistrum pickelii","(Andrade-Lima & L.B. Sm.) Leme & J.A. Siqueira","Siqueira-Filho, J.A.",NA,NA,"Andrade-Lima","1970","10","10","Brasil","Pernambuco","Gravatá","Faz. Harmonia. Baixada encharcada.","-35.5647010803223","-8.20110988616943","19146",NA,"Epífita; folhas verde cl. , c/ manchas roxas; base da folha arroxeada externamente e grande mancha roxo-avermelhado internamente. Inflorescências c/ brácteas am.alaranj. e base verde claro; fl. am. alaranjado.","auto",NA,NA,NA,NA,NA,"IPA0021319",NA,"706023","Southern America",NA,NA
"5","2019-02-15 11:35:36-02","IPA","IPA","13347","S","Plantae","Plantae",NA,"Bromeliaceae","Canistrum","pickelii","Canistrum pickelii","(Andrade-Lima & L.B. Sm.) Leme & J.A. Siqueira",NA,NA,NA,"Andrade-Lima","1963","12","26","Brasil","Pernambuco","São Lourenço da Mata","Engenho São Bento, Mata do Camocim, sombra da mata baixa e aberta.","-35.0182991027832","-8.00222015380859","21764",NA,"Fol. verdes, com dorso + cla. Infl. verde com escamas argênteas. Flôe alva.(Inédita).","auto",NA,NA,NA,NA,NA,"IPA0013347","IPA0013347","63-4198","Southern America","HOLOTYPE",NA
"6","2019-02-15 11:35:37-02","IPA","IPA","3488","S","Plantae","Plantae",NA,"Bromeliaceae","Portea","pickelli","Portea pickelli","Andrade-Lima & L.B. Sm.","Smith, L.B.","1970",NA,"Pickel, B.","1927","12",NA,"Brasil","Pernambuco","São Lourenço da Mata","Tapera, São Bento. Mata e Capoeira.","-35.0182991027832","-8.00222015380859","21764",NA,NA,"auto",NA,NA,NA,NA,NA,"IPA0003488",NA,"266","Southern America",NA,NA
"7","2019-02-15 11:35:37-02","IPA","IPA","29325","S","Plantae","Plantae",NA,"Bromeliaceae","Portea","pickelli","Portea pickelli","Andrade-Lima & L.B. Sm.","Wanderley, M.G.L.","1985","10","Andrade-Lima","1972","10","06","Brasil","Pernambuco","Cortez",NA,NA,NA,NA,NA,NA,NA,"13",NA,NA,NA,NA,"IPA0029325",NA,"72-7031","Southern America",NA,NA
"8","2019-02-15 11:35:37-02","IPA","IPA","21320","S","Plantae","Plantae",NA,"Bromeliaceae","Portea","pickelli","Portea pickelli","Andrade-Lima & L.B. Sm.","Smith, L.B.","1972","02","Andrade-Lima","1970","10","10","Brasil","Pernambuco","Gravatá","Fazenda Harmonia. Baixada enchercada.","-35.5647010803223","-8.20110988616943","19146",NA,"Epífita; folhas verde cl. com manchas roxas; base da folha arroxeada externamente e grande mancha roxo-avermelhado internamente. Inflorescências com brácteas amarelo-alaranjado, e base verde claro; Flôr amarelo alaranjado.","auto","12",NA,NA,NA,NA,"IPA0021320",NA,"70-6023","Southern America",NA,NA
"9","2020-04-22 16:25:58-03","UFPB","JPB","63768","PreservedSpecimen","Plantae","Angiosperma","Monocotyledon","Bromeliaceae","Canistrum","pickelii","Canistrum pickelii","(A.Lima & L.B.Sm.) Leme & J.A. Siqueira","Naédja-Luna","2015","01","Luna, NK; Bazante, ML; Medeiros, MC; Silva, FP","2016","01","05","Brasil","Pernambuco","Jaqueira","Pedra Cruzeiro, Serra do Urubu","-36","-8",NA,NA,"Erva com folhas discolores, bainha alva, base vináceae, ápice verde, inflorescência amarela; HABITAT: Mata Atlântica",NA,"05","-36","-8",NA,NA,"JPB0063768",NA,"181","Southern America",NA,NA
"10","2020-04-22 16:25:58-03","UFPB","JPB","46477","PreservedSpecimen","Plantae","Angiosperma","Monocotyledon","Bromeliaceae","Canistrum","pickelii","Canistrum pickelii","(A.Lima & L.B.Sm.) Leme & J.A. Siqueira","Pontes, RA","2011","04","Viana, JL","2011","03","11","Brasil","Pernambuco","Lagoa dos Gatos","RPPN Pedra D'Anta, Preta Flor","-35.9","-8.658333",NA,NA,"; DESC: Epifita, inflor alaranjada",NA,"01","-35.9","-8.658333","464","464",NA,NA,"266","Southern America",NA,NA
