"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","occurrenceRemarks","barcode","imagecode","phylum","coordinatePrecision","geoFlag","order","minimumElevationInMeters","maximumElevationInMeters","class"
"1","2019-10-25 11:37:58-03","IECOS","HBRA","10887","S","Plantae","Blechnaceae","Blechnum","heringeri","Blechnum heringeri","Brade","J. P. Pallos","2010","09","01","J. P. Pallos","64","2010","07","02","América do Sul","Brasil","Pará","Monte Alegre","Serra do Itauajuri","-5.6734","-1.8505","-5.67340000","-1.85050000","exsicata","Terrestre no barranco na beira do córrego, igarapé Janaí.","HBRA0008877","HBRA0008877",NA,NA,NA,NA,NA,NA,NA
"2","2019-10-25 11:37:58-03","IECOS","HBRA","10886","S","Plantae","Blechnaceae","Blechnum","heringeri","Blechnum heringeri","Brade","J. P. Pallos","2010","09","01","J. P. Pallos","71","2010","07","02","América do Sul","Brasil","Pará","Monte Alegre","Serra do Itauajuri","-5.6734","-1.8505","-5.67340000","-1.85050000","exsicata","Terrestre no barranco na beira do córrego, igarapé Janaí.","HBRA0009051","HBRA0009051",NA,NA,NA,NA,NA,NA,NA
"3","2019-11-21 14:51:37-03","UFJF","CESJ","61864","PreservedSpecimen","Plantae","Blechnaceae","Blechnum","heringeri","Blechnum heringeri","Brade","V.A.O. Dittrich","2013","02",NA,"G. Heringer; A.M.Silva","s.n.","2013","01","23","América do Sul","Brasil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, Santuário do Raizama","-47.5099983215332","-14.1324996948242",NA,NA,NA,"Planta em barranco ao lado da trilha.","CESJ061864",NA,"Polypodiopsida","44724","auto",NA,NA,NA,NA
"4","2020-10-01 14:14:57-03","JBB","HEPH","15288","S","Plantae","Blechnaceae","Blechnum","heringeri","Blechnum heringeri","Brade","Dittrich, VAO",NA,NA,NA,"Rodrigues Júnior, CE","1377","1999","09","17","Southern America","Brasil","Distrito Federal","Riacho Fundo","Fazenda Sucupira Região entre Recanto das Emas e Riacho Fundo","-47.869444","-15.864444","-47.869444","-15.864444",NA,"Terrestre em barranco local bem seco",NA,NA,NA,NA,NA,"Polypodiales","1150","1150",NA
"5","2019-10-07 09:38:42-03","UEFS","HUEFS","189198","PreservedSpecimen","Plantae","Blechnaceae","Blechnum","heringeri","Blechnum heringeri","Brade","V.A. de O.Dittrich","2014","10",NA,"Pallos, J.P.","64","2010","07","02",NA,"Brasil","Pará","Monte Alegre","Serra do Itauajuri.","-54.045","-1.850556","54W2'42''","1S51'2''",NA,NA,"HUEFS0189198","HUEFS0189198","Pteridophyta",NA,NA,"Polypodiales",NA,NA,"Polypodiopsida"
"6","2019-11-07 11:15:27-03","UFMG","BHCB-SL","156956","PreservedSpecimen","Plantae","Blechnaceae","Blechnum","heringeri","Blechnum heringeri","Brade","Salino, A","2012","02","09","Salino, A; Silva, LVC; Arruda, AJ; Paula, LFA de; Alves, T; Gontijo, ML","15151","2012","02","09","América","Brasil","Pará","Canaã dos Carajás","Floresta Nacional de Carajás, Serra do Tarzan","-50.116667","-6.318333","-50.116667","-6.318333",NA,"Floresta Ombrófila Densa",NA,NA,NA,NA,NA,NA,"540","540",NA
"7","2019-11-07 11:15:27-03","UFMG","BHCB-SL","145460","PreservedSpecimen","Plantae","Blechnaceae","Blechnum","heringeri","Blechnum heringeri","Brade","Dittrich, VAO","2011","02",NA,"Mota, NFO; Santos, FM; Arruda, AJ; Santos, AMO; Silva, LVC","1921","2010","12","16","América","Brasil","Pará","Parauapebas","Serra da Bocaina","-49.922222","-6.291667","-49.922222","-6.291667",NA,"Vegetação rupestre (granito)",NA,NA,NA,NA,NA,NA,"600","600",NA
"8","2021-01-12 15:23:46-03","UFMG","BHCB-SL","104462","PreservedSpecimen","Plantae","Blechnaceae","Blechnum","heringeri","Blechnum heringeri","Brade","Dittrich, VAO; Salino, A","2007","02",NA,"Salino, A; Almeida, TE; Heringer, G","11593","2007","01","31","América","Brasil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra; Capão Forro, Capão Forro, Cachoeira da Mata. Área de Cerrado com Floresta Estacional Semidecidual chegando às margens do rio e Mata de Galeria.","-46.40725","-20.253306","-46.40725","-20.253306",NA,"Terrestre na borda de Mata de Galeria. PRENSADO EM ÁLCOOL.",NA,NA,NA,NA,NA,NA,"970","970",NA
"9","2021-01-12 15:23:46-03","UFMG","BHCB-SL","159337","PreservedSpecimen","Plantae","Blechnaceae","Blechnum","heringeri","Blechnum heringeri","Brade","Dittrich, VAO; Pallos, JP","2010","09",NA,"Pallos, JP; Pietrobom, MR","64","2010","06","02","América","Brasil","Pará","Monte Alegre","Serra do Itauajuri","-52.045111","-1.8505","-52.045111","-1.8505",NA,"Terrestre, no barranco na beira do córrego, igarapé Janaí.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-01-12 15:23:46-03","UFMG","BHCB-SL","97772","PreservedSpecimen","Plantae","Blechnaceae","Blechnum","heringeri","Blechnum heringeri","Brade","Almeida, TE; Dittrich, VAO; Salino, A","2006","02",NA,"Salino, A; Almeida, TE; Heringer, G; Melo, LCN","10743","2006","02","04","América","Brasil","Minas Gerais","Paracatu","Reserva de Acangaú, Capão da Gariroba. Mata de Galeria do Córrego Guariroba.","-47.115222","-17.204028","-47.115222","-17.204028",NA,"Terrestre em Mata de Galeria. PRENSADO EM ÁLCOOL.",NA,NA,NA,NA,NA,NA,"700","700",NA
