"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","continentOcean","country","stateProvince","locality","occurrenceRemarks","barcode","imagecode","phylum","recordNumber","year","month","day","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters"
"1","2020-02-08 08:54:42-03","NBC","NL-BOTANY","U 0102188","PreservedSpecimen","Plantae","Magnoliopsidae","Caryophyllales","Cactaceae","Frailea","mammifera","Frailea mammifera","Buining & Brederoo","holotype","Horst L; Uebelmann W","Southern America","Brazil","Rio Grande do Sul","Brazil; Rio Grande do Sul; Santiago.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200102188 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0102188","NL-U0102188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-07 09:18:39-03","UEFS","HUEFS","104875","PreservedSpecimen","Plantae","Caryophyllanae","Caryophyllales","Cactaceae","Frailea","mammifera","Frailea mammifera","Buining & Brederoo",NA,"Machado, M.",NA,"Brasil","Rio Grande do Sul","ca. 23 km ao norte de Dom Pedrito na RS-630 em direção a São Gabriel.",NA,"HUEFS0104875","HUEFS0104875","Angiospermae","548","2005","11","10","Dom Pedrito","-54.521944","-30.840833","54W31'19''","30S50'27''","234","234"
