"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","phylum","imagecode","continentOcean"
"1","2020-11-26 18:07:09-03","CPAN-UFMS","COR","4117","PreservedSpecimen","Plantae","Asteraceae","Aspilia","grazielae","Aspilia grazielae","J.U.Santos","G.A. Damasceno-Junior","Bortolotto, I.M.; Damasceno Jr, G.A.","264","1994","06","01","Brasil","Mato Grosso do Sul","Ladário","Morro do Urucum.","-57.608889","-19.194444","57º36'32''W","19º11'40''S","900","900","Com Flor: amarela Habito: Erva",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-02 16:28:35-03","CPAN-UFMS","COR","5975","PreservedSpecimen","Plantae","Asteraceae","Aspilia","grazielae","Aspilia grazielae","J.U.Santos","Damasceno-Júnior, G. A.","Damasceno-Júnior, G. A.; Velasques, J. S.; Urquiza, M. V. & Carvalho, T. L.","2861","2002","02","06","Brasil","Mato Grosso do Sul","Corumbá","Fazenda Paraíso","-57.594722","-19.199722","57º35'41''W","19º11'59''S","800","800","Arbusto, 2 m de altura; flor amarela Habito: Arbusto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-02 16:28:35-03","CPAN-UFMS","COR","4025","PreservedSpecimen","Plantae","Asteraceae","Aspilia","grazielae","Aspilia grazielae","J.U.Santos","J.Nakajima","Damasceno Jr, G.A.; Semir, J.N.","789","1995","04","30","Brasil","Mato Grosso do Sul","Ladário","Morro do Urucum.","-57.608889","-19.194444","57º36'32''W","19º11'40''S","700","700","Habito: Arbusto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-26 18:07:09-03","CPAN-UFMS","COR","13669","PreservedSpecimen","Plantae","Asteraceae","Aspilia","grazielae","Aspilia grazielae","J.U.Santos",NA,"Ishii, I. H.; Alves, F. M.; Urquiza, M. V. S. & Porfírio, G. E. O.","506","2004","06","23","Brasil","Mato Grosso do Sul","Corumbá","Morro Santa Cruz; Mineração Corumbaense; Área 2, Mina da Escarpa, lado oeste","-57.572778","-19.1975","57º34'22''W","19º11'51''S","809","809","Erva, 1 m de altura; flor amarelada; folha coriácea Habito: Erva",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-26 18:07:09-03","CPAN-UFMS","COR","12341","PreservedSpecimen","Plantae","Asteraceae","Aspilia","grazielae","Aspilia grazielae","J.U.Santos",NA,"Tameirão-Neto, E.","4305","2006","02","16","Brasil","Mato Grosso do Sul","Corumbá","Morro Urucum; Urucum Mineração S.A.","-57.609722","-19.233056","57º36'35''W","19º13'59''S","88","88","Arbustivo Habito: Arbustivo",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-19 10:22:48-03","CPAP","CPAP","18879","PreserverdSpecimen","Plantae","Asteraceae","Aspilia","grazielae","Aspilia grazielae","J.U.Santos",NA,"Pott, A.","8285","2000","06","02","Brasil","MS","Corumbá","Mineração Corumbaense (Grupo Rio Tinto); morro Santa Cruz, Serra do Urucum","-57.65","-19.016667","57°39' W","19°01' S","1000","1000","Arbusto 0,7-2,0m de altura. FLOR: capítulo amarelo. FRUTO: . INTERESSE: Revegetação. FREQUÊNCIA: Frequente. AMBIENTE: Rejeito de mineração revegetado com Melinis. SUBSTRATO: solo litólico (minério de Fe). RELEVO: topo de morro.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-19 10:23:16-03","CPAP","CPAP","22346","PreserverdSpecimen","Plantae","Cyperaceae","Aspilia","grazielae","Aspilia grazielae","J.U.Santos","J. U. Moreira dos Santos","Pott, V. J.","7441","2005","11","16","Brasil","MS","Corumbá","MCR (Mineração Corumbaense Reunidas), Rio Tinto.","-57.5725","-19.198056","57°34'21 W","19°11'53 S","850","850","Arbusto 1,5-3,0m alt com flores de cor amarela.. . Frequente.. Cerrado. Solo: minérios de ferro. Relevo: inclinado.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-07 11:41:17-03","UFMS","CGMS","19408","PreservedSpecimen","Plantae","Asteraceae","Aspilia","grazielae","Aspilia grazielae","J.U.Santos","A. Pott; G.A. Damasceno-Junior","M.L. Bueno; E.O. Rocha-Júnior; A.F. Souza; F. Belan","474","2007","05","08","Brasil","Mato Grosso do Sul","Corumbá","Maciço do Urucum.","-57.5863889","-19.205","-57,5863889","-19,205",NA,NA,"Flor amarela. Habitat: Cerrado. Comum. Habito: Erva.","CGMS1048719",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-07 11:41:17-03","UFMS","CGMS","40810","PreservedSpecimen","Plantae","Asteraceae","Aspilia","grazielae","Aspilia grazielae","J.U.Santos","A. Ferraro","A. Ferraro","167","2013","07","03","Brasil","Mato Grosso do Sul","Corumbá","Maciço do Urucum.Floresta Estacional Semidecidual.","-57.6002778","-19.1927777","-57,6002778","-19,1927777","890","890","Flor amarela. Fruto marrom. Habitat: Afloramento rochoso. Habito: Subarbusto.0,80m de altura.","CGMS1070801","2013","07","03",NA,NA,NA,NA,NA
"10","2021-04-07 11:41:17-03","UFMS","CGMS","59308","PreservedSpecimen","Plantae","Asteraceae","Aspilia","grazielae","Aspilia grazielae","J.U.Santos","C.E. Weirich","C.E. Weirich; J.R. Fabri","1","2016","03","15","Brasil","Mato Grosso do Sul","Corumbá","Maciço do Urucum.","-57.5947222","-19.18","-57,5947222","-19,18","906","906","Flor amarela. Habitat: Morraria no Cerrado. Habito: Arbusto.","CGMS1089224","2016","03","15",NA,NA,NA,NA,NA
