"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","continentOcean","preparationType","previousCatalogNumber","phylum","order","typeStatus","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber","sex"
"1","2021-04-05 14:25:22-03","UNESC","CRI","11227","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","brachiata","Aegiphila brachiata","Vell.","M. Sobral","M. Verdi; B. Grosch & G. Klemz","1026","2008","11","22","Brasil","Santa Catarina","Ouro","Linha Caçador.","-51.749444","-27.268611","51º44'58''W","27º16'7''S","779","779","Floresta Estacional Decidual/Floresta Ombrófila Mista","CRI003343","CRI003343",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:34-03","UNESC","CRI","3688","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","hassleri","Aegiphila hassleri","Briq.","Marcos Sobral","R. Zachia",NA,"1992","01","21","Brasil","Rio Grande do Sul","São Francisco de Assis",NA,"-55.124722","-29.560278","55º7'29''W","29º33'37''S",NA,NA,NA,"CRI003345","CRI003345",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:40:03-03","E","E","114635","PreservedSpecimen","Plantae","Labiatae","Aegiphila","brachiata","Aegiphila brachiata",NA,NA,"Fiebrig, K.","260","1902","10","14","PY",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00114635 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00114635",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:122293",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:40:03-03","E","E","114633","PreservedSpecimen","Plantae","Labiatae","Aegiphila","brachiata","Aegiphila brachiata",NA,NA,"Fiebrig, K.","530",NA,NA,NA,"PY",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00114633 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00114633",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:122271",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:40:03-03","E","E","114640","PreservedSpecimen","Plantae","Labiatae","Aegiphila","brachiata","Aegiphila brachiata",NA,NA,"Glaziou, M.A.","14169",NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00114640 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00114640",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:122334",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:40:03-03","E","E","114636","PreservedSpecimen","Plantae","Labiatae","Aegiphila","brachiata","Aegiphila brachiata",NA,NA,"Fiebrig, K.","260","1902","10","14","PY",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00114636 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00114636",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:122295",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:40:03-03","E","E","114634","PreservedSpecimen","Plantae","Labiatae","Aegiphila","brachiata","Aegiphila brachiata",NA,NA,"Fiebrig, K.","260","1902","10","14","PY",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00114634 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00114634",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:122279",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","540928","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","brachiata","Aegiphila brachiata","Vell.","G. G. Hatschbach","A. C. Cervi","2283","1984","10","20","Brazil","Paraná","Curitiba","Universidade Federal do Paraná (Centro Politécnico)","-49.22","-25.37",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=31814' target='other'> <mi>dwc_moreinfo</mi></a>","NY00540928","NY00540928_01","South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","540924","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","brachiata","Aegiphila brachiata","Vell.","S. F. Smith","A. Sehnem","3919","1949","10","15","Brazil","Rio Grande do Sul","Montenegro","S. Salvador, Montenegro","-51.4608","-29.6886",NA,NA,"550","550","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=31815' target='other'> <mi>dwc_moreinfo</mi></a>","NY00540924","NY00540924_01","South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1015159","PreservedSpecimen","Plantae","Verbenaceae","Aegiphila","brachiata","Aegiphila brachiata","Vell.","H. N. Moldenke","E. Friedrichs","32928","1945","10","05","Brazil","Rio Grande do Sul","Montenegro","Sao Salvador.","-51.4608","-29.6886",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1100267' target='other'> <mi>dwc_moreinfo</mi></a>","NY01015159","NY01015159_01","South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
