"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","recordNumber","year","month","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","day","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","infraspecificEpithet","fieldNumber","individualCount"
"1","2020-09-23 10:42:48-03","E","E","176401","PreservedSpecimen","Plantae","Proteaceae","Euplassa","incana","Euplassa incana","isotype","Sellow, Friedrich","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:185045","<a href=http://data.rbge.org.uk/herb/E00176401 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00176401",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01021824","PreservedSpecimen","Plantae","Proteaceae","Euplassa","incana","Euplassa incana",NA,"J. E. B. Warming","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117923' target='other'> <mi>dwc_moreinfo</mi></a>","NY01021824","Magnoliophyta","Proteales","(Klotzsch) I.M.Johnst.","H. O. Sleumer","325","1865","05","Minas Gerais","Lagoa Santa","Prov. Minas Geraes, Lagoa Santa.","-43.8894","-19.6272",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01021826","PreservedSpecimen","Plantae","Proteaceae","Euplassa","incana","Euplassa incana",NA,"P. Clausen","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117992' target='other'> <mi>dwc_moreinfo</mi></a>","NY01021826","Magnoliophyta","Proteales","(Klotzsch) I.M.Johnst.","H. O. Sleumer","142",NA,NA,"Minas Gerais",NA,"Minas-Geraes, Bresil",NA,NA,"NY01021826_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01021828","PreservedSpecimen","Plantae","Proteaceae","Euplassa","incana","Euplassa incana",NA,"P. Clausen","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1118087' target='other'> <mi>dwc_moreinfo</mi></a>","NY01021828","Magnoliophyta","Proteales","(Klotzsch) I.M.Johnst.","H. O. Sleumer","s.n.",NA,NA,NA,NA,"Brésil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01021821","PreservedSpecimen","Plantae","Proteaceae","Euplassa","incana","Euplassa incana",NA,"A. P. Duarte","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117919' target='other'> <mi>dwc_moreinfo</mi></a>","NY01021821","Magnoliophyta","Proteales","(Klotzsch) I.M.Johnst.","H. O. Sleumer","2669","1950","09","Minas Gerais",NA,"Serra do Cipó, km. 132.",NA,NA,"NY01021821_01","24","1120","1120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01021825","PreservedSpecimen","Plantae","Proteaceae","Euplassa","incana","Euplassa incana",NA,"J. E. B. Warming","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117990' target='other'> <mi>dwc_moreinfo</mi></a>","NY01021825","Magnoliophyta","Proteales","(Klotzsch) I.M.Johnst.","H. O. Sleumer","s.n.",NA,NA,"Minas Gerais","Lagoa Santa","Brasilia. Ad Lagoa Santa","-43.8894","-19.6272","NY01021825_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01021823","PreservedSpecimen","Plantae","Proteaceae","Euplassa","incana","Euplassa incana",NA,"Collector unknown","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117922' target='other'> <mi>dwc_moreinfo</mi></a>","NY01021823","Magnoliophyta","Proteales","(Klotzsch) I.M.Johnst.",NA,"s.n.","1918","06","Minas Gerais",NA,"Serra do Cipó","-43.539757","-19.388386",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01021827","PreservedSpecimen","Plantae","Proteaceae","Euplassa","incana","Euplassa incana",NA,"P. Clausen","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1118021' target='other'> <mi>dwc_moreinfo</mi></a>","NY01021827","Magnoliophyta","Proteales","(Klotzsch) I.M.Johnst.","H. O. Sleumer","142",NA,NA,"Minas Gerais",NA,"Minas-Geraes, Bresil",NA,NA,"NY01021827_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01021822","PreservedSpecimen","Plantae","Proteaceae","Euplassa","incana","Euplassa incana",NA,"A. P. Duarte","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117921' target='other'> <mi>dwc_moreinfo</mi></a>","NY01021822","Magnoliophyta","Proteales","(Klotzsch) I.M.Johnst.","H. O. Sleumer","2669","1950","09","Minas Gerais",NA,"Serra do Cipó, km. 132.",NA,NA,"NY01021822_01","24","1120","1120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-01-06 11:42:43-03","UFPI-MRV","HDELTA","3430","PreservedSpecimen","Plantae","Proteaceae","Euplassa","incana","Euplassa incana",NA,"Lopes, M. S.",NA,"Brasil",NA,NA,NA,"HDELTA003430",NA,NA,"(Klotzsch) I.M.Johnst.","Lopes, M.S.","933","2014","08","Piauí","Baixa grande do ribeiro","Estação ecológica de Uruçuí","-45.2136001586914","-7.85027980804443",NA,"09",NA,NA,"2015","08","20","157537","auto",NA,NA,NA,NA,NA,NA,NA
