"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","typeStatus","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","class","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","468237","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Zollernia","magnifica","Zollernia magnifica","A.M.Carvalho & Barneby","A. M. Amorim","891","1992","12","14","South America","Brazil","Acre","Acrelândia","BR-364, km 85; fazenda do Sr. Natalício Gomes Silva.","-67.4","-9.9575","fluid-preserved","Part of Hebário Centro de Pesquisas do Cacau <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=593009' target='other'> <mi>dwc_moreinfo</mi></a>","NY00468237",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","623555","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Zollernia","magnifica","Zollernia magnifica","A.M.Carvalho & Barneby","A. M. Amorim","891","1992","12","14","South America","Brazil","Bahia","Itacaré","Estrada Itacaré/Taboquinhas, ca 6km de Itacaré. Loteamento da Marambaia.","-39.026455","-14.310972","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=593008' target='other'> <mi>dwc_moreinfo</mi></a>","NY00623555","NY00623555_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","623552","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Zollernia","magnifica","Zollernia magnifica","A.M.Carvalho & Barneby","W. W. Thomas","8058","1991","07","01","South America","Brazil","Bahia","Uruçuca","7.3 km N of Serra Grande on rd to Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz.","-39.0617","-14.4231","sheet","Site: SG <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=593002' target='other'> <mi>dwc_moreinfo</mi></a>","NY00623552","NY00623552_01","R. C. Barneby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1839851","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Zollernia","magnifica","Zollernia magnifica","A.M.Carvalho & Barneby","A. M. Amorim","448","1991","11","20","South America","Brazil","Bahia",NA,"Mun. Itacare. Testinga Arbustiva na praia da Ribeira.",NA,NA,"fluid-preserved","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=770666' target='other'> <mi>dwc_moreinfo</mi></a>","NY01839851",NA,NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","623556","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Zollernia","magnifica","Zollernia magnifica","A.M.Carvalho & Barneby","L. A. Mattos Silva","317","1979","03","15","South America","Brazil","Bahia","Ilhéus","Km 10 do Ramal que liga a Rod. BR-415 (trecho Ilhéus/Itabuna) ao Pov. de Japu, com entrada a 13 km de Ilhéus.","-39.0492","-14.7892","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=593005' target='other'> <mi>dwc_moreinfo</mi></a>","NY00623556","NY00623556_01","R. C. Barneby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","623557","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Zollernia","magnifica","Zollernia magnifica","A.M.Carvalho & Barneby","W. W. Thomas","8056","1991","07","01","South America","Brazil","Bahia","Uruçuca","7.3 km N of Serra Grande on rd to Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz.","-39.0617","-14.4231","sheet","Site: SG <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=593004' target='other'> <mi>dwc_moreinfo</mi></a>","NY00623557","NY00623557_01","R. C. Barneby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","623553","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Zollernia","magnifica","Zollernia magnifica","A.M.Carvalho & Barneby","A. M. V. de Carvalho","4116","1993","02","16","South America","Brazil","Bahia","Itacaré","Loteamento da Marambaia, ca 6km SW de Itacaré, na estrada para BR-101.","-39.0167","-14.3167","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=593007' target='other'> <mi>dwc_moreinfo</mi></a>","NY00623553","NY00623553_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","623558","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Zollernia","magnifica","Zollernia magnifica","A.M.Carvalho & Barneby","J. A. Kallunki","472","1993","02","09","South America","Brazil","Bahia","Prado","Km 21 of road from Itamarajú to Prado, forest on N side of road near logging operation.","-39.4","-17.17","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=593006' target='other'> <mi>dwc_moreinfo</mi></a>","NY00623558","NY00623558_01","V. de F. Mansano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","7449","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Zollernia","magnifica","Zollernia magnifica","A.M.Carvalho & Barneby","A. M. Amorim","448","1991","11","20","South America","Brazil","Bahia",NA,"Mun. Itacare. Testinga Arbustiva na praia da Ribeira.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=116380' target='other'> <mi>dwc_moreinfo</mi></a>","NY00007449","NY00007449_01",NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00749893","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Zollernia","magnifica","Zollernia magnifica","A.M.Carvalho & Barneby","P. Fiaschi","1874","2003","11","11","South America","Brazil","Bahia","Itacaré","Loteamento Marambaia. Rod. Itacaré-Ilhéus, ca. 6 km a partir da sede do municipio. Assentamento da Marambaia","-39.08","-14.33","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=911016' target='other'> <mi>dwc_moreinfo</mi></a>","NY00749893","NY00749893_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
