"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","typeStatus","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","class","previousCatalogNumber","fieldNumber","individualCount","relatedCatalogItem","sex"
"16","2021-03-15 16:37:00-03","NY","NYBG","00934018","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","gracilis","gracilis","Mimosa gracilis gracilis","Benth.","R. C. Barneby","A. M. V. de Carvalho","2278","1986","02","15","South America","Brazil","Distrito Federal","Brasília","25 km na estrada de Brasília para Unaí","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1010796' target='other'> <mi>dwc_moreinfo</mi></a>","NY00934018","NY00934018_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","00934053","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","gracilis","brevissima","Mimosa gracilis brevissima","Barneby","R. C. Barneby","E. P. Heringer","6391","1981","03","09","South America","Brazil","Distrito Federal","Brasília","Bacia do Rio São Bartolomeu.","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1010853' target='other'> <mi>dwc_moreinfo</mi></a>","NY00934053","NY00934053_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","00933387","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","gracilis","capillipes","Mimosa gracilis capillipes","(Benth.) Barneby","R. C. Barneby","W. R. Anderson","6590","1973","03","07","South America","Brazil","Goiás","Alto Paraíso de Goiás","Ca. 3 km E of Alto Paraíso on road to Nova Roma.","-47.4976","-14.0977","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1009305' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933387","NY00933387_01","1350","1350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","00933378","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","gracilis","capillipes","Mimosa gracilis capillipes","(Benth.) Barneby","R. C. Barneby","M. L. Fonseca","930","1996","04","16","South America","Brazil","Goiás","Niquelândia","Morro do Cristo","-48.4572","-14.4522","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1009277' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933378","NY00933378_01","930","930",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","00934041","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","gracilis","brevissima","Mimosa gracilis brevissima","Barneby","R. C. Barneby","H. S. Irwin","8456","1965","09","18","South America","Brazil","Distrito Federal","Brasília","Universidade de Brasília","-47.875","-15.758","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1010818' target='other'> <mi>dwc_moreinfo</mi></a>","NY00934041","NY00934041_01","975","975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","00934013","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","gracilis","gracilis","Mimosa gracilis gracilis","Benth.","R. C. Barneby","H. S. Irwin","9109","1965","10","10","South America","Brazil","Distrito Federal","Brasília","10 km E. of Planaltina","-47.57345","-15.6167","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1010791' target='other'> <mi>dwc_moreinfo</mi></a>","NY00934013","NY00934013_01","1150","1150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","00934049","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","gracilis","brevissima","Mimosa gracilis brevissima","Barneby","R. C. Barneby","M. Martinez","15","1983","10","23","South America","Brazil","Distrito Federal","Brasília","Próximo ao Novo Gama","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1010836' target='other'> <mi>dwc_moreinfo</mi></a>","NY00934049","NY00934049_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2016-09-27 19:50:00-03","NY","NYBG","01345693","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","gracilis","leiocarpa","Mimosa gracilis leiocarpa","(Burkart) Barneby","R. C. Barneby","P. Jorgensen","3626","1931",NA,NA,"South America","Paraguay",NA,NA,"Itiaty",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1616825' target='other'> <mi>dwc_moreinfo</mi></a>","NY01345693","NY01345693_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","00934077","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","gracilis","brevissima","Mimosa gracilis brevissima","Barneby","R. C. Barneby","E. Pereira","7387","1963","03","28","South America","Brazil","Distrito Federal","Brasília","Rio Cabeça de Veado","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1010858' target='other'> <mi>dwc_moreinfo</mi></a>","NY00934077","NY00934077_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","00934081","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","gracilis","brevissima","Mimosa gracilis brevissima","Barneby","R. C. Barneby","G. G. Hatschbach","54500","1990","10","14","South America","Brazil","Goiás","Luziânia","Rod. BR-040, 3 km a leste de Luziania","-47.9503","-16.2528","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1010863' target='other'> <mi>dwc_moreinfo</mi></a>","NY00934081","NY00934081_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
