"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","year","month","day","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","infraspecificEpithet","coordinatePrecision","geoFlag","monthIdentified","class","verbatimLongitude","verbatimLatitude","dayIdentified","fieldNumber","individualCount","relatedCatalogItem"
"1","2020-09-23 10:44:29-03","E","E","502184","PreservedSpecimen","Plantae","Xyridaceae","Xyris","asperata","Xyris asperata","syntype","Sellow, Friedrich","203","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:547856","<a href=http://data.rbge.org.uk/herb/E00502184 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00502184",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:44:29-03","E","E","502177","PreservedSpecimen","Plantae","Xyridaceae","Xyris","montivaga","Xyris montivaga","syntype","Sellow, Friedrich","176","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:547545","<a href=http://data.rbge.org.uk/herb/E00502177 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00502177",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:44:29-03","E","E","293798","PreservedSpecimen","Plantae","Xyridaceae","Xyris","trachyphylla","Xyris trachyphylla",NA,"Harley, R.M.; Stannard, B.; Nic Lughadha, E.; Queiroz, R.F.",NA,"E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:308610","<a href=http://data.rbge.org.uk/herb/E00293798 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00293798","1992","02","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:44:29-03","E","E","293799","PreservedSpecimen","Plantae","Xyridaceae","Xyris","trachyphylla","Xyris trachyphylla",NA,"Harley, R.M.; Nic Lughadha, E.; Hind, D.J.N.; Souza, V.C.; Sakuragui, C.M.",NA,"E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:308627","<a href=http://data.rbge.org.uk/herb/E00293799 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00293799","1992","12","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:44:29-03","E","E","293810","PreservedSpecimen","Plantae","Xyridaceae","Xyris","trachyphylla","Xyris trachyphylla",NA,"Stannard, B.; Silva, T.",NA,"E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:308641","<a href=http://data.rbge.org.uk/herb/E00293810 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00293810","1992","01","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","503353","PreservedSpecimen","Plantae","Xyridaceae","Xyris","trachyphylla","Xyris trachyphylla",NA,"G. G. Hatschbach","47433","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=402062' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503353","1984","01","21","Magnoliophyta","Poales","Mart.","R. Kral","Bahia","Rio de Contas","Rio de Contas, 10 km N, Bahia","-41.811749","-13.4908641","NY00503353_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","503350","PreservedSpecimen","Plantae","Xyridaceae","Xyris","trachyphylla","Xyris trachyphylla",NA,"R. M. Harley","19754","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=402059' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503350","1977","03","20","Magnoliophyta","Poales","Mart.","R. Kral","Bahia",NA,"Lower NE slopes of the Pico das Almas, ca. 25 km WNW of the Vila do Rio de Contas","-41.95","-13.55","NY00503350_01","1500","1500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01132013","PreservedSpecimen","Plantae","Xyridaceae","Xyris","trachyphylla","Xyris trachyphylla",NA,"R. C. Forzza","3221","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1286911' target='other'> <mi>dwc_moreinfo</mi></a>","NY01132013","2004","03","11","Magnoliophyta","Poales","Mart.","M. das G. L. Wanderley","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca, trilha entre a Lombada e a Gruta do Cruzeiro.","-43.8967","-21.696","NY01132013_01","1650","1650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","643898","PreservedSpecimen","Plantae","Xyridaceae","Xyris","trachyphylla","Xyris trachyphylla",NA,"R. M. Harley","50371","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=402056' target='other'> <mi>dwc_moreinfo</mi></a>","NY00643898","1992","12","25","Magnoliophyta","Poales","Mart.","M. das G. L. Wanderley","Bahia","Abaíra","Catolés de Cima","-41.88","-13.27","NY00643898_01","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02712943","PreservedSpecimen","Plantae","Xyridaceae","Xyris","trachyphylla","Xyris trachyphylla",NA,"H. S. Irwin","29207","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2257137' target='other'> <mi>dwc_moreinfo</mi></a>","NY02712943","1971","01","26","Magnoliophyta","Poales","Mart.","M. das G. L. Wanderley","Minas Gerais",NA,"Serra do Espinhaço, summit of Serra de Caraça","-43.508849","-20.130068","NY02712943_01","1750","1950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
