"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","maximumElevationInMeters","coordinatePrecision","geoFlag","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","class","monthIdentified","dayIdentified","individualCount","fieldNumber","order","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","2122882","PreservedSpecimen","Plantae","Bryophyta","Daltoniaceae","Adelothecium","bogotense","Adelothecium bogotense","(Hampe) Mitt.","S. P. Churchill","B. R. Ramírez P.","2749","1990","09","15","South America","Colombia","Nariño","Pasto","Corregimiento del Encano. Vereda San José.","-77.12","1.18","3000","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2290296' target='other'> <mi>dwc_moreinfo</mi></a>","NY02122882","NY02122882_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","2122937","PreservedSpecimen","Plantae","Bryophyta","Daltoniaceae","Adelothecium","bogotense","Adelothecium bogotense","(Hampe) Mitt.",NA,"W. R. Buck","15658","1988","01","19","South America","Venezuela","Bolívar",NA,"Base of Monte Roraima on SW side.","-60.67","5.17","1950","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2290351' target='other'> <mi>dwc_moreinfo</mi></a>","NY02122937","NY02122937_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","2122881","PreservedSpecimen","Plantae","Bryophyta","Daltoniaceae","Adelothecium","bogotense","Adelothecium bogotense","(Hampe) Mitt.","S. P. Churchill","W. C. Steere","7401","1942","11","16","South America","Colombia","Norte de Santander",NA,"east of Rio Valegrá, Barrio Chucarima, Cordillera Oriental.",NA,NA,"1829","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2290295' target='other'> <mi>dwc_moreinfo</mi></a>","NY02122881","NY02122881_01","2134",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","2122914","PreservedSpecimen","Plantae","Bryophyta","Daltoniaceae","Adelothecium","bogotense","Adelothecium bogotense","(Hampe) Mitt.","S. P. Churchill","B. R. Ramírez P.","3126","1991","02","28","South America","Colombia","Nariño","Pasto","Bosque de la Granja de Botana.","-77.25","1.17","3000","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2290328' target='other'> <mi>dwc_moreinfo</mi></a>","NY02122914","NY02122914_01","3200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","2122926","PreservedSpecimen","Plantae","Bryophyta","Daltoniaceae","Adelothecium","bogotense","Adelothecium bogotense","(Hampe) Mitt.","D. G. Griffin","D. G. Griffin","PV-1449","1985","03","06","South America","Venezuela","Trujillo",NA,"páramo El Jabón, al SE y arriba de Carache.",NA,NA,"2900","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2290340' target='other'> <mi>dwc_moreinfo</mi></a>","NY02122926","NY02122926_01","3300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","2122879","PreservedSpecimen","Plantae","Bryophyta","Daltoniaceae","Adelothecium","bogotense","Adelothecium bogotense","(Hampe) Mitt.","S. P. Churchill","W. C. Steere","7388","1942","11","16","South America","Colombia","Norte de Santander",NA,"east of Río Valegrá, Barrio Chucarima, Cordillera Oriental.",NA,NA,"1829","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2290293' target='other'> <mi>dwc_moreinfo</mi></a>","NY02122879","NY02122879_01","2134",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","2122886","PreservedSpecimen","Plantae","Bryophyta","Daltoniaceae","Adelothecium","bogotense","Adelothecium bogotense","(Hampe) Mitt.","R. Ochyra","S. P. Churchill","13482","1985","06","02","South America","Colombia","Antioquia","Urrao","ca. 16 km NE de Urrao hacia Caicedo.","-76","6.25","2400","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2290300' target='other'> <mi>dwc_moreinfo</mi></a>","NY02122886","NY02122886_01 NY02122886_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","2122918","PreservedSpecimen","Plantae","Bryophyta","Daltoniaceae","Adelothecium","bogotense","Adelothecium bogotense","(Hampe) Mitt.",NA,"S. P. Churchill","14532-C","1986","07","19","South America","Colombia","Chocó","El Carmen de Atrato","ca. 9.5 km SE del desvío hacia El Carmen en la carretera a Quibdó.",NA,NA,"1140","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2290332' target='other'> <mi>dwc_moreinfo</mi></a>","NY02122918","NY02122918_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","2122913","PreservedSpecimen","Plantae","Bryophyta","Daltoniaceae","Adelothecium","bogotense","Adelothecium bogotense","(Hampe) Mitt.","S. P. Churchill","B. R. Ramírez P.","4443","1992","01","04","South America","Colombia","Nariño","Pasto","Corregimiento de Santa Bárbara. Rio Bobo. Loma Alta.",NA,NA,"3200","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2290327' target='other'> <mi>dwc_moreinfo</mi></a>","NY02122913","NY02122913_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","2122932","PreservedSpecimen","Plantae","Bryophyta","Daltoniaceae","Adelothecium","bogotense","Adelothecium bogotense","(Hampe) Mitt.","R. Ochyra","W. C. Steere","9129","1943","10","24","South America","Ecuador",NA,NA,"Napo-Pastaza: on east slope of Cordillera Oriental (east of San Gabriel), in drainage of Río Cofanes.",NA,NA,"2134","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2290346' target='other'> <mi>dwc_moreinfo</mi></a>","NY02122932","NY02122932_01","2591",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
