"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","coordinatePrecision","geoFlag","class","previousCatalogNumber","individualCount","fieldNumber","typeStatus","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","645402","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Lepismium","warmingianum","Lepismium warmingianum","(K.Schum.) Barthlott","N. P. Taylor; D. C. Zappi","G. G. Hatschbach","14645","1966","09","05","South America","Brazil","Paraná","Ponta Grossa","Anfiteatro","-50.1617","-25.095","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=311629' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645402","NY00645402_01 NY00645402_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","645393","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Lepismium","warmingianum","Lepismium warmingianum","(K.Schum.) Barthlott","N. P. Taylor; D. C. Zappi","P. K. H. Dusén","17798","1915","09","12","South America","Brazil","Paraná","Curitiba",NA,"-49.2731","-25.4281","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=311626' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645393","NY00645393_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","645396","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Lepismium","warmingianum","Lepismium warmingianum","(K.Schum.) Barthlott","N. P. Taylor; D. C. Zappi","J. N. Rose","43145","1920","06",NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,"sheet","Cultivated from original collection, Rose 20666, in 1917 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=311622' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645396","NY00645396_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","645394","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Lepismium","warmingianum","Lepismium warmingianum","(K.Schum.) Barthlott","N. P. Taylor; D. C. Zappi","G. G. Hatschbach","24975","1970","10","20","South America","Brazil","Paraná","Porecatu","Porecatu","-51.3792","-22.7558","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=311627' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645394","NY00645394_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","645397","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Lepismium","warmingianum","Lepismium warmingianum","(K.Schum.) Barthlott","N. P. Taylor; D. C. Zappi","G. G. Hatschbach","38878","1976","09","21","South America","Brazil","Paraná","Lapa","Col. Mariental","-49.7156","-25.7697","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=311628' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645397","NY00645397_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","645400","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Lepismium","warmingianum","Lepismium warmingianum","(K.Schum.) Barthlott","H. F. Oliveira","H. F. Oliveira","s.n.","1995","12","15","South America","Brazil","Paraná","Ponta Grossa","Buraco do Padre","-49.98","-25.42","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=311624' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645400","NY00645400_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","645392","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Lepismium","warmingianum","Lepismium warmingianum","(K.Schum.) Barthlott","N. P. Taylor; D. C. Zappi","G. G. Hatschbach","53308","1989","08","31","South America","Brazil","Paraná","Ortigueira","Morro Branco","-50.9492","-24.2083","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=311620' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645392","NY00645392_01","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-29 10:51:00-03","NY","NYBG","645395","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Lepismium","warmingianum","Lepismium warmingianum",NA,"N. P. Taylor; D. C. Zappi","M. Bernardi","18822","1978","11","25","South America","Argentina","Misiones",NA,"Relicto circa Bernardo de Irigoyen",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=311621' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645395","NY00645395_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","645401","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Lepismium","warmingianum","Lepismium warmingianum","(K.Schum.) Barthlott","N. P. Taylor; D. C. Zappi","G. G. Hatschbach","14645","1966","09","05","South America","Brazil","Paraná","Ponta Grossa","Anfiteatre","-50.1617","-25.095","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=311623' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645401","NY00645401_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","645399","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Lepismium","warmingianum","Lepismium warmingianum","(K.Schum.) Barthlott","N. P. Taylor; D. C. Zappi","R. Reitz","9928","1960","09","08","South America","Brazil","Santa Catarina","Sao José","Serra da Boa Vista, Sao José","-48.6272","-27.6156","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=311625' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645399","NY00645399_01","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
