"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","recordNumber","stateProvince","imagecode","locality","decimalLongitude","decimalLatitude","county","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","typeStatus","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","infraspecificEpithet","individualCount","sex"
"1","2020-09-23 10:43:27-03","E","E","161244","PreservedSpecimen","Plantae","Siparunaceae","Siparuna","brasiliensis","Siparuna brasiliensis","Ibáñez García, A. & Bridgewater, S.","1996","10","27","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:168645","<a href=http://data.rbge.org.uk/herb/E00161244 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00161244",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1550275","PreservedSpecimen","Plantae","Monimiaceae","Siparuna","apiosyce","Siparuna apiosyce","A. F. C. P. Saint-Hilaire","1816",NA,NA,"South America","Brazil","sheet",NA,"Catal. A22, No. 65. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1810253' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550275","Magnoliophyta","Laurales","(Mart. ex Tul.) A.DC.","331","Rio de Janeiro","NY01550275_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1550273","PreservedSpecimen","Plantae","Monimiaceae","Siparuna","apiosyce","Siparuna apiosyce","A. F. C. P. Saint-Hilaire","1816",NA,NA,"South America","Brazil","sheet",NA,"Catal. A22, No. 69. Sept. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1810250' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550273","Magnoliophyta","Laurales","(Mart. ex Tul.) A.DC.","331","Rio de Janeiro","NY01550273_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1550266","PreservedSpecimen","Plantae","Monimiaceae","Siparuna","apiosyce","Siparuna apiosyce","F. C. Hoehne","1915","06",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1810241' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550266","Magnoliophyta","Laurales","(Mart. ex Tul.) A.DC.","24690","Rio de Janeiro","NY01550266_01","Alto da Bôa Vista","-43.251886","-22.960856",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1550244","PreservedSpecimen","Plantae","Monimiaceae","Siparuna","apiosyce","Siparuna apiosyce","L. Riedel","1832","01",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1810207' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550244","Magnoliophyta","Laurales","(Mart. ex Tul.) A.DC.","310","Rio de Janeiro","NY01550244_01","Corcovado.","-43.212076","-22.951842",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1550277","PreservedSpecimen","Plantae","Monimiaceae","Siparuna","apiosyce","Siparuna apiosyce","C. T. Rizzini","1977","10","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1810258' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550277","Magnoliophyta","Laurales","(Mart. ex Tul.) A.DC.","936","São Paulo","NY01550277_01",NA,"-47.2900009155273","-23.2600002288818","Itu","22309","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1550246","PreservedSpecimen","Plantae","Monimiaceae","Siparuna","apiosyce","Siparuna apiosyce","L. Riedel","1832","01",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1810211' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550246","Magnoliophyta","Laurales","(Mart. ex Tul.) A.DC.","310","Rio de Janeiro","NY01550246_01","Corcovado.","-43.212076","-22.951842",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1550245","PreservedSpecimen","Plantae","Monimiaceae","Siparuna","apiosyce","Siparuna apiosyce","L. Riedel","1832","01",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1810209' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550245","Magnoliophyta","Laurales","(Mart. ex Tul.) A.DC.","310","Rio de Janeiro","NY01550245_01","Corcovado.","-43.212076","-22.951842",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1550274","PreservedSpecimen","Plantae","Monimiaceae","Siparuna","apiosyce","Siparuna apiosyce","C. Gaudichaud-Beaupré","1831",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1810251' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550274","Magnoliophyta","Laurales","(Mart. ex Tul.) A.DC.","1087","Rio de Janeiro","NY01550274_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1522553","PreservedSpecimen","Plantae","Monimiaceae","Siparuna","apiosyce","Siparuna apiosyce","J. Miers",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1753473' target='other'> <mi>dwc_moreinfo</mi></a>","NY01522553","Magnoliophyta","Laurales","(Mart. ex Tul.) A.DC.","3590","Rio de Janeiro","NY01522553_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
