"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","dayIdentified","individualCount","occurrenceRemarks","phylum","class","order","scientificNameAuthorship","country","stateProvince","infraspecificEpithet","recordedBy","recordNumber","year","month","day","continentOcean","county","locality","decimalLongitude","decimalLatitude","preparationType","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","fieldNumber","typeStatus"
"1","2019-06-10 10:10:26-03","FZB-BH","CVJBFZB","4394","S","Plantae","Orchidaceae","Cattleya","bicolor","Cattleya bicolor","Carlos Alberto Ferreira Júnior","2018","08","13","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:58-03","FZB-BH","CVJBFZB","2224","S","Plantae","Orchidaceae","Cattleya","bicolor","Cattleya bicolor",NA,NA,NA,NA,"1","254","Magnoliophyta","Equisetopsida","Asparagales","Lindl.","Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","547443","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","bicolor","Cattleya bicolor measuresiana","G. F. J. Pabst",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=73434' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta",NA,"Asparagales","B.S.Williams","Brazil","Distrito Federal","measuresiana","E. P. Heringer","20529","1963","12","15","South America","Brasília","Parque do Guara","-47.9294","-15.7797","sheet","NY00547443","NY00547443_01",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","547442","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","bicolor","Cattleya bicolor","F. C. Hoehne",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=338340' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta",NA,"Asparagales","Lindl.","Brazil","Minas Gerais",NA,"F. C. Hoehne","5360","1921","03","07","South America",NA,"Serra do Caraca",NA,NA,"sheet","NY00547442","NY00547442_01",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","547444","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","bicolor","Cattleya bicolor","G. F. J. Pabst",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=338339' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta",NA,"Asparagales","Lindl.","Brazil","Minas Gerais",NA,"H. S. Irwin","27957","1970","03","20","South America","Diamantina","Ca. 18 km E of Diamantina. Gallery margin","-43.6003","-18.2494","sheet","NY00547444","NY00547444_01","1050","1050",NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","547445","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","bicolor","Cattleya bicolor","G. F. J. Pabst",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=338338' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta",NA,"Asparagales","Lindl.","Brazil","Minas Gerais",NA,"H. S. Irwin","28652","1970","03","30","South America","Diamantina","Ca. 7 km N of Sao Joao da Chapada, road to Inhai","-43.6003","-18.2494","sheet","NY00547445","NY00547445_01","1150","1150",NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","547443","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","bicolor","Cattleya bicolor measuresiana","G. F. J. Pabst",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=73434' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta",NA,"Asparagales","B.S.Williams","Brazil","Distrito Federal","measuresiana","E. P. Heringer","20529","1963","12","15","South America","Brasília","Parque do Guara","-47.9294","-15.7797","sheet","NY00547443","NY00547443_01",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-31 13:40:48-03","MN","R","35636","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","bicolor","Cattleya bicolor",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lindl.","Brasil","Rio de Janeiro",NA,"Hoehne, F.C.",NA,"1917","02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-31 13:40:48-03","MN","R","35663","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","bicolor","Cattleya bicolor",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lindl.","Brasil",NA,NA,"Berti, M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-12-20 21:18:43-03","UFV","VIC","012696","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","bicolor","Cattleya bicolor",NA,NA,NA,NA,NA,"Epífita vigorosa, flores de labelo roxo e pétalas esverdeadas.",NA,NA,NA,"Lindl.","Brasil",NA,NA,"Gomes, V.","s.n.","1969","03","20",NA,NA,"Fazenda São Mateus, Mata do Rio de Peixe.",NA,NA,NA,"VIC012696","VIC012696",NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-12-20 21:18:43-03","UFV","VIC","024393","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","bicolor","Cattleya bicolor",NA,NA,NA,NA,NA,"Espéicie epífita, também encontrada vegetando sobre rochas rupicolas em locais de média insolação, floresce em fevereiro, sendo sua flor de labelo franjeado, lilás nas bordas e próximo a coluna suas pétalas e sépalas de cor marrom clar",NA,NA,NA,"Lindl.","Brasil","Minas Gerais",NA,"Leão, N.A.P.","001A","1999","09","09",NA,"Mariana","Cachoeira do Bambuça","-43.4160995483398","-20.377799987793",NA,"VIC024393","VIC024393 VIC024393_1",NA,NA,"33524","auto",NA,NA,NA,NA
