"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","occurrenceRemarks","barcode"
"1","2015-07-02 14:00:37-03","JBP","HPL","11475","S","Plantae","Arecaceae","Butia","pubispatha","Butia pubispatha","Noblick & Lorenzi","Lorenzi","2010","03","20","H. Lorenzi & K. Soares","6766","2009","11","07","Brasil","PR","Jaguariaíva","Coletado às margens da rodovia PR 151 para Sengés (km 203, lado direito), em campo de altitude, próximo ao rio das Mortes. Plantas com folhas de coloração geral verde-acinzentada; pecíolo amarelado.","-49.7058","-24.2511","44368","auto",NA,NA
"2","2015-07-02 14:00:37-03","JBP","HPL","11415","S","Plantae","Arecaceae","Butia","pubispatha","Butia pubispatha","Noblick & Lorenzi","H. Lorenzi","2010","03","20","H. Lorenzi & K. Soares","6764","2009","11","03","Brasil","SP","Nova Odessa","Cultivado no Jd. Bot. Plantarum. Bráctea peduncular verde (coberta c/ tomento ferrugíneo); inflorescência c/ fina camada de cera esbranquiçada; folhas verde-azuladas (jovens c/ finíssima camada de cera branca).","-47.29","-22.77","8440","auto",NA,NA
"3","2021-02-11 17:17:56-03","UFPR","UPCB","32548","PreservedSpecimen","Plantae","Arecaceae","Butia","pubispatha","Butia pubispatha","Noblik & Lonrenzi","Sant'Anna, B.F","2019","10",NA,"Cervi, A.C.","6386","1997","10","31","Brasil","Paraná","Jaguariaíva","Rio das Mortes","-49.7057991027832","-24.2511005401611","44368","auto","Inflorescência com flores amarronadas. Sufrutice do campo limpo..","UPCB0045404"
