"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","00906687","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Plinia","complanata","Plinia complanata","M.L.Kawas. & B.Holst","M. M. M. Lopes","795","2006","06","05","South America","Brazil","Bahia","Camacan","RPPN Serra Bonita, 9,7 km W de Camacá na estrada para Jacarecí, daí 6 km SW na estrada para a RPPN e Torre da Embratel","-39.5653","-15.3917","850","850","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982183' target='other'> <mi>dwc_moreinfo</mi></a>","NY00906687","NY00906687_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1795749","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Plinia","complanata","Plinia complanata","M.L.Kawas. & B.Holst","V. B. Zipparro","1818","1999","11","10","South America","Brazil","São Paulo","Sete Barras","Fazenda Intervales: Base Saibadela, trilha do rio","-47.9199981689453","-24.3799991607666",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2024106' target='other'> <mi>dwc_moreinfo</mi></a>","NY01795749","NY01795749_01","isotype","34059","auto",NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 11:15:04-03","ESALQ","ESA","25107","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Plinia","complanata","Plinia complanata",NA,"Souza, V.C.; Rodrigues, R.R.; Arzolla, F.A.R.P.; Ivanauskas, N.M.; Souza, J.P.; Scalon, V.R.; Farah, F.T.; Mazine, F.F.; Sanches, I.D.; Paiva, G.A.; L. M.Campos, Dias, A.S.; V.Pereira, Cordeiro, L.E.; Rodrigues, A.G.; Guskuma, M.","9044.0","1995","09","03",NA,"Brasil","São Paulo","Eldorado","Parque Estadual de Jacupiranga, Núcleo da Caverna do Diabo. Trilha entre a Cachoeira do Araçá e a área conhecida como descampado. Área de rochas calcáreas. Mata Atlântica","-48.0999984741211","-24.5200004577637",NA,NA,NA,"Arvoreta, ca. 4 m alt.; flores alvas.","ESA025107",NA,NA,"38804","auto","Kawasaki, M.L.",NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:15:04-03","ESALQ","ESA","29424","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Plinia","complanata","Plinia complanata",NA,"Ivanauskas, N.M. et al.","979.0","1995","11","16",NA,"Brasil","São Paulo","Pariquera-Açu",NA,"-47.8800010681152","-24.7099990844727",NA,NA,NA,NA,"ESA029424","ESA029424",NA,"17990","auto","Souza, V.C.",NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 11:15:04-03","ESALQ","ESA","7845","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Plinia","complanata","Plinia complanata","Kawasaki & Holst","Moraes, P.L.R.","710.0","1992","09","10",NA,"Brasil","São Paulo","São Miguel Arcanjo",NA,"-47.9900016784668","-23.8700008392334",NA,NA,NA,NA,"ESA007845","ESA007845",NA,"27904","auto","Matsumoto, K.",NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 11:15:04-03","ESALQ","ESA","7847","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Plinia","complanata","Plinia complanata","Kawasaki & Holst","Moraes, P.L.R.","750.0","1992","11","17",NA,"Brasil","São Paulo","São Miguel Arcanjo",NA,"-47.9900016784668","-23.8700008392334",NA,NA,NA,NA,"ESA007847","ESA007847",NA,"27904","auto","Matsumoto, K.",NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:15:04-03","ESALQ","ESA","104476","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Plinia","complanata","Plinia complanata",NA,"Aguiar, O.T.",NA,"2002","03","14",NA,"Brasil","São Paulo","São Miguel Arcanjo",NA,"-47.9900016784668","-23.8700008392334",NA,NA,NA,NA,"ESA104476","ESA104476",NA,"27904","auto","Aguiar, O.T.",NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 11:15:04-03","ESALQ","ESA","7849","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Plinia","complanata","Plinia complanata","Kawasaki & Holst","Moraes, P.L.R.","759.0","1992","11","18",NA,"Brasil","São Paulo","São Miguel Arcanjo",NA,"-47.9900016784668","-23.8700008392334",NA,NA,NA,NA,"ESA007849","ESA007849",NA,"27904","auto","Matsumoto, K.",NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:15:04-03","ESALQ","ESA","7843","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Plinia","complanata","Plinia complanata","Kawasaki & Holst","Moraes, P.L.R.","723.0","1992","09","12",NA,"Brasil","São Paulo","São Miguel Arcanjo",NA,"-47.9900016784668","-23.8700008392334",NA,NA,NA,NA,"ESA007843","ESA007843",NA,"27904","auto","Matsumoto, K.",NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:15:04-03","ESALQ","ESA","17345","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Plinia","complanata","Plinia complanata","Kawasaki & Holst","Moraes, P.L.R.","750.0","1992","11","17",NA,"Brasil","São Paulo","São Miguel Arcanjo",NA,"-47.9900016784668","-23.8700008392334",NA,NA,NA,NA,"ESA017345","ESA017345",NA,"27904","auto","Matsumoto, K.",NA,NA,NA,NA,NA,NA,NA
