"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","locality","year","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","fieldNumber","month","day","class","individualCount","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","1550729","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Oleaceae","Chionanthus","fluminensis","Chionanthus fluminensis","Miers","L. Riedel","1157","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1828193' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550729","NY01550729_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","413459","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Oleaceae","Chionanthus","fluminensis","Chionanthus fluminensis","Miers","L. Riedel","1157","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=220139' target='other'> <mi>dwc_moreinfo</mi></a>","NY00413459","NY00413459_01","P. S. Green",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","413460","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Oleaceae","Chionanthus","fluminensis","Chionanthus fluminensis","Miers","H. W. Schott",NA,"South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=220140' target='other'> <mi>dwc_moreinfo</mi></a>","NY00413460","NY00413460_01","P. S. Green","Brasilia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-13 09:20:27-03","UFRJ","RFA","4719","PreservedSpecimen","Plantae",NA,NA,"Oleaceae","Tessarandra","fluminensis","Tessarandra fluminensis","Miers","P. Occhioni","s.n.",NA,"Brasil",NA,"Árvore pequena","RFA47324",NA,NA,"Matas da Lagoinha","1946","Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2015-09-04 11:39:23-03","MNHN","RECOLNAT_MNHN_P","P03384295","PreservedSpecimen",NA,NA,NA,"Oleaceae","Chionanthus","fluminensis","Chionanthus fluminensis","(Miers) P.S.Green","Glaziou, A.",NA,NA,"Brasil","hb","Herbier de A. Glaziou donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03384295' target='other'> <mi>dwc_moreinfo</mi></a>","P03384295","P03384295_01",NA,"Brésil. Province de RJ. Morro do [Flem]","1869","Rio de Janeiro",NA,NA,NA,NA,NA,"3677","5","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2015-09-04 11:39:23-03","MNHN","RECOLNAT_MNHN_P","P03384299","PreservedSpecimen",NA,NA,NA,"Oleaceae","Chionanthus","fluminensis","Chionanthus fluminensis","(Miers) P.S.Green","Glaziou, A.",NA,NA,"Brasil","hb","Herbier de A. Glaziou donné par Mme. Simard, sa fille, en 1907. <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03384299' target='other'> <mi>dwc_moreinfo</mi></a>","P03384299","P03384299_01",NA,"Brésil (Rio Janeiro)",NA,"Rio de Janeiro",NA,NA,NA,NA,NA,"4162",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2015-09-04 11:39:23-03","MNHN","RECOLNAT_MNHN_P","P03384300","PreservedSpecimen",NA,NA,NA,"Oleaceae","Chionanthus","fluminensis","Chionanthus fluminensis","(Miers) P.S.Green","Glaziou, A.",NA,NA,"Brasil","hb","Herbier de A. Glaziou donné par Mme SIMARD, sa fille, en 1907. <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03384300' target='other'> <mi>dwc_moreinfo</mi></a>","P03384300","P03384300_01",NA,"Andarahy","1874","Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442","auto","4932","8","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2015-09-04 11:39:23-03","MNHN","RECOLNAT_MNHN_P","P03384298","PreservedSpecimen",NA,NA,NA,"Oleaceae","Chionanthus","fluminensis","Chionanthus fluminensis","(Miers) P.S.Green","Glaziou, A.",NA,NA,"Brasil","hb","Herbier de A. Glaziou donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03384298' target='other'> <mi>dwc_moreinfo</mi></a>","P03384298","P03384298_01",NA,"Brésil (Rio Jan.). Morro do Flem.","1869","Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442","auto","3677","5","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-12 05:00:02-03","US","US","1420737","PreservedSpecimen","Plantae",NA,"Lamiales","Oleaceae","Tessarandra","fluminensis","Tessarandra fluminensis","Miers","J. Miers","3321","South America - Neotropics","Brazil",NA,NA,"US03141741","US03141741_01",NA,"Morro Flamengo.",NA,"Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-12 05:00:02-03","US","US",NA,"PreservedSpecimen","Plantae",NA,"Lamiales","Oleaceae","Tessarandra","fluminensis","Tessarandra fluminensis","Miers","Riedel, --","1157","South America","Brazil",NA,NA,NA,NA,NA,"Brasilia.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA,NA,NA,NA,NA,NA,NA
