"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","phylum","order","individualCount","coordinatePrecision","geoFlag","continentOcean","preparationType","class","relatedCatalogItem","relationshipType","infraspecificEpithet","fieldNumber","typeStatus","sex"
"1","2021-04-05 14:33:22-03","UNESC","CRI","11357","PreservedSpecimen","Plantae","Cactaceae","Lepismium","cruciforme","Lepismium cruciforme","(Vell.) Miq.","D. Zappi","2012","12","13","A. Korte; A. Kniess","1053","2009","11","25","Brasil","Santa Catarina","Alfredo Wagner","Invernadinha.","-49.331944","-27.695833","49º19'55''W","27º41'45''S","Floresta Ombrófila Densa Habitat: beira da Estrada Habito: rupícola","CRI006374","CRI006374",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:22-03","UNESC","CRI","11401","PreservedSpecimen","Plantae","Cactaceae","Lepismium","cruciforme","Lepismium cruciforme","(Vell.) Miq.","A. Bonnet","2010","08","23","J.L. Schmitt; E. Caglioni, S. Andrade & C. Cristofolini","1332","2010","02","05","Brasil","Santa Catarina","Porto Belo",NA,"-48.577778","-27.167778","48º34'40''W","27º10'4''S","Floresta Ombrófila Densa de Terras Baixas Habito: epífita","CRI006375","CRI006375","55","55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:06-03","UNESC","CRI","1647","PreservedSpecimen","Plantae","Cactaceae","Lepismium","cruciforme","Lepismium cruciforme","(Vell.) Miq.","Waechter, J.","1993","07","26","Citadini-Zanette, V.; Dario, C. E & Martinello, C. M",NA,"1993","03","02","Brasil","Santa Catarina","Orleans","Mata Sr. Sufinski","-49.285278","-28.368333","49º17'7''W","28º22'6''S","Epífita com frutos rosa- carmim, cladodio verde e carmim Habito: epífito","CRI013808","CRI013808",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:22-03","UNESC","CRI","13706","PreservedSpecimen","Plantae","Cactaceae","Lepismium","cruciforme","Lepismium cruciforme","(Vell.) Miq.","Alexandre Medeiros","2017","11","09","Alexandre Medeiros","795","2017","11","09","Brasil","Santa Catarina","Balneário Camboriú","Barra","-48.637778","-27.001389","48º38'16''W","27º0'5''S","Coleta 795 Flor rosada e branca Habitat: Terrestre Habito: Herbácea","CRI012313","CRI012313",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:10:31-03","FZB-BH","CVJBFZB","1347","S","Plantae","Cactaceae","Lepismium","cruciforme","Lepismium cruciforme","(Vell.) Miq.","Nygel Taylor",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,"254",NA,NA,NA,NA,"Magnoliophyta","Caryophyllales","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-06-10 10:10:31-03","FZB-BH","CVJBFZB","1317","S","Plantae","Cactaceae","Lepismium","cruciforme","Lepismium cruciforme","(Vell.) Miq.",NA,NA,NA,NA,NA,NA,"2005",NA,NA,"Brasil","Minas Gerais","Santa Maria do Salto",NA,"-40.1493988037109","-16.2488994598389",NA,NA,"254",NA,NA,NA,NA,"Magnoliophyta","Caryophyllales","1","24863","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","645350","PreservedSpecimen","Plantae","Cactaceae","Lepismium","cruciforme","Lepismium cruciforme","(Vell.) Miq.",NA,NA,NA,NA,"J. N. Rose","43172",NA,NA,NA,"Brazil","Rio de Janeiro",NA,"Jabaquara, Rio de Janeiro",NA,NA,NA,NA,"Cultivated. Original collection Rose 20872, in 1915 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=315657' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645350","NY00645350_01",NA,NA,"Magnoliophyta","Caryophyllales",NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"8","2016-09-29 10:55:00-03","NY","NYBG","645362","PreservedSpecimen","Plantae","Cactaceae","Lepismium","cruciforme","Lepismium cruciforme",NA,NA,NA,NA,NA,"A. Lourteig","2315","1967","12","17","Brazil","Santa Catarina","Rio do Sul","Matador","-49.6431","-27.2144",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=315666' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645362","NY00645362_01","300","300","Magnoliophyta","Caryophyllales",NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","645346","PreservedSpecimen","Plantae","Cactaceae","Lepismium","cruciforme","Lepismium cruciforme","(Vell.) Miq.","N. P. Taylor; D. C. Zappi",NA,NA,NA,"S. A. Renvoize","3600","1978","11","24","Argentina","Corrientes",NA,"Ruta provincial 5. E of Corrientes",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=315656' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645346","NY00645346_01",NA,NA,"Magnoliophyta","Caryophyllales",NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","645347","PreservedSpecimen","Plantae","Cactaceae","Lepismium","cruciforme","Lepismium cruciforme","(Vell.) Miq.","N. P. Taylor; D. C. Zappi",NA,NA,NA,"J. N. Rose","20674","1915","08","03","Brazil","Rio de Janeiro",NA,"Tijuca, vicinity of Rio de Janeiro","-43.274528","-22.95583",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=315651' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645347","NY00645347_01",NA,NA,"Magnoliophyta","Caryophyllales",NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","645361","PreservedSpecimen","Plantae","Cactaceae","Lepismium","cruciforme","Lepismium cruciforme","(Vell.) Miq.",NA,NA,NA,NA,"J. N. Rose","43201",NA,NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,"Cultivated from original collection, Rose 20737. Flowered and painted Nov 17, 1915 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=315653' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645361","NY00645361_01",NA,NA,"Magnoliophyta","Caryophyllales",NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"12","2016-09-29 10:55:00-03","NY","NYBG","645352","PreservedSpecimen","Plantae","Cactaceae","Lepismium","cruciforme","Lepismium cruciforme",NA,"H. F. Oliveira",NA,NA,NA,"H. F. Oliveira","332","1996","01","27","Brazil","Paraná","Ponta Grossa","Parque Estadual Vila Velha (Lagoa Dourada)","-49.97","-25.25",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=315647' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645352","NY00645352_01",NA,NA,"Magnoliophyta","Caryophyllales",NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","645348","PreservedSpecimen","Plantae","Cactaceae","Lepismium","cruciforme","Lepismium cruciforme","(Vell.) Miq.",NA,NA,NA,NA,"Illegible collector name","s.n.","1923","06",NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=315655' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645348","NY00645348_01",NA,NA,"Magnoliophyta","Caryophyllales",NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","645355","PreservedSpecimen","Plantae","Cactaceae","Lepismium","cruciforme","Lepismium cruciforme","(Vell.) Miq.",NA,NA,NA,NA,"J. N. Rose","20737","1915","08","07","Brazil","Rio de Janeiro","Maricá","Maricá","-42.8183","-22.9194",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=315660' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645355","NY00645355_01",NA,NA,"Magnoliophyta","Caryophyllales",NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","645341","PreservedSpecimen","Plantae","Cactaceae","Lepismium","cruciforme","Lepismium cruciforme","(Vell.) Miq.","L. Scheinvar",NA,NA,NA,"G. G. Hatschbach","45789","1982","03","02","Brazil","Paraná","Paranaguá","Ilha do Mel","-48.326804","-25.522889",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=315648' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645341","NY00645341_01",NA,NA,"Magnoliophyta","Caryophyllales",NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","645359","PreservedSpecimen","Plantae","Cactaceae","Lepismium","cruciforme","Lepismium cruciforme","(Vell.) Miq.",NA,NA,NA,NA,"Collector unspecified","40341",NA,NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,"Cultivated. Original collection from Berlin, 1914 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=315664' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645359","NY00645359_01",NA,NA,"Magnoliophyta","Caryophyllales",NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","645349","PreservedSpecimen","Plantae","Cactaceae","Lepismium","cruciforme","Lepismium cruciforme","(Vell.) Miq.","L. B. Smith",NA,NA,NA,"L. B. Smith","6474","1952","08","10","Brazil","Rio de Janeiro",NA,"Ol road up the Serra to Petropolis",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=315654' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645349","NY00645349_01","500","700","Magnoliophyta","Caryophyllales",NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","645351","PreservedSpecimen","Plantae","Cactaceae","Lepismium","cruciforme","Lepismium cruciforme","(Vell.) Miq.",NA,NA,NA,NA,"J. N. Rose","43045",NA,NA,NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"Cultivated. Original collection Rose 20183, in 1915 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=315658' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645351","NY00645351_01",NA,NA,"Magnoliophyta","Caryophyllales",NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","645343","PreservedSpecimen","Plantae","Cactaceae","Lepismium","cruciforme","Lepismium cruciforme","(Vell.) Miq.","R. Kiesling",NA,NA,NA,"E. R. Guaglianone","2919","1995","11","18","Argentina","Misiones","San Pedro","Camino de Barro Preto, paralela a Ruta Prov. 16, Laguna Izsczuk","-54.02","-26.78",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=315649' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645343","NY00645343_01","540","540","Magnoliophyta","Caryophyllales",NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
