"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","dayIdentified","class","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount","typeStatus","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","1032111","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Lankesterella","oligantha","Lankesterella oligantha","(Hoehne & Schltr.) Mansf.","A. Gehrt","7523","1921","12","08","South America","Brazil","São Paulo","Alto da Serra. Matta da Estação Biologica.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1190532' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032111","NY01032111_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:52:48-03","EAO","IAN","29040","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Orchidaceae","Lankesterella","ceracifolia","Lankesterella ceracifolia","(Rodr.) Amshoff","Occhioni, P","5883","1939","06",NA,"Southern America","Brasil","Rio de Janeiro",NA,NA,"Flor branca.","IAN029040","IAN029040 IAN029040_1 IAN029040_e IAN029040_e1","Pabst, GFJ","1953","05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-04 15:26:38-03","PUCPR","HUCP","24718","S","Plantae","Monocotiledonea",NA,"Orchidaceae","Lankesterella","ceracifolia","Lankesterella ceracifolia","(Barb. Rodr.) Mansf.","Kersten, RA","1697","2017","05","05",NA,"Brasil","Parana","Floresta de restinga, próxima ao Rio Guaraguaçu, secundária alterada",NA,NA,NA,NA,NA,NA,NA,"Pontal do Paraná","-48.511100769043","-25.6735992431641","19508","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-04 15:26:38-03","PUCPR","HUCP","21651","S","Plantae","Monocotiledonea",NA,"Orchidaceae","Lankesterella","ceracifolia","Lankesterella ceracifolia","(Barb. Rodr.) Mansf.","Bianchi, J","055","2009","05","22",NA,"Brasil","Paraná",NA,NA,NA,"HUCP00002921","HUCP00002921","Kersten, RA",NA,NA,"Piraquara","-49.0633010864258","-25.4416999816895","12577","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-04 15:26:38-03","PUCPR","HUCP","3569","S","Plantae","Monocotiledonea",NA,"Orchidaceae","Lankesterella","ceracifolia","Lankesterella ceracifolia","(Barb. Rodr.) Mansf.","Souza, WS; Britez, RM","1093/1783",NA,NA,NA,NA,"Brasil","Paraná","Ilha do Mel, Morro Bento Alves.",NA,NA,NA,NA,"Souza, WS","1987","08","Paranaguá","-48.5092010498047","-25.5200004577637","24916","auto","29",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-12-04 15:26:38-03","PUCPR","HUCP","21655","S","Plantae","Monocotiledonea",NA,"Orchidaceae","Lankesterella","ceracifolia","Lankesterella ceracifolia","(Barb. Rodr.) Mansf.","Mascarenhas, A","s.n.","2008","04","05",NA,"Brasil","Paraná",NA,NA,NA,"HUCP00002568","HUCP00002568","Mascarenhas, A",NA,NA,"Piraquara","-49.0633010864258","-25.4416999816895","12577","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 08:46:25-03","NBC","NL-BOTANY","L 0836019","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Lankesterella","ceracifolia","Lankesterella ceracifolia","(Barb.Rodr.) Mansf.","Hatschbach GG; Guimarães OA",NA,"1966","09","06","Southern America","Brazil","Paraná",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200836019 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0836019",NA,"Pabst GFJ",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 08:46:25-03","NBC","NL-BOTANY","L 0836020","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Lankesterella","ceracifolia","Lankesterella ceracifolia","(Barb.Rodr.) Mansf.","Hatschbach GG; Guimarães OA",NA,"1966","09","06","Southern America","Brazil","Paraná",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200836020 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0836020",NA,"Pabst GFJ",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 12:17:31-03","ESALQ","ESA","79892","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orchidaceae","Lankesterella","ceracifolia","Lankesterella ceracifolia","(Barb. Rodr.) Mansf.","Savassi, A.P.; Silva, F.D.; Campos, L.M.; Duarte, A.R.; Arango, B.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Franco, G.C.; Forster, W.; Ivanauskas, N.M.","375.0","2002","04","24",NA,"Brasil","São Paulo","BLOQUEADO",NA,"Epífita a 2m de altura sobre árvore, coletada na borda da trilha. Botões florais verdes.","ESA079892","ESA079892","Forster, W.","2002","04","São Miguel Arcanjo","-47.9900016784668","-23.8700008392334","27904","auto","02",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-31 13:41:04-03","MN","R","24847","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Lankesterella","ceracifolia","Lankesterella ceracifolia","(Barb. Rodr.) Mansf.","Brade, A.C.",NA,"1929","05","09",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"Hoehne, F.C.",NA,NA,"Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
