"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","00861400","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Arthropogon","villosus","Arthropogon villosus","Nees","M. A. Chase","9283","1925","03","28","South America","Brazil","Minas Gerais","Km 106-90, Serra do Cipó (110 km northeast of Bello Horizonte)","800","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=933244' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861400","NY00861400_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00861402","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Arthropogon","villosus","Arthropogon villosus","Nees","T. de S. Filgueiras","765","1980","09","15","South America","Brazil","Distrito Federal","Cabeça do Veado",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=933256' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861402","NY00861402_01","T. de S. Filgueiras","Brasília","-47.9294","-15.7797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00861398","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Arthropogon","villosus","Arthropogon villosus","Nees","H. S. Irwin","6730","1964","10","10","South America","Brazil","Mato Grosso","Ca. 70 km. N. of Xavantina, on rd. to Garapú.","300","400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=933235' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861398","NY00861398_01",NA,NA,"-52.37","-14.22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00861403","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Arthropogon","villosus","Arthropogon villosus","Nees","T. de S. Filgueiras","900","1981","08","09","South America","Brazil","Distrito Federal","Area da Proflora entre Taguatinga e Brasílandia",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=933259' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861403","NY00861403_01","T. de S. Filgueiras","Brasília","-47.9294","-15.7797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","628757","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Arthropogon","villosus","Arthropogon villosus","Nees","P. K. H. Dusén","17406","1915","12","07","South America","Brazil","Paraná","Morungava","720","720","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=196425' target='other'> <mi>dwc_moreinfo</mi></a>","NY00628757","NY00628757_01","P. K. H. Dusén",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-11-01 14:32:00-02","NY","NYBG","628830","PreservedSpecimen","Plantae",NA,"Poales","Poaceae","Arthropogon","villosus","Arthropogon villosus",NA,"T. J. Killeen","1178","1985","09","07","South America","Bolivia","Santa Cruz","Est. San Josecito, 2 km NE of Concepción","500","500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=196426' target='other'> <mi>dwc_moreinfo</mi></a>","NY00628830","NY00628830_01","T. J. Killeen","Ñuflo de Chávez","-62.08","-16.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","628758","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Arthropogon","villosus","Arthropogon villosus","Nees","L. Riedel","s.n.",NA,NA,NA,"South America","Brazil",NA,"{From protologue: Ad Serra da Piedade]",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=196428' target='other'> <mi>dwc_moreinfo</mi></a>","NY00628758","NY00628758_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00861428","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Arthropogon","villosus","Arthropogon villosus","Nees","R. Kral","75720","1988","11","29","South America","Brazil","Goiás","Hwy between Planaltina & Sao Gabriel de Goiás ca. 5 km S of San Gabriel.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=933261' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861428","NY00861428_01","G. Davidse","Planaltina","-47.6142","-15.4531",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00861399","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Arthropogon","villosus","Arthropogon villosus","Nees","M. A. Chase","10556","1929","12",NA,"South America","Brazil","Minas Gerais",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=933242' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861399","NY00861399_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00861397","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Arthropogon","villosus","Arthropogon villosus","Nees","H. S. Irwin","8174","1965","09","11","South America","Brazil","Distrito Federal","Chapada da Contagem, ca. 10 km N. E. of Brasília","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=933231' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861397","NY00861397_01","G. Davidse","Brasília","-47.85071","-15.7194",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","00861426","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Arthropogon","villosus","Arthropogon villosus","Nees","R. C. de Mendonça","629","1986","05","22","South America","Brazil","Distrito Federal","Reserva Ecológica do IBGE",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=933251' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861426","NY00861426_01","T. de S. Filgueiras","Brasília","-47.9294","-15.7797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","628829","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Arthropogon","villosus","Arthropogon villosus","Nees","C. E. O. Kuntze","s.n.","1892","07",NA,"South America","Brazil","Mato Grosso",NA,NA,NA,"sheet","Friedenau b. Berlin <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=196429' target='other'> <mi>dwc_moreinfo</mi></a>","NY00628829","NY00628829_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00861401","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Arthropogon","villosus","Arthropogon villosus","Nees","S. L. M. Moore","63","1891",NA,NA,"South America","Brazil","Mato Grosso","Iter Matogrossense",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=933250' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861401","NY00861401_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","00861373","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Arthropogon","villosus","Arthropogon villosus","Nees","H. S. Irwin","8661","1965","09","25","South America","Brazil","Distrito Federal","Ca. 20 km S. of Brasília, rd. to Goiânia, near Rio Melchior","1125","1125","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=933232' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861373","NY00861373_01","G. Davidse","Brasília","-48.0355","-15.87895",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","00861372","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Arthropogon","villosus","Arthropogon villosus","Nees","H. S. Irwin","8309","1965","09","14","South America","Brazil","Distrito Federal","Córrego Urubú, W slopes of Chapada da Contagem, ca. 10 km. E. of Brasília","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=933229' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861372","NY00861372_01","G. Davidse","Brasília","-47.82337","-15.7833",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","628756","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Arthropogon","villosus","Arthropogon villosus","Nees","I. Mimura","557","1962","09","12","South America","Brazil","São Paulo","6.8-7.2 km ao SSE em linha reta da praça principal de Sao José dos Campos. Dentro de 100 m ao oeste da estrada para Paraibuna","635","635","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=196427' target='other'> <mi>dwc_moreinfo</mi></a>","NY00628756","NY00628756_01",NA,"Sao José dos Campos","-45.88","-23.1703",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","00861427","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Arthropogon","villosus","Arthropogon villosus","Nees","T. de S. Filgueiras","899","1981","08","09","South America","Brazil","Distrito Federal","Area da Proflora entre Taguatinga e Brasílandia",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=933258' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861427","NY00861427_01","T. de S. Filgueiras","Brasília","-47.9294","-15.7797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
