"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","typeStatus","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","infraspecificEpithet","sex"
"1","2020-09-23 10:39:03-03","E","E","289766","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","anguifugum","Erythroxylum anguifugum","Hatschbach, G.; Hatschbach, M.; Barbosa, E.","63421","1995","10","16","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:299545","<a href=http://data.rbge.org.uk/herb/E00289766 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00289766",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:39:03-03","E","E","346299","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","anguifugum","Erythroxylum anguifugum",NA,"265",NA,NA,NA,"E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:383747","<a href=http://data.rbge.org.uk/herb/E00346299 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00346299","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:39:03-03","E","E","83677","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","anguifugum","Erythroxylum anguifugum","Simon, M.F., Proenca, C., Ratter, J.A., Fonseca Filho, J.A.ET., Bridgewater, S.","16","1996","09","19","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:92652","<a href=http://data.rbge.org.uk/herb/E00083677 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00083677",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00997046","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","anguifugum","Erythroxylum anguifugum","W. W. Thomas","4598","1985","10","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1145218' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997046",NA,"Magnoliophyta","Malpighiales","Mart.","T. C. Plowman","Mato Grosso","Poconé","Pantanal. Along Rio Cassangé at crossing of Transpantaneira (MT060), 69 km N of Porto Jofre","-56.87","-16.9","NY00997046_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00997060","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","anguifugum","Erythroxylum anguifugum","R. M. Harley","10454","1968","10","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1146018' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997060",NA,"Magnoliophyta","Malpighiales","Mart.","T. C. Plowman","Mato Grosso",NA,"c. 51 km along the road S. of Base Camp.","-51.77","-12.82","NY00997060_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00997052","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","anguifugum","Erythroxylum anguifugum","J. A. Ratter","R.5958","1987","11","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1145244' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997052",NA,"Magnoliophyta","Malpighiales","Mart.","I. Coida","Mato Grosso do Sul",NA,"Area of Fazenda Acurizal.","-57.17","-19.63","NY00997052_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02171770","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","anguifugum","Erythroxylum anguifugum","B. Maguire","56791","1963","09","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2322503' target='other'> <mi>dwc_moreinfo</mi></a>","NY02171770",NA,"Magnoliophyta","Malpighiales","Mart.",NA,"Rondônia",NA,"Between Riozinho and Rio Barao de Melgaco",NA,NA,"NY02171770_01","330","330",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00997056","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","anguifugum","Erythroxylum anguifugum","S. L. M. Moore","77","1891",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1146001' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997056",NA,"Magnoliophyta","Malpighiales","Mart.","T. C. Plowman","Mato Grosso",NA,NA,NA,NA,"NY00997056_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02171768","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","anguifugum","Erythroxylum anguifugum","B. Maguire","56791","1963","09","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2322500' target='other'> <mi>dwc_moreinfo</mi></a>","NY02171768",NA,"Magnoliophyta","Malpighiales","Mart.",NA,"Rondônia",NA,"Between Riozinho and Rio Barao de Melgaco",NA,NA,"NY02171768_01","330","330",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00997048","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","anguifugum","Erythroxylum anguifugum","W. W. Thomas","4612","1985","10","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1145223' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997048",NA,"Magnoliophyta","Malpighiales","Mart.","T. C. Plowman","Mato Grosso","Poconé","Pantanal. 16 km NW of Porto Jofre on Transpantaneira (MT060) to Poconé.","-56.92","-17.25","NY00997048_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
