"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","typeStatus"
"1","2021-04-05 14:24:56-03","UNESC","CRI","9407","PreservedSpecimen","Plantae","Asteraceae","Dasyphyllum","spinescens","Dasyphyllum spinescens","(Less.) Cabrera","M. Sobral","2019","08","17","M. Verdi; R.P. Hasckel & G. Klemz","1889","2009","04","06","Brasil","Santa Catarina","Urubici","São Pedro.","-49.419167","-28.074167","49º25'9''W","28º4'27''S","998","998","Floresta Ombrófila Densa Habitat: borda da mata Habito: árvore","CRI000874","CRI000874",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:16-03","UNESC","CRI","6398","PreservedSpecimen","Plantae","Asteraceae","Dasyphyllum","spinescens","Dasyphyllum spinescens","(Less.) Cabrera","Irmão Teodoro Luiz, J. A. Jarenkow","1950","03","14","José Gomes",NA,"1950","03","14","Brasil","Rio Grande do Sul","Pelotas","Horto Botânico do I.A.S.","-52.293889","-31.761667","52º17'38''W","31º45'42''S",NA,NA,NA,"CRI000875","CRI000875",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:24:56-03","UNESC","CRI","12281","PreservedSpecimen","Plantae","Asteraceae","Dasyphyllum","spinescens","Dasyphyllum spinescens","(Less.) Cabrera","Guilherme Alves Elias, Peterson Teodoro Padilha & Altamir Antunes","2017","03","23","Guilherme Alves Elias; Peterson Teodoro Padilha & Altamir Antunes",NA,"2017","03","23","Brasil","Santa Catarina","Timbé do Sul","Paredão da Serra da Rocinha antes da pavimentação.","-49.9275","-28.811667","49º55'39''W","28º48'42''S",NA,NA,NA,"CRI010463",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:24:56-03","UNESC","CRI","14381","PreservedSpecimen","Plantae","Asteraceae","Dasyphyllum","spinescens","Dasyphyllum spinescens","(Less.) Cabrera","Kassner-Filho, A.","2018","03","17","Kassner-Filho, A.; Santos, D.; Bollmann, G.; Althoff, L.F.","2405","2018","03","17","Brasil","Santa Catarina","Bom Retiro",NA,"-49.59","-27.81","49º35'24''W","27º48'36''S","101","101","botão floral Habitat: interior da unidade amostral Habito: árvore","CRI013537","CRI013537",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:24:56-03","UNESC","CRI","11541","PreservedSpecimen","Plantae","Asteraceae","Dasyphyllum","spinescens","Dasyphyllum spinescens","(Less.) Cabrera","Renato Colares","2019","01","15","A. Stival-Santos; S. Silveira","635","2009","04","13","Brasil","Santa Catarina","Macieira","Paiol da Pedra-macieira.","-51.303333","-26.818889","51º18'12''W","26º49'8''S","931","931","Floresta Ombrófila Mista Habitat: entorno do fragmento Habito: arbórea","CRI000872","CRI000872",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:24:56-03","UNESC","CRI","11527","PreservedSpecimen","Plantae","Asteraceae","Dasyphyllum","spinescens","Dasyphyllum spinescens","(Less.) Cabrera","Renato Colares","2019","01","15","M. Verdi; R. P. Hasckel & G. Klemz","1448","2009","01","26","Brasil","Santa Catarina","Anita Garibaldi","São Paulo.","-51.033889","-27.851944","51º2'2''W","27º51'7''S","833","833","Ecótono Floresta Ombrófila Mista e Floresta Estacional Decidual","CRI000873","CRI000873",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","790892","PreservedSpecimen","Plantae","Asteraceae","Dasyphyllum","spinescens","Dasyphyllum spinescens","(Less.) Cabrera","G. G. Hatschbach",NA,NA,NA,"G. G. Hatschbach","Ha.13853","1966","02","12","Brazil","Paraná","Bituruna","Faxinal","-51.5525","-26.1617",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=754545' target='other'> <mi>dwc_moreinfo</mi></a>","NY00790892","NY00790892_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","790898","PreservedSpecimen","Plantae","Asteraceae","Dasyphyllum","spinescens","Dasyphyllum spinescens","(Less.) Cabrera","C. Ezcurra",NA,NA,NA,"R. Reitz","4602","1952","12","29","Brazil","Santa Catarina",NA,"Serrinha, Anitápolis, Palhoça",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=754551' target='other'> <mi>dwc_moreinfo</mi></a>","NY00790898","NY00790898_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01080633","PreservedSpecimen","Plantae","Asteraceae","Dasyphyllum","spinescens","Dasyphyllum spinescens","(Less.) Cabrera","M. M. Saavedra",NA,NA,NA,"F. R. Martins","18365","1980","07",NA,"Brazil","São Paulo","Cunha","Reserva Estadual do Cunha.","-45.052474","-23.263965",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1207467' target='other'> <mi>dwc_moreinfo</mi></a>","NY01080633","NY01080633_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","790900","PreservedSpecimen","Plantae","Asteraceae","Dasyphyllum","spinescens","Dasyphyllum spinescens","(Less.) Cabrera","H. E. Robinson",NA,NA,NA,"M. Rossato","s.n.","1989","03","04","Brazil","Rio Grande do Sul",NA,"Caxias do Sul - Conceiçao",NA,NA,NA,NA,"700","700","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=754543' target='other'> <mi>dwc_moreinfo</mi></a>","NY00790900","NY00790900_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
