"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","phylum","order","infraspecificEpithet","typeStatus","continentOcean","preparationType","occurrenceRemarks","imagecode","class","individualCount","coordinatePrecision","geoFlag"
"1","2021-04-05 14:33:55-03","UNESC","CRI","13064","PreservedSpecimen","Plantae","Poaceae","Bromidium","hygrometricum","Bromidium hygrometricum","(Nees) Nees & Meyen","L.A. Funez","2016","10","10","Oliveira, A.A. de","2719","2015","11","10","Brasil","Santa Catarina","Urubici","Lajeado Liso - Toca Ruim. Lajeado Liso - Toca Ruim.","-49.68","-28.169167","49º40'48''W","28º10'9''S","1475","1475","CRI011688",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","346209","PreservedSpecimen","Plantae","Poaceae","Bromidium","hygrometricum","Bromidium hygrometricum tandilense","Kuntze",NA,NA,NA,NA,"C. E. O. Kuntze","s.n.",NA,NA,NA,"Argentina",NA,NA,"Tandil",NA,NA,NA,NA,NA,NA,"NY00346209","Magnoliophyta","Poales","tandilense","holotype","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=145307' target='other'> <mi>dwc_moreinfo</mi></a>","NY00346209_01",NA,NA,NA,NA
"3","2021-04-07 11:47:09-03","UFMS","CGMS","21680","PreservedSpecimen","Plantae","Poaceae","Agrostis","hygrometrica","Agrostis hygrometrica","Nees","A. Guglieri","2009","02","06","H.M. Longhi-Wagner","5020","1998","11","27","Brasil","Rio Grande do Sul","Rio Grande do Sul","Entre São Lourenço e Pelotas. BR-116, Km 469.",NA,NA,NA,NA,NA,NA,"CGMS1051089",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-24 17:42:53-03","PUCRS","MPUC","7678","S","Plantae","Poaceae","Agrostis","hygrometrica","Agrostis hygrometrica","Nees.","Equipe do Projeto",NA,NA,NA,NA,NA,"1988","01","21","Brasil","RS","Cachoeira do Sul","Distrito Ferreira","-52.8938889","-30.0394444","-52.8938889000","-30.0394444000",NA,NA,NA,NA,"Poales",NA,NA,"South America",NA,NA,NA,"Liliopsida","1",NA,NA
"5","2020-09-24 17:42:53-03","PUCRS","MPUC","7687","S","Plantae","Poaceae","Agrostis","hygrometrica","Agrostis hygrometrica","Nees.","Equipe do Projeto","2009","01","01",NA,NA,"1988","01","20","Brasil","RS","Cachoeira do Sul","Distrito Ferreira","-52.8938889","-30.0394444","-52.8938889000","-30.0394444000",NA,NA,NA,NA,"Poales",NA,NA,"South America",NA,NA,NA,"Liliopsida","1",NA,NA
"6","2019-01-17 11:23:16-02","PUCRS","MPUC","7679","S","Plantae","Poaceae","Agrostis","hygrometrica","Agrostis hygrometrica","Nees.","Equipe do Projeto",NA,NA,NA,NA,NA,"1988","02","04","Brasil","RS","Pelotas",".","-52.3422222","-31.7719444","-52.3422222000","-31.7719444000",NA,NA,NA,NA,"Poales",NA,NA,"South America",NA,NA,NA,"Liliopsida","1",NA,NA
"7","2019-11-08 08:55:01-03","FURB","FURB","48789","PreservedSpecimen","Plantae","Poaceae","Bromidium","hygrometricum","Bromidium hygrometricum","(Nees) Nees & Meyen","L.A. Funez","2016","10","10","Oliveira, A.A. de","2719","2015","11","10","Brasil","Santa Catarina","Urubici","Lajeado Liso - Toca Ruim.","-49.68","-28.1691667","-49.6800000","-28.1691667","1475","1475","FURB48789",NA,NA,NA,NA,NA,NA,NA,"FURB48789",NA,NA,NA,NA
"8","2020-12-21 16:39:55-03","MBM","MBM","119936","PreservedSpecimen","Plantae","Poaceae","Agrostis","hygrometrica","Agrostis hygrometrica","Nees","Smith, L.B.",NA,NA,NA,"Klein, R.; Pastore, U.; Pastore, U.","11991",NA,NA,NA,"Brazil","Rio Grande do Sul","Rosário do Sul","Rosário do Sul","-54.9141998291016","-30.25830078125",NA,NA,NA,NA,"MBM119936",NA,NA,NA,NA,"Southern America",NA,NA,"MBM119936",NA,NA,"71660","auto"
"9","2020-12-21 16:40:07-03","MBM","MBM","427651","PreservedSpecimen","Plantae","Poaceae","Bromidium","hygrometricum","Bromidium hygrometricum","(Nees) Nees & Meyen","Funez, L.A.","2016","10","10","Oliveira, A.A.","2719","2015","11","10","Brazil","Santa Catarina","Urubici","Lajeado Liso, Toca Ruim","-49.68","-28.169167","-49.68","-28.169167","1475","1475","MBM427651",NA,NA,NA,NA,"Southern America",NA,"Erva, banhado.; Floresta Ombrófila Mista. Estágio médio de regeneração.",NA,NA,NA,NA,NA
"10","2020-12-21 16:40:07-03","MBM","MBM","427651","PreservedSpecimen","Plantae","Poaceae","Bromidium","hygrometricum","Bromidium hygrometricum","(Nees) Nees & Meyen","Funez, L.A.","2016","10","10","Oliveira, A.A.","2719","2015","11","10","Brazil","Santa Catarina","Urubici","Lajeado Liso, Toca Ruim","-49.68","-28.169167","-49.68","-28.169167","1475","1475","MBM427651",NA,NA,NA,NA,"Southern America",NA,"Erva. Banhado, interior do conglomerado, inflorescência imatura vermelha.; Floresta Ombrófila Mista. Estágio médio de regeneração.",NA,NA,NA,NA,NA
