"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","typeStatus","class","individualCount","fieldNumber","relatedCatalogItem","previousCatalogNumber","infraspecificEpithet","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","1721084","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cranichis","bradei","Cranichis bradei","Schltr.","J. H. Kirkbride Jr.","2806","1977","02","15","South America","Brazil","Paraná","Base of Cachoeira do Curuá, on rio Curuá, in area of constant spray and high humidity. Growing on rock rooted amng decubet Gesneriaceae.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1036606' target='other'> <mi>dwc_moreinfo</mi></a>","NY01721084","NY01721084_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","414870","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cranichis","candida","Cranichis candida","(Barb.Rodr.) Cogn.","P. K. H. Dusén",NA,"1910","04","01","South America","Brazil","Paraná","Porto de Cima","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=119276' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414870","NY00414870_01","F. R. R. Schlechter","Morretes","-48.87","-25.43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","414865","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cranichis","candida","Cranichis candida","(Barb.Rodr.) Cogn.","R. Reitz","10948","1961","03","24","South America","Brazil","Santa Catarina","Morro do Campo Alegre, Sao Francisco do Sul","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=119272' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414865","NY00414865_01","G. F. J. Pabst","Sao Francisco do Sul","-48.6381","-26.2433","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","414868","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cranichis","candida","Cranichis candida","(Barb.Rodr.) Cogn.","A. Gehrt","5611","1921","05","04","South America","Brazil","São Paulo","Alto da Serra, Estaçao Biológica, Sao Paulo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=119274' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414868","NY00414868_01","F. C. Hoehne","Ribeirao Pires","-46.4097","-23.71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","414866","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cranichis","candida","Cranichis candida","(Barb.Rodr.) Cogn.","R. Reitz","3234","1956","05","04","South America","Brazil","Santa Catarina","Piloes, Palhoça","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=119271' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414866","NY00414866_01","G. F. J. Pabst","Palhoça","-48.694057","-27.77489","350","350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","631922","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cranichis","candida","Cranichis candida","(Barb.Rodr.) Cogn.","E. I. Silva","90","1995","09","15","South America","Brazil","Pernambuco","Reserva Biológica de Serra Negra;","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=119270' target='other'> <mi>dwc_moreinfo</mi></a>","NY00631922","NY00631922_01","G. A. Romero","Inajá","-38.5708","-8.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","414869","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cranichis","candida","Cranichis candida","(Barb.Rodr.) Cogn.","G. G. Hatschbach","26612","1971","04","01","South America","Brazil","Paraná","Saltinho, Paraná","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=119275' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414869","NY00414869_01","G. G. Hatschbach","Tijucas do Sul","-49.1989","-25.9283",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","414867","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cranichis","candida","Cranichis candida","(Barb.Rodr.) Cogn.","J. C. Lindeman","5134","1967","04","16","South America","Brazil","Rio de Janeiro","Parque Nacional de Itatiaia; road from sede do parque to planalto","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=119273' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414867","NY00414867_01","G. F. J. Pabst","Resende","-44.4467","-22.4692","1800","1800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","414871","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cranichis","candida","Cranichis candida","(Barb.Rodr.) Cogn.","P. K. H. Dusén","91","1902","05","17","South America","Brazil","Rio de Janeiro","Serra do Itatiaia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=119277' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414871","NY00414871_01","F. R. R. Schlechter",NA,"-44.637876","-22.374281",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","414872","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cranichis","nudilabia","Cranichis nudilabia","Pabst","E. P. Heringer","8293-487","1961","05","18","South America","Brazil","Distrito Federal",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=580817' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414872","NY00414872_01","G. F. J. Pabst","Brasília","-47.9294","-15.7797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
