"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","individualCount","geoFlag","class","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","389989","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Guarea","anomala","Guarea anomala","T.D.Penn.","T. D. Pennington","isotype","S. A. Mori","12995","1979","11","10","South America","Brazil","Bahia","Ilhéus","Estrada entre Sururú e Vila Brasil, a 6-14 km de Sururú. A 12-20 km ao SE de Buerarema","-39.0492","-14.7892","100","100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=86796' target='other'> <mi>dwc_moreinfo</mi></a>","NY00389989","NY00389989_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-11-10 16:00:00-02","MO","MOBOT","100937372","PreservedSpecimen","Plantae",NA,NA,"Meliaceae","Guarea","anomala","Guarea anomala","T.D. Penn.",NA,"Holotype","Scott A. Mori|F.P. Benton","Mori 12995",NA,NA,NA,"South America","Brazil","Bahia","Ilhéus","Road between Sururu and Vila Brasil, 6-14 km from Sururu, 12-20 km SE of Buerarema [SW1439].","-39.0494003295898","-14.7889003753662","100.00000000",NA,NA,NA,NA,NA,"61245","1","auto",NA,NA,NA,NA,NA,NA
"3","2021-02-25 10:13:19-03","CVRD","CVRD","11705","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Guarea","anomala","Guarea anomala","T.D.Penn.","Geovane S. Siqueira",NA,"Folli, D.A.","6202","2008","10","03","América do Sul","BRASIL","ES","Cachoeiro de Itapemirim",NA,"-41.292484","-20.737002","98","98",NA,"<ll>dwc_commonname:</ll> Jenipapo falso","CVRD011705","CVRD011705 CVRD011705_1",NA,NA,NA,"Magnoliopsida","2019","12","17","-41,292484","-20,737002"
"4","2021-02-25 10:13:19-03","CVRD","CVRD","15917","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Guarea","anomala","Guarea anomala","T.D.Penn.","Geovane S. Siqueira",NA,"Folli, D.A.","6204","2014","10","18","América do Sul","BRASIL","ES","Linhares","Floresta Aluvial, mata de cabruca na margem do Rio Doce.","-40.0722007751465","-19.3910999298096","20","20",NA,"entrado pela frente a WEG motos <ll>dwc_commonname:</ll> Jenipapo falso","CVRD015917","CVRD015917","48094",NA,"auto","Magnoliopsida","2019","12","17",NA,NA
"5","2020-07-23 12:13:46-03","CEPLAC","CEPEC","18217","PreservedSpecimen","Plantae",NA,NA,"Meliaceae","Guarea","anomala","Guarea anomala",NA,"T. D. Pennington","Isótipo","S. A. Mori","12995","1979","11","10",NA,"Brasil","Bahia","ILHÉUS","Estrada entre Sururu e Vila Brasil, 6-14Km de Sururu. 12-20Km ao SE Buerarema.","-39.0494003295898","-14.7889003753662",NA,NA,NA,NA,NA,NA,"61245",NA,"auto",NA,NA,NA,NA,NA,NA
"6","2020-07-23 12:13:46-03","CEPLAC","CEPEC","18174","PreservedSpecimen","Plantae",NA,NA,"Meliaceae","Guarea","anomala","Guarea anomala",NA,"T. D. Pennington","Holótipo","S. A. Mori","12995","1979","11","10",NA,"Brasil","Bahia","ILHÉUS","Estrada entre Sururu e Vila Brasil, 6-14Km de Sururu. 12-20Km ao SE Buerarema.","-39.0494003295898","-14.7889003753662",NA,NA,NA,NA,NA,NA,"61245",NA,"auto",NA,NA,NA,NA,NA,NA
