"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","stateProvince","imagecode","scientificNameAuthorship","identifiedBy","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","class","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","fieldNumber","individualCount","relatedCatalogItem"
"1","2020-09-23 10:39:26-03","E","E","155094","PreservedSpecimen","Plantae","Gesneriaceae","Napeanthus","primulifolius","Napeanthus primulifolius","isotype","Gardner, George","581","1905","01","11","E. Tropical South America","BR","Organ Mountains","herbarium specimen of unspecif","BGBASE:167917","<a href=http://data.rbge.org.uk/herb/E00155094 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00155094",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:39:26-03","E","E","155095","PreservedSpecimen","Plantae","Gesneriaceae","Napeanthus","primulifolius","Napeanthus primulifolius","unspecified kind of","Barthe, M.",NA,"1905","01","10","E. Tropical South America","BR",NA,"photograph of unspecified type","BGBASE:167918","Label says collected in Manille but this is probably a Brazilian plant<a href=http://data.rbge.org.uk/herb/E00155095 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00155095",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-28 14:08:00-03","NY","NYBG","312996","PreservedSpecimen","Plantae","Gesneriaceae","Napeanthus","brasiliensis","Napeanthus brasiliensis","isotype","G. Gardner","II.581","1837",NA,NA,"South America","Brazil","Serra dos Organos","sheet",NA,"Collection Date from protologue: Feb 1838 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=84946' target='other'> <mi>dwc_moreinfo</mi></a>","NY00312996","Magnoliophyta","Lamiales","Rio de Janeiro","NY00312996_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-28 14:08:00-03","NY","NYBG","312997","PreservedSpecimen","Plantae","Gesneriaceae","Napeanthus","brasiliensis","Napeanthus brasiliensis","isotype","G. Gardner","581","1836",NA,NA,"South America","Brazil","[Serra dos Organos]","sheet",NA,"Collection date from protologue: Feb 1838 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=84947' target='other'> <mi>dwc_moreinfo</mi></a>","NY00312997","Magnoliophyta","Lamiales","Rio de Janeiro","NY00312997_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","441987","PreservedSpecimen","Plantae","Gesneriaceae","Napeanthus","primulifolius","Napeanthus primulifolius",NA,"L. Riedel","s.n.",NA,NA,NA,"South America","Brazil","Mandiocca","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=495682' target='other'> <mi>dwc_moreinfo</mi></a>","NY00441987","Magnoliophyta","Lamiales","Rio de Janeiro","NY00441987_01","(Raddi) Sandwith","A. Chautems","Magé","-43.0406","-22.6531",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01195979","PreservedSpecimen","Plantae","Gesneriaceae","Napeanthus","primulifolius","Napeanthus primulifolius",NA,"A. M. Amorim","4770","2005","02","02","South America","Brazil","Camacã, RPPN Serra Bonita, 9.7 km de Camacã, Fazenda Serra Bonita, 9.7 km W de Camacá na estrada para Jacarecí, dai 6 km SW na estrada para a RPPN e torre da embratel","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1310138' target='other'> <mi>dwc_moreinfo</mi></a>","NY01195979","Magnoliophyta","Lamiales","Bahia","NY01195979_01","(Raddi) Sandwith","A. Chautems","Camacan","-39.5653","-15.3917","835","835",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1686509","PreservedSpecimen","Plantae","Gesneriaceae","Napeanthus","primulifolius","Napeanthus primulifolius",NA,"J. G. Jardim","4375","2005","02","12","South America","Brazil","Serra das Lontras, ca. 7 km no ramal que liga o povoado de Itatinguí à serra das Lontras","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1751929' target='other'> <mi>dwc_moreinfo</mi></a>","NY01686509","Magnoliophyta","Lamiales","Bahia","NY01686509_01","(Raddi) Sandwith","A. Chautems","Arataca","-39.3417","-15.1736","600","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1419160","PreservedSpecimen","Plantae","Gesneriaceae","Napeanthus","primulifolius","Napeanthus primulifolius",NA,"A. M. Amorim","3065","1999","05","12","South America","Brazil","Rod. Sáo José da Vitória-Una. Ramal a ca. 8 Km a partir de São José. Serra de São José.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=75525' target='other'> <mi>dwc_moreinfo</mi></a>","NY01419160","Magnoliophyta","Lamiales","Bahia","NY01419160_01","(Raddi) Sandwith","L. E. Skog","Buerarema","-39.2940831","-15.1260082","550","550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1519731","PreservedSpecimen","Plantae","Gesneriaceae","Napeanthus","primulifolius","Napeanthus primulifolius",NA,"R. A. X. Borges","596","2007","01","21","South America","Brazil","Serra das Lontras, ca. 7 km no ramal que liga o distrito de Itatinguí à Serra, ramal de acesso à Fazenda Véu de Noiva, de propiedade de José Marques.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1751915' target='other'> <mi>dwc_moreinfo</mi></a>","NY01519731","Magnoliophyta","Lamiales","Bahia","NY01519731_01","(Raddi) Sandwith","A. Chautems","Arataca","-39.4081","-15.2028","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-12-12 15:31:44-03","UFABC","HUFABC","000162","PreservedSpecimen","Plantae","Gesneriaceae","Napeanthus","primulifolius","Napeanthus primulifolius",NA,"Araujo, AO; M.Peixoto; J.Rossini","1163","2015","01","08",NA,"Brasil","Rodovia Ubatuba-Taubaté, km 85+900m, Trilha ao lado esquerdo da estrada. Interior de floresta, próximo ao leito do córrego",NA,NA,"Erva, cálice castanho-esverdeado, corola lilás e branca. Frutos imaturos castanho-esverdeados.","HUFABC000162","Angiospermas",NA,"São Paulo","HUFABC000162","(Raddi) Sandwith","Araujo, AO","Ubatuba","-45.120556","-23.38225",NA,NA,"-45.120556","-23.38225",NA,NA,NA,NA,NA,NA,NA,NA,NA
