"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","county","minimumElevationInMeters","maximumElevationInMeters","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","phylum","order","scientificNameAuthorship","identifiedBy","imagecode","class","infraspecificEpithet","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","individualCount","fieldNumber","typeStatus"
"1","2020-09-23 10:39:40-03","E","E","514416","PreservedSpecimen","Plantae","Gramineae","Nassella","neesiana","Nassella neesiana","Pedersen, Troels Myndel","7292","1964","11","25","Temperate South America","AR","Provincia de Entre Ríos","Distr. Crucecitas - Dep. Nogoyá; Estancia Las Aguadas","herbarium specimen of unspecif","BGBASE:544230","<a href=http://data.rbge.org.uk/herb/E00514416 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00514416",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:39:40-03","E","E","514415","PreservedSpecimen","Plantae","Gramineae","Nassella","neesiana","Nassella neesiana","King, Philip Parker (Captain)",NA,NA,NA,NA,"Temperate South America","UY","Departamento de Montevideo","Montevideo","herbarium specimen of unspecif","BGBASE:544229","<a href=http://data.rbge.org.uk/herb/E00514415 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00514415",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:39:40-03","E","E","514410","PreservedSpecimen","Plantae","Gramineae","Nassella","neesiana","Nassella neesiana","Cuming, Hugh","1342",NA,NA,NA,"Temperate South America","CL","Región V [Valparaíso]","Valparaíso","herbarium specimen of unspecif","BGBASE:544223","<a href=http://data.rbge.org.uk/herb/E00514410 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00514410","Provincia de Valparaíso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:39:40-03","E","E","514411","PreservedSpecimen","Plantae","Gramineae","Nassella","neesiana","Nassella neesiana","Cuming, Hugh","1342",NA,NA,NA,"Temperate South America","CL","Región V [Valparaíso]","Valparaíso","herbarium specimen of unspecif","BGBASE:544225","<a href=http://data.rbge.org.uk/herb/E00514411 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00514411","Provincia de Valparaíso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:39:40-03","E","E","514412","PreservedSpecimen","Plantae","Gramineae","Nassella","neesiana","Nassella neesiana","Cuming, Hugh","411",NA,NA,NA,"Temperate South America","CL","Región V [Valparaíso]","Valparaíso","herbarium specimen of unspecif","BGBASE:544226","<a href=http://data.rbge.org.uk/herb/E00514412 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00514412","Provincia de Valparaíso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:39:40-03","E","E","514414","PreservedSpecimen","Plantae","Gramineae","Nassella","neesiana","Nassella neesiana","Cuming, Hugh","411",NA,NA,NA,"Temperate South America","CL","Región V [Valparaíso]","[Valparaíso]","herbarium specimen of unspecif","BGBASE:544228","<a href=http://data.rbge.org.uk/herb/E00514414 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00514414","Provincia de Valparaíso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:39:40-03","E","E","254706","PreservedSpecimen","Plantae","Gramineae","Nassella","neesiana","Nassella neesiana","Hollermayer, Pedro A.","331",NA,NA,NA,"Temperate South America","CL","Región X [Los Lagos]",NA,"herbarium specimen of unspecif","BGBASE:273965","<a href=http://data.rbge.org.uk/herb/E00254706 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00254706","Provincia de Valdivia","200","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:39:40-03","E","E","514413","PreservedSpecimen","Plantae","Gramineae","Nassella","neesiana","Nassella neesiana","Moseley, Henry Nottidge",NA,NA,NA,NA,"Temperate South America","CL","Región V [Valparaíso]","Juan Fernandez","herbarium specimen of unspecif","BGBASE:544227","<a href=http://data.rbge.org.uk/herb/E00514413 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00514413",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:39:40-03","E","E","182685","PreservedSpecimen","Plantae","Gramineae","Nassella","neesiana","Nassella neesiana","Gardner, Martin F. & Knees, Sabina G.","6782","2003","12","26","Temperate South America","CL","Región VIII [Biobío]","Road to Termas Chillán on N55 between Recinto and Las Trancas at Puente Marchanta","herbarium specimen of unspecif","BGBASE:193743","<a href=http://data.rbge.org.uk/herb/E00182685 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00182685","Provincia de Ñuble","1026","1026","-71.424167","-36.902778","-71.424167","-36.902778",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","786860","PreservedSpecimen","Plantae","Poaceae","Stipa","neesiana","Stipa neesiana","L. B. Smith","15873","1971","12","18","South America","Brazil","Santa Catarina","Chapada Bonita, 6 km west of Sao Joaquim toward Estancia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=375910' target='other'> <mi>dwc_moreinfo</mi></a>","NY00786860","Sao Joaquim",NA,NA,"-49.9317","-28.2942",NA,NA,"Magnoliophyta","Poales","Trin. & Rupr.","L. B. Smith","NY00786860_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
