"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","yearIdentified","monthIdentified","dayIdentified","year","month","day","individualCount","occurrenceRemarks","scientificNameAuthorship","identifiedBy","country","stateProvince","recordedBy","recordNumber","county","locality","barcode","decimalLongitude","decimalLatitude","coordinatePrecision","imagecode","geoFlag","continentOcean","verbatimLongitude","verbatimLatitude","infraspecificEpithet","typeStatus","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","sex","preparationType"
"1","2019-06-10 10:10:40-03","FZB-BH","CVJBFZB","3989","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","orlandiana","Aechmea orlandiana","2017","03","13","2017","03","13","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:40-03","FZB-BH","CVJBFZB","1843","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","orlandiana","Aechmea orlandiana",NA,NA,NA,NA,NA,NA,NA,"254","L.B.Sm.","Sergio Gurken","Brasil","Espírito Santo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:40-03","FZB-BH","CVJBFZB","1252","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","orlandiana","Aechmea orlandiana",NA,NA,NA,NA,NA,NA,"1","254","L.B.Sm.",NA,"Brasil",NA,"João Márcio;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-06-29 11:29:37-03","UFRJ","RFA","30395","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","orlandiana","Aechmea orlandiana","2001","07","06","2001","07","06",NA,"Folhas verdes com bandas transversais escuras. Bainha vinosa internamente. Escapo, brácteas escapais e primárias vermelhas. Brácteas florais vermelhas. Pétalas amarelas","L.B.Sm.","A.P.G. de Faria","Brasil","Espírito Santo","A.P.G. de Faria; T. Wendt","32","Espírito Santo","Rio Itapemirim. Cultivada por Luiz Carlos Gurken","RFA52538",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-06-29 11:29:37-03","UFRJ","RFA","30885","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","orlandiana","Aechmea orlandiana","1998","07","19","1998","07","18",NA,"Folhas discolores, face adaxial verde, abaxial verde fortemente marcada por manchas e máculas irregulares, transversais, nigrescentes. Escapo verde-avermelhado, brácteas escapais, primárias e florais vermelhas; sépalas avermelhadas, pét","L.B.Sm.","C.M. Vieira","Brasil","Espírito Santo","C.M. Vieira; L.C. Gurken","1219","Espírito Santo","Cultivada por Luiz Carlos Gurken","RFA52541",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-01-14 15:25:32-03","MN","R","215808","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","orlandiana","Aechmea orlandiana",NA,NA,NA,"2012","01","26",NA,NA,"L.B. Sm.",NA,"Brasil","Espírito Santo","Coser, T.S. 547; Coser, N.",NA,"João Neiva",NA,"R010003467","-40.3856010437012","-19.7574996948242","16286","R010003467","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-07-02 18:52:16-03","UFJF","CESJ","59877","PreservedSpecimen","Plantae","Angiosperma",NA,"Bromeliaceae","Aechmea","orlandiana","Aechmea orlandiana","2012","05",NA,"2011","12","15",NA,"Epífita, heliófila, em flor passada e fruto. Folhas verde-claro com face adaxial da bainha arroxeada, acúleos marrom escuros. Escapo, bráct. do escapo róseas, primárias róseas, ocasionalmente com ápice amarelado. Bráct. florais roseas, sép. rosadas e par","L.B. Smith","F.C. Favoreto","Brasil","Espírito Santo","F.C. Favoreto; Luiz Antônio","122","Cachoeiro de Itapemirim","RPPN Cafundó, Estrada pra a RPPN de Cafundó","CESJ059877","-41.239722","-20.747667",NA,NA,NA,"América do Sul","-41.239722","-20.747667",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-01 16:19:02-03","UNICAMP","UEC","198641","S","Plantae","Liliopsida",NA,"Bromeliaceae","Aechmea","orlandiana","Aechmea orlandiana belloi","2017","09","22","2017","09","22",NA,"Folha verde claro na base escurecendo para o ápice, bainha verde mais claro com manchas vinosas no contato do tanque; margem espinescente, espinhos verdes, às vezes com ápice paleáceo. Brácteas do pedúnculo e da raque alaranjadas,","E.Pereira & Leme","Romanini, RP","Brazil","Espírito Santo","Romanini, RP; Sousa, KR; Souza, GR","428","Itapemirim","Floresceu sob cultivo.","UEC161266","-40.8339004516602","-21.011100769043","28626","UEC161266","auto",NA,NA,NA,"belloi",NA,NA,NA,NA,NA,NA
"9","2020-04-27 16:09:03-03","UFES","VIES","17307","S","Plantae",NA,NA,"Bromeliaceae","Aechmea","orlandiana","Aechmea orlandiana","2011","06","02","2008","10","10",NA,NA,"L.B.Sm.","Coser, T.S.","Brasil","Espírito Santo","Gomes, J.M.L.","3196","Cachoeiro de Itapemirim","Duas Barras.","VIES017307","-41.1128005981445","-20.8488998413086","35694","VIES017307","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-04-27 16:09:03-03","UFES","VIES","21660","S","Plantae",NA,NA,"Bromeliaceae","Aechmea","orlandiana","Aechmea orlandiana","2012","05",NA,"2011","07","15",NA,NA,"L.B.Sm.","Favoreto, F.C.","Brasil","Espírito Santo","Favoreto, F.C.; Luiz Antônio","122","Cachoeiro de Itapemirim","Pacotuba.","VIES021660","-41.1128005981445","-20.8488998413086","35694","VIES021660","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
