"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","year","month","day","continentOcean","country","stateProvince","locality","occurrenceRemarks","barcode","imagecode","identifiedBy","recordNumber","county","phylum","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag"
"1","2020-02-08 08:54:42-03","NBC","NL-BOTANY","U 0007723","PreservedSpecimen","Plantae","Magnoliopsidae","Caryophyllales","Cactaceae","Discocactus","horstii","Discocactus horstii","Buining & Brederoo","holotype","Ritter F","1972","01","01","Southern America","Brazil","Minas Gerais","auf der Serra do Barao, im staate Minas Geraisop de Serra do Barao, in de Staat Minas Gerais","zwischen Quartzgesteintussen kwartssteen<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200007723 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0007723","NL-U0007723",NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-20 21:16:31-03","UFV","VIC","39986","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Discocactus","horstii","Discocactus horstii","Buining & Brederoo",NA,"Santos, M.R.","2011","03","16",NA,"Brasil","Minas Gerais",NA,"663m,Campo rupestre, solo com cascalho, globoso, caule na cor verde-marron","VIC039986",NA,"M.R.Santos","75","P.E. Grão Mogol",NA,NA,NA,NA,NA
"3","2019-10-07 09:18:38-03","UEFS","HUEFS","107357","PreservedSpecimen","Plantae","Caryophyllanae","Caryophyllales","Cactaceae","Discocactus","horstii","Discocactus horstii","Buining & Brederoo",NA,"Machado, M.","2006","01","12",NA,"Brasil","Minas Gerais","montanhas ao noroeste da cidade",NA,"HUEFS0107357","HUEFS0107357",NA,"765","Grão Mogol","Angiospermae","-42.8897018432617","-16.5594005584717","67219","auto"
