"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","recordNumber","occurrenceRemarks","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","fieldNumber","individualCount","typeStatus","relatedCatalogItem"
"1","2021-04-05 14:26:06-03","UNESC","CRI","5358","PreservedSpecimen","Plantae","Sapindaceae","Matayba","intermedia","Matayba intermedia","Radlk.","J. A. Jarenkow","J. A. Jarenkow","1992","11","17","Brasil","Rio Grande do Sul","Torres","Perdida, Torres -SC.","-49.727222","-29.335833","49º43'38''W","29º20'9''S","5","5","CRI009901","CRI009901",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:26:06-03","UNESC","CRI","8339","PreservedSpecimen","Plantae","Sapindaceae","Matayba","intermedia","Matayba intermedia","Radlk.","Vanilde Citadini- Zanette","Sinara Colonetti","2007","01","10","Brasil","Santa Catarina","Siderópolis","Barragem do Rio São Bento.","-49.424722","-28.598333","49º25'29''W","28º35'54''S","112","112","CRI009904","CRI009904",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:26:06-03","UNESC","CRI","14268","PreservedSpecimen","Plantae","Sapindaceae","Matayba","intermedia","Matayba intermedia","Radlk.","Gasper, AL de","Stival-Santos, A.; Legal, E. & Silveira, S.","2009","11","17","Brasil","Santa Catarina","Brusque","Barracão. Barracão.","-48.869722","-27.005556","48º52'11''W","27º0'20''S","45","45","CRI013349",NA,"2010","03","23","1241","Florística IFFSC 639 (Arbórea). Entorno Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração Habito: arbórea; Fruto avermelhado;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:26:06-03","UNESC","CRI","7989","PreservedSpecimen","Plantae","Sapindaceae","Matayba","intermedia","Matayba intermedia","Radlk.","Vanilde C. Zanette","Beatriz Wessler; Bruna Alberton","2007","10","10","Brasil","Santa Catarina","Criciúma","SANTEC Resíduos.","-49.37","-28.678056","49º22'12''W","28º40'41''S","46","46","CRI007338","CRI007338","2007","10","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:26:06-03","UNESC","CRI","14254","PreservedSpecimen","Plantae","Sapindaceae","Matayba","intermedia","Matayba intermedia","Radlk.","Stival-Santos, A","Stival-Santos, A.; Legal, E. & Silveira, S.","2009","10","31","Brasil","Santa Catarina","Botuverá","Salto Águas Negras. Salto Águas Negras.","-49.049167","-27.179722","49º2'57''W","27º10'47''S","219","219","CRI013350","CRI013350","2009","10","31","1136","Florística IFFSC 520 (Arbórea) Habitat: Floresta Ombrófila Densa Submontana; Estágio médio de regeneração; beira da estrada Habito: arbórea; flor branca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:34:11-03","UNESC","CRI","1488","PreservedSpecimen","Plantae","Sapindaceae","Matayba","intermedia","Matayba intermedia","Radlk.","M. Sobral","R. Negrelle; C. Londero","1992","11","06","Brasil","Santa Catarina","Itapoá",NA,"-48.616389","-26.1175","48º36'59''W","26º7'3''S",NA,NA,"CRI009900","CRI009900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:34:11-03","UNESC","CRI","11738","PreservedSpecimen","Plantae","Sapindaceae","Matayba","intermedia","Matayba intermedia","Radlk.",NA,"Jean Gabriel Cemin; Marciel Fernandes e Kleber Emerick","2009","08","04","Brasil","Santa Catarina","Turvo",NA,"-49.681944","-28.928056","49º40'55''W","28º55'41''S","30","30","CRI009903","CRI009903",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:34:11-03","UNESC","CRI","1489","PreservedSpecimen","Plantae","Sapindaceae","Matayba","intermedia","Matayba intermedia","Radlk.","Marcos Sobral","R. Negrelle","1992","11","16","Brasil","Santa Catarina","Itapoá",NA,"-48.616389","-26.1175","48º36'59''W","26º7'3''S",NA,NA,"CRI007341","CRI007341",NA,NA,NA,"582",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:34:11-03","UNESC","CRI","7597","PreservedSpecimen","Plantae","Sapindaceae","Matayba","intermedia","Matayba intermedia","Radlk.","Vanilde Citadini-Zanette","Jaqueline Bonazza Rodrigues","2007","10","18","Brasil","Santa Catarina","Siderópolis",NA,"-49.424722","-28.598333","49º25'29''W","28º35'54''S",NA,NA,"CRI007339","CRI007339","2007","11","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:34:11-03","UNESC","CRI","8415","PreservedSpecimen","Plantae","Sapindaceae","Matayba","intermedia","Matayba intermedia","Radlk.","Vanilde Citadini-Zanette","Mainara F. Cascaes","2007","10","26","Brasil","Santa Catarina","Maracajá",NA,"-49.453056","-28.847222","49º27'11''W","28º50'50''S",NA,NA,"CRI007340","CRI007340","2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-04-05 14:26:06-03","UNESC","CRI","3105","PreservedSpecimen","Plantae","Sapindaceae","Matayba","intermedia","Matayba intermedia","Radlk.","Vanilde Citadini- Zanette","Vanilde Citadini-Zanette; Robson dos Santos","1993","01","15","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI009899","CRI009899",NA,NA,NA,"1807",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-04-05 14:26:06-03","UNESC","CRI","7980","PreservedSpecimen","Plantae","Sapindaceae","Matayba","intermedia","Matayba intermedia","Radlk.","Vanilde C. Zanette","Beatriz Wessler; Birgit Harter Marques & Bruna Alberton","2008","01","13","Brasil","Santa Catarina","Criciúma","SANTEC Resíduos.","-49.37","-28.678056","49º22'12''W","28º40'41''S","46","46","CRI009902","CRI009902","2008","01","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-04-05 14:34:11-03","UNESC","CRI","11887","PreservedSpecimen","Plantae","Sapindaceae","Matayba","intermedia","Matayba intermedia","Radlk.","Jean Gabriel Cemim, Marciel Fernandes & Kleber Emerick","Jean Gabriel Cemin; Marciel Fernandes e Kleber Emerick","2009","08","04","Brasil","Santa Catarina","Turvo",NA,"-49.685","-28.915556","49º41'6''W","28º54'56''S","30","30","CRI009906","CRI009906","2009","08","04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","1281812","PreservedSpecimen","Plantae","Sapindaceae","Matayba","intermedia","Matayba intermedia","Radlk.",NA,"B. D. Sucre","1969","09","30","Brazil","Rio de Janeiro",NA,"Restinga de Jacarepaguá - restinga arbustiva situada do lado N da Pedra de Itauna.",NA,NA,NA,NA,NA,NA,"NY01281812","NY01281812_01",NA,NA,NA,"5992","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1742957' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"15","2020-11-13 09:20:57-03","UFRJ","RFA","29699","PreservedSpecimen","Plantae","Sapindaceae","Matayba","intermedia","Matayba intermedia","Radlk.","G. V. Sommer","Flávio Brito Pereira","2001","12","12","Brasil","Rio de Janeiro","Carapebus","1º Distrito, PPM Mineração","-41.640556","-22.236389","41º38'26''W","22º14'11''S","25","25","RFA43315",NA,"2010","04","08","16/133","Arbórea, frutos verdes, flor branca, rara na região",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-06-29 11:32:33-03","UFRJ","RFA","28345","PreservedSpecimen","Plantae","Sapindaceae","Matayba","intermedia","Matayba intermedia","Radlk.","Genise V. Somner","H.M.Dias; A.de C.Borges","2003","05","30","Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"RFA19938",NA,"2003",NA,NA,"41","Arvo",NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA
"17","2020-06-29 11:32:33-03","UFRJ","RFA","4412","PreservedSpecimen","Plantae","Sapindaceae","Matayba","intermedia","Matayba intermedia","Radlk.","P. Occhioni","E. Pereira; P. Occhioni (1577)","1958","07","28","Brasil","Rio de Janeiro","Rio de Janeiro","Restinga de Jacarepaguá","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"RFA48289",NA,NA,NA,NA,"4069","Árvore, flores esverdeadas",NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA
