"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","fieldNumber","typeStatus","coordinatePrecision","individualCount","geoFlag","verbatimLongitude","verbatimLatitude","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","886198","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","pedunculata","Inga pedunculata","(Vinha) T.D.Penn.","T. D. Pennington","P. Fiaschi","2648","2004","11","11","South America","Brazil","Bahia","Barro Preto","Serra da Pedra Lascada. 13.7 km de Barro Preto, na estrada de acesso à serra.","-39.5361","-14.7703","600","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1014461' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886198","NY00886198_01",NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-09-28 10:34:27-03","MNHN","RECOLNAT_MNHN_P","P01818226","PreservedSpecimen",NA,NA,NA,"Fabaceae","Inga","pedunculata","Inga pedunculata","(Vinha) T.D.Penn.",NA,"Euponino, A.",NA,"1972","2","21",NA,"Brésil",NA,NA,"Ilhéus, Bahia",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01818226' target='other'> <mi>dwc_moreinfo</mi></a>","P01818226","P01818226_01","228",NA,NA,NA,NA,NA,NA,NA
"3","2015-09-04 02:38:16-03","MNHN","RECOLNAT_MNHN_P","P03109292","PreservedSpecimen",NA,NA,NA,"Fabaceae","Inga","pedunculata","Inga pedunculata","(Vinha) T.D.Penn.",NA,"Pinheiro, R.S.",NA,"1972","10","20",NA,"Brésil",NA,NA,"Itabuna rod. para Ibicarai a km 1 apos o Posto Fiscal da Bahaneira. Pastaria.",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03109292' target='other'> <mi>dwc_moreinfo</mi></a>","P03109292","P03109292_01","2035",NA,NA,NA,NA,NA,NA,NA
"4","2015-09-04 02:38:16-03","MNHN","RECOLNAT_MNHN_P","P03109293","PreservedSpecimen",NA,NA,NA,"Fabaceae","Inga","pedunculata","Inga pedunculata","(Vinha) T.D.Penn.",NA,"Santos, T.S.",NA,"1972","11","6",NA,"Brésil",NA,NA,"BA. Ilhéus CEPEC Q. D. reserva Botanica",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03109293' target='other'> <mi>dwc_moreinfo</mi></a>","P03109293","P03109293_01","2478",NA,NA,NA,NA,NA,NA,NA
"5","2015-09-04 02:38:16-03","MNHN","RECOLNAT_MNHN_P","P03109294","PreservedSpecimen",NA,NA,NA,"Fabaceae","Inga","pedunculata","Inga pedunculata","(Vinha) T.D.Penn.",NA,"Mattos Silva, L.A.|dos Santos, & T.S.|Eupunino, A.",NA,"1979","4","4",NA,"Brésil",NA,NA,"Municipio de Porto Seguro. Bifucação a direita, no km 27 da estrada que liga os Povoados de Verra Cruz (ex41) e Vale verde.",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03109294' target='other'> <mi>dwc_moreinfo</mi></a>","P03109294","P03109294_01","341",NA,NA,NA,NA,NA,NA,NA
"6","2015-09-04 02:38:16-03","MNHN","RECOLNAT_MNHN_P","P03109295","PreservedSpecimen",NA,NA,NA,"Fabaceae","Inga","pedunculata","Inga pedunculata","(Vinha) T.D.Penn.",NA,"Mori, S.A.|dos Santos, T.S.|Thompson, C.B.",NA,"1978","8","18",NA,"Brésil",NA,NA,"Regiao Cacaueira da Bahia : Mun. de Santa Cruz de Cabralia. Arredores da Est. Ecologica do Pau-brasil (ca 17 km W de Porto Seguro), estrada velha de Santa Cruz de Cabralia, 4-6 km a E da sede da Estação.",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03109295' target='other'> <mi>dwc_moreinfo</mi></a>","P03109295","P03109295_01","10807",NA,NA,NA,NA,NA,NA,NA
"7","2015-09-04 02:38:16-03","MNHN","RECOLNAT_MNHN_P","P03109296","PreservedSpecimen",NA,NA,NA,"Fabaceae","Inga","pedunculata","Inga pedunculata","(Vinha) T.D.Penn.",NA,"Santos, T.S.",NA,"1973","6","11",NA,"Brésil",NA,NA,"BA. Itiuca Municipio de Nilo Peçanha Mata- Restinga.",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03109296' target='other'> <mi>dwc_moreinfo</mi></a>","P03109296","P03109296_01","2679",NA,NA,NA,NA,NA,NA,NA
"8","2020-08-04 13:31:00-03","MO","MOBOT","101211846","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","pedunculata","Inga pedunculata","(Vinha) T.D. Penn.",NA,"A. Eupunino","Eupunino 228","1972","2","21","South America","Brazil","Bahia","Santa Cruz Cabrália","Reserva Biológica Pau-Brasil.","-39.0247001647949","-16.2780990600586",NA,NA,NA,NA,NA,NA,NA,"Holotype","49584","1","auto",NA,NA,NA
"9","2020-11-10 04:40:00-03","MO","MOBOT","100884229","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","pedunculata","Inga pedunculata","(Vinha) T.D. Penn.","Carolina Romero (MO)","Pedro L. R. de Moraes|H. van der Werff|Lukas H. Daneu","Moraes 4366","2014","12","4","South America","Brazil","Bahia",NA,"Prado. Área de Manejo Florestal, km 24 estrada Itamaraju-Prado.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"10","2020-07-23 12:14:23-03","CEPLAC","CEPEC","30177","PreservedSpecimen","Plantae",NA,NA,"Mimosaceae","Inga","pedunculata","Inga pedunculata",NA,"M. M. M. Lopes","G. P. Lewis","997","1981","12","29",NA,"Brasil","Bahia","ILHÉUS","Área do CEPEC.","-39.216667","-14.783333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39W13'","14S47'","30/07/2007"
