"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","county","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","typeStatus","fieldNumber","individualCount","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","00919301","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","warmingiana","Miconia warmingiana","Cogn.","R. Goldenberg","H. S. Irwin","30284","1971","01","13","South America","Brazil","Minas Gerais","Serra do Espinhaço, base of Serra da Piedade, ca. 35 km E. of Belo Horizonte, road to Caeté","-43.676328","-19.820266","1600","1600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1005775' target='other'> <mi>dwc_moreinfo</mi></a>","NY00919301","NY00919301_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 10:04:35-03","NBC","NL-BOTANY","U.1397185","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Miconia","warmingiana","Miconia warmingiana","Cogn.",NA,"Rutten LMR",NA,"1920","10","04","Southern America","Brazil",NA,"Rio de Janero, Silvesche.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1397185 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1397185","NL-U1397185","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 10:04:35-03","NBC","NL-BOTANY","U.1397186","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Miconia","warmingiana","Miconia warmingiana","Cogn.",NA,"Rutten LMR",NA,"1920","10","04","Southern America","Brazil",NA,"Rio de Janero, Silvesche.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1397186 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1397186","NL-U1397186","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-01-14 15:31:40-03","MN","R","9601","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","warmingiana","Miconia warmingiana","Cogn.",NA,"Glaziou, A.F.M.",NA,"1895","10","23",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,"Plantas do Brasil Central","R000009601","R000009601_001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-11-06 09:56:28-03","UFOP","OUPR","6613","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","warmingiana","Miconia warmingiana","Cogn.","Damazio, L.B.","Damazio, L.B.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais",NA,"-43.8897018432617","-19.6271991729736",NA,NA,NA,NA,NA,NA,NA,"Lagoa Santa","12338","auto",NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-12-18 15:50:47-03","UFOP","OUPR","22001","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","warmingiana","Miconia warmingiana","Cogn.","Silva, A.A.","Rezende, J.M.","735","2002","12","10",NA,"Brasil","Goiás",NA,"-47.9502983093262","-16.2525005340576",NA,NA,NA,"Cerrado antropizado. Relevo ondulado. Substrato cascalhento. Arbusto com 1m",NA,NA,NA,"Luziania","83221","auto","2004","01","08",NA,NA,NA,NA,NA
"7","2020-10-22 14:00:27-03","MNHN","RECOLNAT_MNHN_P","P01167885","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Miconia","warmingiana","Miconia warmingiana","Cogn.",NA,"Warming, E.",NA,NA,NA,NA,NA,"Brasil",NA,"Lagoa Sta.",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01167885' target='other'> <mi>dwc_moreinfo</mi></a>","P01167885","P01167885_01",NA,NA,NA,NA,NA,NA,NA,"isotype","140",NA,NA,NA
"8","2015-09-04 21:26:46-03","MNHN","RECOLNAT_MNHN_P","P05315616","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Miconia","warmingiana","Miconia warmingiana","Cogn.",NA,"Glaziou",NA,"1898","10","23",NA,"Brasil","Minas Gerais","São José do Matosinho.",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05315616' target='other'> <mi>dwc_moreinfo</mi></a>","P05315616","P05315616_01",NA,NA,NA,NA,NA,NA,NA,NA,"21393",NA,NA,NA
"9","2015-09-04 21:26:46-03","MNHN","RECOLNAT_MNHN_P","P05315617","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Miconia","warmingiana","Miconia warmingiana","Cogn.",NA,"Glaziou, A.",NA,"1895","10","23",NA,"Brasil","Minas Gerais","São José de Matosinho, prés Corvello.",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05315617' target='other'> <mi>dwc_moreinfo</mi></a>","P05315617","P05315617_01",NA,NA,NA,NA,NA,NA,NA,NA,"21393",NA,NA,NA
"10","2015-08-13 05:50:00-03","MO","MOBOT","3234553","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","warmingiana","Miconia warmingiana","Cogn.","M.K. Caddah","Howard S. Irwin|R.M. Harley|Eunice Onishi","Irwin 30284","1971",NA,NA,"South America","Brazil","Minas Gerais","At base of Serra da Piedade, ca. 35 km. E. of Bleo Horizonte, road to Caete.",NA,NA,"1600.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"11","2020-09-12 05:00:02-03","US","US","2628596","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Miconia","warmingiana","Miconia warmingiana","Cogn.",NA,"H. S. Irwin, R. M. Harley & E. Onishi","30284","1971","1","13","South America - Neotropics","Brazil","Minas Gerais","Serra do Espinhaço. At base of Serra da Piedade, ca. 35km E. of Belo Horizonte, road to Caete.",NA,NA,"1600",NA,NA,NA,"US02944846","US02944846_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"12","2019-11-01 15:04:22-03","UnB","UB","190441","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Melastomataceae","Miconia","warmingiana","Miconia warmingiana","Cogn.","Chiea, SAC","Eiten, G","6979","1965","11","29","Southern America","Brasil","Minas Gerais","Ca. 4 km due S of city of Ouro Preto. Along dirt road up mountain to east of village of Saramenha. Ca. 2 km due E of aluminium factory, on valley slope","-43.5","-20.416667","1500","1600",NA,"Rangy shrub with stems 3 m long. Petals & style white;; Tall secondary shrubbery at roadside",NA,NA,NA,"Ouro Preto",NA,NA,"1983","05",NA,NA,NA,NA,"-43.5","-20.416667"
"13","2014-06-10 14:57:31-03","CAS","CAS-BOT","370924","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","warmingiana","Miconia warmingiana","Cogn.",NA,"Irwin, H. S.; Harley, R. M.; Onishi, E.","30284","1971","1",NA,"South America","Brazil","Minas Gerais","At base of Serra da Piedade, ca. 35km E. of Belo Horizonte, road to Caete.",NA,NA,"1600",NA,NA,"Shrub ca. 1.5 m tall. Fruit light gray-green.",NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
