"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","previousCatalogNumber","fieldNumber","individualCount","typeStatus","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","00499889","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Cyanocephalus","lippioides","Cyanocephalus lippioides","(Pohl ex Benth.) Harley & J.F.B.Pastore","F. C. Hoehne","s.n.","1938","06","14","South America","Brazil","São Paulo","Botucatu","Alto de Botucatu.","-48.4397","-22.88","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=274419' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499889","NY00499889_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00499888","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Cyanocephalus","lippioides","Cyanocephalus lippioides","(Pohl ex Benth.) Harley & J.F.B.Pastore","S. M. de Campos","217","1960","04","20","South America","Brazil","São Paulo","Sao Carlos","Sao Carlos, km 157 da rodovia para Ribeirao Preto.","-47.8897","-22.0103","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=274418' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499888","NY00499888_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00857568","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Cyanocephalus","lippioides","Cyanocephalus lippioides","(Pohl ex Benth.) Harley & J.F.B.Pastore","L. Riedel","83",NA,NA,NA,"South America","Brazil",NA,NA,"Pr. St. Juan.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=943560' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857568","NY00857568_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00857567","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Cyanocephalus","lippioides","Cyanocephalus lippioides","(Pohl ex Benth.) Harley & J.F.B.Pastore","A. F. Regnell","I328","1961","06","18","South America","Brazil","Minas Gerais","Caldas",NA,"-46.3858","-21.9236","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=943559' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857567","NY00857567_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00857565","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Cyanocephalus","lippioides","Cyanocephalus lippioides","(Pohl ex Benth.) Harley & J.F.B.Pastore","H. S. Irwin","29277","1971","01","27","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, lower slopes of Serra da Caraça, ca. 12 km W. of Barão de Cocais","-43.4927778","-20.1263","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=943556' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857565","NY00857565_01","1500","1500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00857566","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Cyanocephalus","lippioides","Cyanocephalus lippioides","(Pohl ex Benth.) Harley & J.F.B.Pastore","R. M. Harley","4483","1984","07","14","South America","Brazil","Minas Gerais","Diamantina","Estrada do Medanha (MG2) ca. de 10 km.","-43.6003","-18.2494","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=943557' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857566","NY00857566_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00499891","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Cyanocephalus","lippioides","Cyanocephalus lippioides","(Pohl ex Benth.) Harley & J.F.B.Pastore","L. Emygdio de Mello Filho","3273","1972","07","13","South America","Brazil","Minas Gerais",NA,"Gandarela.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=274421' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499891","NY00499891_01","1570","1570",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00499890","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Cyanocephalus","lippioides","Cyanocephalus lippioides","(Pohl ex Benth.) Harley & J.F.B.Pastore","G. Eiten","5617","1964","07","31","South America","Brazil","São Paulo","Moji-Guaçu","Campos das Sete Lagôas. Fazenda Campininha, just north of Rio Moji-Guaçu. 6.5 km. NNW of Padua Sales. (About 27 km NW of city of Moji-Mirim.)",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=274420' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499890","NY00499890_01","625","625",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:32:45-03","EAO","IAN","94207","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Cyanocephalus","lippioides","Cyanocephalus lippioides","(Pohl ex Benth.) Harley & Pastore, J.F.B.","Glaziou, AFM","8178","1876","02","11","Southern America","Brasil","São Paulo",NA,"Campos da Bocaina.",NA,NA,NA,NA,"IAN094207",NA,NA,NA,"Harley, R","2015","03","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:32:45-03","EAO","IAN","35570","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Cyanocephalus","lippioides","Cyanocephalus lippioides","(Pohl ex Benth.) Harley & Pastore, J.F.B.","Viégas, AP","6430","1941","07","05","Southern America","Brasil","Minas Gerais","Poços de Caldas","Estrada Poços de Caldas, 5km.","-46.5614013671875","-21.7877998352051",NA,NA,"IAN035570","IAN035570 IAN035570_e",NA,NA,"Harley, RM","2015","03",NA,"23696","auto",NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-02-08 09:32:30-03","NBC","NL-BOTANY","U.1414903","PreservedSpecimen","Plantae",NA,"Lamiales","Labiatae","Hyptis","lippioides","Hyptis lippioides","Pohl ex Benth.","Widgren JF",NA,"1845","01","01","Southern America","Brazil",NA,NA,"Prov: Minas Geraes Caldas.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1414903 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1414903","NL-U1414903",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"12","2020-02-08 09:32:30-03","NBC","NL-BOTANY","U.1414904","PreservedSpecimen","Plantae",NA,"Lamiales","Labiatae","Hyptis","lippioides","Hyptis lippioides","Pohl ex Benth.","Irwin HS; Harley RM; Onishi E",NA,"1971","01","27","Southern America","Brazil",NA,NA,"Estado de Minas Gerais. Serra do Espinhaço. Lower slopes of Serra da Caraca, ca. 12km W. of Barão de Cocais, mainly campo and gallery forest on gray sand.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1414904 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1414904","NL-U1414904",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"13","2020-11-04 11:11:40-03","ESALQ","ESA","24961","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lamiaceae","Hyptis","lippioides","Hyptis lippioides","Pohl ex Benth.","Souza, J.P. et al.","199.0","1995","10","14",NA,"Brasil","Minas Gerais","Itabirito",NA,"-43.801399230957","-20.2532997131348",NA,NA,"ESA024961","ESA024961",NA,NA,"Harley, R.M.",NA,NA,NA,"20553","auto",NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-11-04 11:11:40-03","ESALQ","ESA","122288","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lamiaceae","Hyptis","lippioides","Hyptis lippioides",NA,"Vincent, R.C.; Viana, P.L.; Sobral, M.","584.0","2003","07","31",NA,"Brasil","Minas Gerais","Nova Lima","Sa. da Calçada/Retiro das Pedras","-43.8466987609863","-19.9855995178223",NA,"Campo rupestre quartzítico nodular","ESA122288","ESA122288","1300","1300",NA,NA,NA,NA,"29211","auto",NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-11-04 11:11:40-03","ESALQ","ESA","122256","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lamiaceae","Hyptis","lippioides","Hyptis lippioides",NA,"Vincent, R.C.","537.0","2002","06","05",NA,"Brasil","Minas Gerais","Nova Lima","Sa. da Calçada/Retiro das Pedras","-43.8466987609863","-19.9855995178223",NA,"Campo rupestre quartzítico nodular","ESA122256","ESA122256","1300","1300",NA,NA,NA,NA,"29211","auto",NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-11-04 11:11:40-03","ESALQ","ESA","3507","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lamiaceae","Hyptis","lippioides","Hyptis lippioides","Pohl ex Benth.","Catharino, E.L.M.","249.0","1985","02","12",NA,"Brasil","São Paulo","Itirapina",NA,"-47.8199996948242","-22.25",NA,NA,"ESA003507",NA,NA,NA,"Harley, R.M.",NA,NA,NA,"22843","auto",NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-11-04 11:11:40-03","ESALQ","ESA","122067","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lamiaceae","Hyptis","lippioides","Hyptis lippioides",NA,"Vincent, R.C.","155.0","2000","06","28",NA,"Brasil","Minas Gerais","Nova Lima","Sa. do Rola-Moça","-43.8466987609863","-19.9855995178223",NA,"Campo sobre canga hematítica nodular","ESA122067",NA,"1350","1350",NA,NA,NA,NA,"29211","auto",NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-01-14 15:31:20-03","MN","R","231477","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","lippioides","Hyptis lippioides","Pohl ex Benth.","Alves, R.J.V.","5622","1996","07","09",NA,"Brasil","Minas Gerais","Carrancas",NA,"-44.6425018310547","-21.4874992370605",NA,NA,"R010032816,R010032817",NA,NA,NA,"Harley, R.M.",NA,NA,NA,"21143","auto",NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-01-14 15:31:20-03","MN","R","11414","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","lippioides","Hyptis lippioides","Pohl ex Benth.","Glaziou, A.F.M.","8178","1876","02","11",NA,"Brasil","São Paulo","Bocaina",NA,"-48.5099983215332","-22.1299991607666",NA,"Plantas do Brasil Central","R000011414","R000011414_001",NA,NA,NA,NA,NA,NA,"18396","auto",NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-01-14 15:31:20-03","MN","R","11296","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","nervosa","Hyptis nervosa","Pohl ex Benth.","Glaziou, A.F.M.","17162","1887","09","12",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,"Plantas do Brasil Central","R000011296","R000011296_001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-12 01:35:19-03","UFPI","TEPB","4053","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","lippioides","Hyptis lippioides",NA,"Campos, S.M","217","1960","04","20",NA,"Brasil","São Paulo","São Carlos","Km 157 da rodovia para Ribeirão Preto","-47.8899993896484","-22.0100002288818",NA,"Arbusto 1m de altura, flores roxas Ambiente: Campo cerrado <ll>dwc_commonname:</ll> Pente-de-macaco",NA,NA,NA,NA,"A. Nogueira","1905","06","30","45913","auto",NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-12 01:35:19-03","UFPI","TEPB","4053","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","lippioides","Hyptis lippioides",NA,"S.M. Campos","217","1960","04","20",NA,"Brasil","São Paulo","São Carlos","Km 157 da rodovia para Ribeirão Preto","-47.8899993896484","-22.0100002288818",NA,"Arbusto 1m de altura, flores roxas Ambiente: Campo cerrado <ll>dwc_commonname:</ll> Pequi",NA,NA,NA,NA,"B.M.T. Walter","1997","11","20","45913","auto",NA,NA,NA,NA,NA,NA,NA,NA
