"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","continentOcean","country","preparationType","occurrenceRemarks","barcode","imagecode","class","year","month","day","stateProvince","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","recordNumber","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","locality","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","640175","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Caperonia","buettneriacea","Caperonia buettneriacea","Müll.Arg.","J. Külkamp","L. Riedel","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=391701' target='other'> <mi>dwc_moreinfo</mi></a>","NY00640175","NY00640175_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 09:47:35-03","NBC","NL-BOTANY","L.2194484","PreservedSpecimen","Plantae",NA,"Malpighiales","Euphorbiaceae","Caperonia","buettneriacea","Caperonia buettneriacea","Müll.Arg.","Smith LB","Hatschbach GG","Southern America","Brazil",NA,"Terrenos baldios<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2194484 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2194484","NL-L2194484","Magnoliopsidae","1959","10","20","Paraná","L 0240772 | 960335924",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-08-27 13:28:59-03","IAP","PACA-AGP","50649","PreservedSpecimen","Plantae","Magnoliophyta","Euphorbiales","Euphorbiaceae","Caperonia","buettneriacea","Caperonia buettneriacea","Muell. Arg.","Emrich-Rambo","Sehnem, A.",NA,"Brasil",NA,"Habitat: in paludosis ate dumetosis Fenofase: flor e fruto","PACA050649",NA,"Magnoliatae","1949","12","28","RS",NA,"1954","07","30","4452","Montenegro","-51.4611015319824","-29.6886005401611","21601","auto",NA,NA,NA,NA,NA
"4","2019-08-27 13:28:59-03","IAP","PACA-AGP","41201","PreservedSpecimen","Plantae","Magnoliophyta","Euphorbiales","Euphorbiaceae","Caperonia","buettneriacea","Caperonia buettneriacea","Muell. Arg.","Emrich-Rambo","Rambo, B.",NA,"Brasil",NA,"Habitat: in paludosis alte dumetosis Fenofase: flor e fruto","PACA041201",NA,"Magnoliatae","1949","04","22","RS",NA,"1954","07","30",NA,"Porto Alegre","-51.2299995422363","-30.0331001281738","29946","auto","Ilha das Flores",NA,NA,NA,NA
"5","2019-08-27 13:28:59-03","IAP","PACA-AGP","33937","PreservedSpecimen","Plantae","Magnoliophyta","Euphorbiales","Euphorbiaceae","Caperonia","buettneriacea","Caperonia buettneriacea","Muell. Arg.","Emrich-Rambo","Rambo, B.",NA,"Brasil",NA,"Habitat: in paludosis alte dumetosis Fenofase: flor e fruto","PACA033937",NA,"Magnoliatae","1946","02","02","SC",NA,"1954","07","29",NA,"Araranguá","-49.4858016967773","-28.934700012207","19353","auto","Sombrio",NA,NA,NA,NA
"6","2021-03-24 17:09:02-03","UFES","SAMES","7771","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Caperonia","buettneriacea","Caperonia buettneriacea","Müll.Arg.","Wandekoken,D.T.","Wandekoken,D.T.; Pereira,O,J.",NA,"Brasil",NA,"Habito: Herbácea","SAMES07771",NA,NA,"2016","06","10","Espírito Santo",NA,"2017","04","17","172","Guarapari","-40.5110015869141","-20.6580009460449","28401","auto",NA,"-407069444.0","-210091666.0",NA,NA
"7","2019-11-21 14:35:34-03","UFJF","CESJ","10469","PreservedSpecimen","Plantae","Angiosperma",NA,"Euphorbiaceae","Caperonia","buettneriacea","Caperonia buettneriacea","Müll.Arg.","G.M.Barroso","L. Krieger","América do Sul","Brasil",NA,"Erva, 80cm, fl.brancas. Na restinga.","CESJ010469",NA,NA,"1971","04","07","Rio de Janeiro",NA,"1979","07",NA,"CESJ10469","Rio das Ostras","-41.9449996948242","-22.5268993377686","17620","auto",NA,NA,NA,NA,NA
"8","2021-03-16 17:53:16-03","UCS","HUCS","5657","PreservedSpecimen","Plantae","Angiospermae","Malpighiales","Euphorbiaceae","Caperonia","buettneriacea","Caperonia buettneriacea","Müll. Arg.","Rambo, E.","Rambo, B.",NA,"Brasil",NA,"Herbário PACA 33937",NA,NA,NA,"1946","02","02","Santa Catarina",NA,"1954","07","29","s.n.","Araranguá","-49.4858016967773","-28.934700012207","19353","auto",NA,NA,NA,NA,NA
"9","2020-04-27 16:09:36-03","UFES","VIES","39617","S","Plantae",NA,NA,"Euphorbiaceae","Caperonia","buettneriacea","Caperonia buettneriacea","Müll.Arg.","Wandekoken, D.T.","Wandekoken, D.T.; Pereira, O.J.",NA,"Brasil",NA,NA,"VIES039617","VIES039617",NA,"2016","10","10","Espírito Santo",NA,"2017","04","17","172","Guarapari","-40.4225","-20.599167",NA,NA,"PEPCV. Brejo.","40º25'21''W","20º35'57''S",NA,NA
"10","2020-04-27 16:09:36-03","UFES","VIES","11040","S","Plantae",NA,NA,"Euphorbiaceae","Caperonia","buettneriacea","Caperonia buettneriacea","Müll.Arg.","Zambom, O.","Pereira, O.J.; Zambom, O.",NA,"Brasil",NA,NA,"VIES011040","VIES011040",NA,"1996","09","24","Espírito Santo",NA,"1996","09",NA,"5620","Linhares","-40.0722007751465","-19.3910999298096","48094","auto","Pontal do Ipiranga.",NA,NA,NA,NA
