"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","fieldNumber","typeStatus","individualCount","class","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","1843382","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lychnophora","pohlii","Lychnophora pohlii","Sch.Bip.","J. Semir","B. Maguire","44735","1959","12","22","South America","Brazil","Minas Gerais","49 miles from Diamantina","1158","1158","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2050109' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843382","NY01843382_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00863363","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lychnophora","pohlii","Lychnophora pohlii","Sch.Bip.",NA,"R. Luque","S.n.","1992","04","19","South America","Brazil","Minas Gerais","Diamantina. Estrada Diamantina- Conselheiro Mata km 185",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=951281' target='other'> <mi>dwc_moreinfo</mi></a>","NY00863363","NY00863363_01","Diamantina","-43.6003","-18.2494",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","894842","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lychnophora","pohlii","Lychnophora pohlii","Sch.Bip.","B. Loeuille","G. G. Hatschbach","40861","1978","01","23","South America","Brazil","Minas Gerais","Biri-biri.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966684' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894842","NY00894842_01","Diamantina","-43.6003","-18.2494",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","894843","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lychnophora","pohlii","Lychnophora pohlii","Sch.Bip.","B. Loeuille","G. G. Hatschbach","44702","1982","03","13","South America","Brazil","Minas Gerais","Trinta Reis, 8 km S.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966687' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894843","NY00894843_01","Tijucal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1843406","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lychnophora","pohlii","Lychnophora pohlii","Sch.Bip.","J. Semir","H. S. Irwin","22735","1969","01","27","South America","Brazil","Minas Gerais","Ca. 12 km NE of Diamantina, road to Mendanha. Serra do Espinhaço.","1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2050523' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843406","NY01843406_01",NA,"-43.55","-18.18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","908837","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lychnophora","pohlii","Lychnophora pohlii","Sch.Bip.","B. Loeuille","T. B. Cavalcanti","183","1989","02","15","South America","Brazil","Minas Gerais","BR-269, Serro-Datas, 35 km.","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=978634' target='other'> <mi>dwc_moreinfo</mi></a>","NY00908837","NY00908837_01","Presidente Kubitschek","-43.65","-18.47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1843349","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lychnophora","pohlii","Lychnophora pohlii","Sch.Bip.","J. Semir","G. L. Smith","797","1979","12","14","South America","Brazil","Minas Gerais","Along hwy MG-2, a dirt road NE of Diamantina to Couto de Magalhães.","110",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2050010' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843349","NY01843349_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1843348","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lychnophora","pohlii","Lychnophora pohlii","Sch.Bip.","J. Semir","A. F. M. Glaziou","19488","1892","04","04","South America","Brazil","Minas Gerais","Serra dos Cristais, pres Diamantina.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2050008' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843348","NY01843348_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1843315","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lychnophora","pohlii","Lychnophora pohlii","Sch.Bip.","J. Semir","G. L. Smith","999","1980","10","04","South America","Brazil","Minas Gerais","Serra do Espinhaço. Estrada 36F, 4 km NE of Diamantina.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2049963' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843315","NY01843315_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:01:55-03","ESALQ","ESA","77953","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Lychnophora","pohlii","Lychnophora pohlii","Sch. Bip.","Loeuille, B.","Souza, V.C.; Sampaio, D.; Araújo, A.O.; Romão, G.O.; Elias, S.I.","28455.0","2002","02","25",NA,"Brasil","Minas Gerais","Estrada para Conselheiro Matta, ca. 16 km de Diamantina. 1300 m.s.m.",NA,NA,NA,"Arbusto, ca. 1 m alt.; flores alvas a roxas. Campo arenoso.","ESA077953","ESA077953","Diamantina","-434.312","-181.658","-434,312","-181,658",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
