"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","geoFlag","monthIdentified","locality","imagecode","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","continentOcean","occurrenceRemarks","verbatimLongitude","verbatimLatitude","infraspecificEpithet","fieldNumber","preparationType","individualCount","class","order","typeStatus","phylum","sex"
"1","2020-11-04 10:56:11-03","ESALQ","ESA","135671","PreservedSpecimen","Plantae","Monimiaceae","Macropeplus","friburgensis","Macropeplus friburgensis","(Perkins) I. Santos & Peixoto","A.L. Peixoto","2014","T.M. Scarponi","82.0","2014","08","13","Brasil","Rio de Janeiro","Nova Friburgo","-42.5311012268066","-22.2819004058838","33190","ESA135671","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-04-27 16:10:40-03","UFES","VIES","23285","S","Plantae","Monimiaceae","Macropeplus","friburgensis","Macropeplus friburgensis","(Perkins) I.Santos & Peixoto","LIRIO","2017","Lírio, E. J.; Vianny, P.; Cardoso, L. & Silva, M. F. O.","1214","2015","08","29","Brasil","Rio de Janeiro","Nova Friburgo","-42.5311012268066","-22.2819004058838","33190","VIES023285","auto","02","Macaé de Cima, mata do sítio do tio do Pablo Vianny. Macaé de Cima, mata do sítio do tio do Pablo Vianny.","VIES023285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-06-29 09:31:10-03","UFRRJ","RBR","9162","S","Plantae","Monimiaceae","Macropeplus","friburgensis","Macropeplus friburgensis","(Perkins) I.Santos & Peixoto","I.S. Santos","2000","H.C. Lima; B.C. Kurtz, A. Costa, J. Caruzo","3456","1986","10","19","Brasil","Rio de Janeiro","Nova Friburgo","-42.5311012268066","-22.2819004058838","33190","RBR00009162","auto","09","Macaé de Cima, nascente do Rio das Flores, Sítio Sophronites.",NA,"16","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-06-29 09:31:10-03","UFRRJ","RBR","9161","S","Plantae","Monimiaceae","Macropeplus","friburgensis","Macropeplus friburgensis","(Perkins) I.Santos & Peixoto","I.S. Santos","2000","H.C. Lima","s/ns.n.","1988","10","17","Brasil","Rio de Janeiro","Nova Friburgo","-42.5311012268066","-22.2819004058838","33190","RBR00009161","auto","10","Reserva Ecológica de Macaé de Cima, Nascente do Rio das Flores. Coord. 22º 00 S, 42º 03#?# W.",NA,"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-06-29 09:31:10-03","UFRRJ","RBR","9160","S","Plantae","Monimiaceae","Macropeplus","friburgensis","Macropeplus friburgensis","(Perkins) I.Santos & Peixoto","I.S. Santos","2000","H.C. Lima","s/ns.n.","1988","10","21","Brasil","Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442","RBR00009160","auto","09","Jardim Botânico do Rio de Janeiro.",NA,"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-21 16:35:42-03","MBM","MBM","425307","PreservedSpecimen","Plantae","Monimiaceae","Macropeplus","friburgensis","Macropeplus friburgensis","(Perkins) I. Santos & Peixoto","Lírio, E.J.",NA,"Lírio, E.J.; Vianny, P.; Cardoso, L.; Silva, M.F.O.; Vianny, P.; Cardoso, L.; Silva, M.F.O.","1248","2015","09","20","Brazil","Rio de Janeiro","Nova Friburgo","-42.5311012268066","-22.2819004058838","33190","MBM425307","auto",NA,"Macaé de Cima, Mata do sítio do tio do Pablo Vianny",NA,NA,NA,NA,"Southern America","Arvoreta 3m, flores pistiladas brancas. Ind. 1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-21 16:35:42-03","MBM","MBM","398293","PreservedSpecimen","Plantae","Monimiaceae","Macropeplus","friburgensis","Macropeplus friburgensis","(Perkins) I. Santos & Peixoto","Peixoto, A.L.","2014","Scarponi, T.M.; Nascimento, L.S.; Ammon, R.A.; Hottz, D.; Nascimento, L.S.; Ammon, R.A.; Hottz, D.","82","2014","08","13","Brazil","Rio de Janeiro","Nova Friburgo","-42.390006","-22.710006",NA,"MBM398293",NA,"11","Localidade de Rio Bonito. Conglomerado 14-2-4-42. Proj.: Inventário Florestal Nacional","MBM398293","25","750","750","Southern America","Árvore de 6 metros de altura, casca internamente vermelha, externamente cinza escuro, fina, áspera. Base reta. Frutos imaturos com 0,3-0,5 centímetros, em forma de globo, verde, carnosa, com polpa.; Floresta Ombrófila Densa Montana,","-42.390006","-22.710006",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:35:42-03","MBM","MBM","425309","PreservedSpecimen","Plantae","Monimiaceae","Macropeplus","friburgensis","Macropeplus friburgensis","(Perkins) I. Santos & Peixoto","Lírio, E.J.","2015","Lírio, E.J.; Vianny, P.; Cardoso, L.; Silva, M.F.O.; Vianny, P.; Cardoso, L.; Silva, M.F.O.","1216","2015","08","29","Brazil","Rio de Janeiro","Nova Friburgo","-42.5311012268066","-22.2819004058838","33190","MBM425309","auto",NA,"Macaé de Cima, Mata do sítio do tio do Pablo Vianny",NA,NA,NA,NA,"Southern America","Arvoreta, botões estaminados. Topo. Fotos.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:35:42-03","MBM","MBM","230041","PreservedSpecimen","Plantae","Monimiaceae","Macropeplus","ligustrinus","Macropeplus ligustrinus friburgensis","(Tul.) Perkins",NA,NA,"Ratter, J.A.; et al.; et al.","3907",NA,NA,NA,"Brazil","Distrito Federal",NA,NA,NA,NA,"MBM230041",NA,NA,"Fazenda Água Limpa, 18km SSW de Brasília","MBM230041",NA,NA,NA,"Southern America",NA,NA,NA,"friburgensis",NA,NA,NA,NA,NA,NA,NA,NA
"10","2015-10-05 05:51:06-03","MNHN","RECOLNAT_MNHN_P","P00080034","PreservedSpecimen",NA,"Monimiaceae","Macropeplus","friburgensis","Macropeplus friburgensis","(Perkins) I.Santos & Peixoto","Lirio",NA,"Glaziou, A.",NA,"1888","9","22","Brésil",NA,NA,NA,NA,NA,"P00080034",NA,NA,"(Rio Jan.) Alto Macahé","P00080034_01",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00080034' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"17769","hb",NA,NA,NA,NA,NA,NA
