"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","phylum","order","continentOcean","preparationType","class","typeStatus","relationshipType","relatedCatalogItem","previousCatalogNumber","fieldNumber","individualCount","infraspecificEpithet"
"1","2021-04-05 14:33:37-03","UNESC","CRI","11658","PreservedSpecimen","Plantae","Lycopodiaceae","Phlegmariurus","flexibilis","Phlegmariurus flexibilis","(Fée) B.Øllg.","T.J. Cadorin","2010","09","27","T.J. Cadorin; B. Grosch & R. Zimmermann","2557","2010","06","15","Brasil","Santa Catarina","Nova Trento","RPPN Prima Luna/Monte Barão.","-49.026944","-27.263611","49º1'37''W","27º15'49''S","109","109","Floresta Ombrófila Densa Alto Montana Habitat: beira do riacho Habito: epífita de arbórea","CRI008286","CRI008286",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:26-03","UNESC","CRI","11661","PreservedSpecimen","Plantae","Lycopodiaceae","Phlegmariurus","flexibilis","Phlegmariurus flexibilis","(Fée) B.Øllg.","T.J. Cadorin","2010","03","23","T.J. Cadorin; B. Grosch & R. Zimmermann","1285","2010","02","16","Brasil","Santa Catarina","Blumenau","Parque Nacional da Serra do Itajaí - Morro do Spitzkopf.","-49.118056","-27.006944","49º7'5''W","27º0'25''S","249","249","Floresta Ombrófila Densa","CRI008567","CRI008567",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:26-03","UNESC","CRI","10914","PreservedSpecimen","Plantae","Lycopodiaceae","Phlegmariurus","flexibilis","Phlegmariurus flexibilis","(Fée) B.Øllg.","San Zatta Custódio","2014","11","01","San Zatta Custódio",NA,"2014","10","22","Brasil","Santa Catarina","Grão Pará","Serra Furada","-49.212778","-28.186667","49º12'46''W","28º11'12''S",NA,NA,"Habito: Epífita","CRI013861","CRI013861",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:26-03","UNESC","CRI","12201","PreservedSpecimen","Plantae","Lycopodiaceae","Phlegmariurus","flexibilis","Phlegmariurus flexibilis","(Fée) B.Øllg.","Gasper, AL de","2009","09","24","Korte, A; Cadorin, TJ & Gasper, AL de","322","2009","09","24","Brasil","Santa Catarina","Botuverá","Cinema.","-49.23","-27.27","49º13'48''W","27º16'12''S","526","526","Doação Herbário FURB (14720)","CRI010379",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:26-03","UNESC","CRI","10020","PreservedSpecimen","Plantae","Lycopodiaceae","Phlegmariurus","flexibilis","Phlegmariurus flexibilis","(Fée) B.Øllg.","San Zatta Custódio","2014","11","01","San Zatta Custódio",NA,"2014","10","22","Brasil","Santa Catarina","Grão Pará",NA,"-49.2146987915039","-28.1849994659424",NA,NA,NA,NA,"Habito: Epífita","CRI010989",NA,"24844","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","788942","PreservedSpecimen","Plantae","Lycopodiaceae","Huperzia","flexibilis","Huperzia flexibilis","(Fée) B.Øllg.","B. Øllgaard; P. G. Windisch",NA,NA,NA,"R. Schmalz","153","1906","05","03","Brazil","Santa Catarina","Joinville","Piraheiraba.","-48.8456","-26.3044",NA,NA,"30","30","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=794672' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788942","NY00788942_01",NA,NA,"Lycopodiophyta","Lycopodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","788943","PreservedSpecimen","Plantae","Lycopodiaceae","Huperzia","flexibilis","Huperzia flexibilis","(Fée) B.Øllg.","B. Øllgaard; P. G. Windisch",NA,NA,NA,"F. C. Hoehne","23113","1928","10","20","Brazil","Paraná","Morretes",NA,"-48.8342","-25.4769",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=794676' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788943","NY00788943_01",NA,NA,"Lycopodiophyta","Lycopodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","788941","PreservedSpecimen","Plantae","Lycopodiaceae","Huperzia","flexibilis","Huperzia flexibilis","(Fée) B.Øllg.","P. H. Labiak E.",NA,NA,NA,"P. H. Labiak E.","096","1994","03","26","Brazil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.65","-26.15",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=794666' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788941","NY00788941_01",NA,NA,"Lycopodiophyta","Lycopodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-29 18:46:00-03","NY","NYBG","788944","PreservedSpecimen","Plantae","Lycopodiaceae","Huperzia","flexibilis","Huperzia flexibilis",NA,"B. Øllgaard",NA,NA,NA,"R. Schmalz","153","1902","10",NA,"Brazil","Santa Catarina",NA,"Pirateiraba.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=794686' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788944","NY00788944_01",NA,NA,"Lycopodiophyta","Lycopodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","2553662","PreservedSpecimen","Plantae","Lycopodiaceae","Lycopodium","linifolium","Lycopodium linifolium","L.",NA,NA,NA,NA,"H. S. Irwin","48337","1960","09","17","Brazil","Amapá",NA,"Rio Oiapoque. About 2 km southwest of mouth of RIo Ingarari.","-52.65","2.3",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2803738' target='other'> <mi>dwc_moreinfo</mi></a>","NY02553662","NY02553662_01",NA,NA,"Lycopodiophyta","Lycopodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","2553663","PreservedSpecimen","Plantae","Lycopodiaceae","Lycopodium","linifolium","Lycopodium linifolium","L.",NA,NA,NA,NA,"J. M. Poole","2101","1979","07","21","Brazil","Amazonas","São Gabriel da Cachoeira","NW of São Gabriel, near mouth of the Rio Uaupés.","-67.3404837","0.0917208",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2803739' target='other'> <mi>dwc_moreinfo</mi></a>","NY02553663","NY02553663_01",NA,NA,"Lycopodiophyta","Lycopodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
