"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","class","infraspecificEpithet","yearIdentified","monthIdentified","dayIdentified","fieldNumber","individualCount","typeStatus","verbatimLongitude","verbatimLatitude","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","625768","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Stelis","ruprechtiana","Stelis ruprechtiana","Rchb.f.","G. F. J. Pabst","R. Reitz","1.904","1954","07","01","South America","Brazil","Santa Catarina","Itajaí","Morro da Fazenda.","-48.6617","-26.9081","300","300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=579011' target='other'> <mi>dwc_moreinfo</mi></a>","NY00625768","NY00625768_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","625751","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Stelis","ruprechtiana","Stelis ruprechtiana","Rchb.f.",NA,"R. Reitz","3.452","1956","07","18","South America","Brazil","Santa Catarina","Ibirama","Hôrto Florestal I.N.P.","-49.5178","-27.0569","250","250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=579013' target='other'> <mi>dwc_moreinfo</mi></a>","NY00625751","NY00625751_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","625769","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Stelis","ruprechtiana","Stelis ruprechtiana","Rchb.f.","G. F. J. Pabst","R. M. Klein","2.910","1962","09","13","South America","Brazil","Santa Catarina","Lages","Alto da Serra, Encruzilhada.","-50.3258","-27.8161","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=579012' target='other'> <mi>dwc_moreinfo</mi></a>","NY00625769","NY00625769_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","625749","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Stelis","ruprechtiana","Stelis ruprechtiana","Rchb.f.",NA,"R. Reitz","4965","1957","10","03","South America","Brazil","Santa Catarina","Sao Francisco do Sul","Três Barras, Garuva.","-48.6381","-26.2433","50","50","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=579015' target='other'> <mi>dwc_moreinfo</mi></a>","NY00625749","NY00625749_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","625750","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Stelis","ruprechtiana","Stelis ruprechtiana","Rchb.f.",NA,"R. Reitz","2056","1954","08","20","South America","Brazil","Santa Catarina","Itajaí","Braço Joaquim, Luis Alves.","-48.941177","-26.748537","450","450","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=579014' target='other'> <mi>dwc_moreinfo</mi></a>","NY00625750","NY00625750_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-12-04 15:26:38-03","PUCPR","HUCP","22394","S","Plantae","Monocotiledonea",NA,"Orchidaceae","Stelis","ruprechtiana","Stelis ruprechtiana","Rchb. f.",NA,"Keller, H","020","2008","11","02",NA,"Brasil","Paraná","Morretes",NA,"-48.834400177002","-25.476900100708",NA,NA,NA,NA,"HUCP00006356","HUCP00006356","30514","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 08:46:56-03","NBC","NL-BOTANY","L.1526811","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Stelis","ruprechtiana","Stelis ruprechtiana","Rchb.f.",NA,"Klein RM",NA,"1962","09","13","Southern America","Brazil",NA,NA,"Santa Catarina. Alto da Serra, Encruzilhada, Lajes. Epifito da mata.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1526811 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1526811","NL-L1526811",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 08:46:56-03","NBC","NL-BOTANY","U.1475253","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Stelis","ruprechtiana","Stelis ruprechtiana","Rchb.f.",NA,"Maas PJM; Martinelli G",NA,"1977","10","20","Southern America","Brazil",NA,NA,"Edo. Rio de Janeiro, Mun. Terezopolis, Parque Nacional da Serra dos Orgaos, Rio Beijaflor.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1475253 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1475253","NL-U1475253",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 08:46:56-03","NBC","NL-BOTANY","U.1475254","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Stelis","ruprechtiana","Stelis ruprechtiana","Rchb.f.",NA,"Maas PJM; Martinelli G",NA,"1977","10","20","Southern America","Brazil",NA,NA,"Edo.Rio de Janeiro, Mun. Terezopolis, Parque Nacional da Serra dos Orgaos, forested roadside between Sede do Parque acional and rio Paquequer.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1475254 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1475254","NL-U1475254",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-31 13:41:19-03","MN","R","13828","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Stelis","hoehnei","Stelis hoehnei","Schltr.","Schlechter, R.","Hoehne, F.C.","4232","1920","12","23",NA,"Brasil","São Paulo",NA,NA,NA,NA,NA,NA,NA,"Seção de Botânica Museu Paulista",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
