"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","8851","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Gomesa","duseniana","Gomesa duseniana","Kraenzl.","isotype","P. K. H. Dusén","9029","1909","11","23","South America","Brazil","Paraná","Serra do Mar, Monte Alegre","800","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=671933' target='other'> <mi>dwc_moreinfo</mi></a>","NY00008851","NY00008851_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","547570","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Gomesa","duseniana","Gomesa duseniana","Kraenzl.",NA,"G. G. Hatschbach","16019","1967","02","21","South America","Brazil","Paraná","Rio Taquari",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=671932' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547570","NY00547570_01","G. F. J. Pabst","Quatro Barras","-49.0767","-25.3658",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-04 15:26:36-03","PUCPR","HUCP","23089","S","Plantae","Monocotiledonea",NA,"Orchidaceae","Gomesa","glaziovii","Gomesa glaziovii","Cogn.",NA,"Kersten, RA","1592","2013","10","12",NA,"Brasil","Paraná",NA,NA,NA,NA,NA,"HUCP00002949","HUCP00002949","Kersten, RA","Morretes","-48.834400177002","-25.476900100708","30514","auto",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-31 13:40:59-03","MN","R","107368","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Gomesa","glaziovii","Gomesa glaziovii","Cogn.",NA,"Vidal, J.","II - 985","1952","03",NA,NA,"Brasil","Rio de Janeiro",NA,"1020","1020",NA,NA,NA,NA,"Pabst, G.F.J.",NA,NA,NA,NA,NA,"1962","04","15",NA,NA,NA,NA,NA
"5","2021-03-31 13:40:59-03","MN","R","18442","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Gomesa","glaziovii","Gomesa glaziovii","Cogn.",NA,"s.col.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brade, A.C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-02-15 11:46:54-02","IPA","IPA","16312","S","Plantae","Plantae",NA,"Orchidaceae","Gomesa","glaziovii","Gomesa glaziovii","Cogn.",NA,"Andrade-Lima","67-5117","1967","11","12","Southern America","Brasil","São Paulo","alto da Serra para Paranapiacaba.",NA,NA,NA,"Epífita em arbustos.; Campo semi-alagado.","IPA0016312",NA,"Félix, L.P.",NA,NA,NA,NA,NA,"1988","07","13",NA,NA,NA,NA,NA
"7","2019-11-21 14:40:45-03","UFJF","CESJ","9366","PreservedSpecimen","Plantae","Angiosperma",NA,"Orchidaceae","Gomesa","glaziovii","Gomesa glaziovii","Cogn.",NA,"U.C. Câmara","s.n.","1970","09","29","América do Sul","Brasil","Minas Gerais","Serra de Ibitipoca",NA,NA,NA,NA,"CESJ009366",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-06-30 18:32:38-03","UFJF","CESJ","27242","PreservedSpecimen","Plantae","Angiosperma",NA,"Orchidaceae","Gomesa","glaziovii","Gomesa glaziovii","Cogn.",NA,"R.C. Forzza","76",NA,NA,NA,"América do Sul","Brasil","Minas Gerais","Parque Estadual do Ibitipoca",NA,NA,NA,NA,"CESJ027242",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-11-21 14:40:45-03","UFJF","CESJ","67764","PreservedSpecimen","Plantae","Angiosperma",NA,"Orchidaceae","Gomesa","glaziovii","Gomesa glaziovii","Cogn.",NA,"D.E.F. Barbosa; G.A. Basilio","149","2013","10","27","América do Sul","Brasil","Minas Gerais","Conceição de Ibitipoca, Fazenda do Tanque, Floresta semidecidual montana","1300","1300",NA,"Epífita, entre 40cm e 2m. Flores com sépalas e pétalas verde, labelo verde com base amarela. Interior de mata.","CESJ067764",NA,"L. Menini Neto","Lima Duarte","-43.913333","-21.698611",NA,NA,"2013",NA,NA,"-43.913333","-21.698611",NA,NA,NA
"10","2021-03-01 16:20:10-03","UNICAMP","UEC","24727","S","Plantae","Liliopsida",NA,"Orchidaceae","Gomesa","glaziovii","Gomesa glaziovii","Cogn.",NA,"Shepherd, GJ; Vital, DM","11214","1977","11","11",NA,"Brazil","São Paulo","Ilha do Cardoso",NA,NA,NA,"Erva epífita, flores creme.; Mata","UEC137316","UEC137316","Romanini, RP","Cananéia","-47.9199981689453","-25.0100002288818","37574","auto","2006",NA,NA,NA,NA,NA,NA,NA
