"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","infraspecificEpithet","fieldNumber","typeStatus","individualCount","class","relatedCatalogItem","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","1032053","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","nuda","Habenaria nuda","Lindl.","M. M. Correa","S. A. Mori","14508","1981","06","17","South America","Brazil","Bahia","Morro do Chapéu","BR052, vicinity of bridge over Rio Ferro Doido, ca 18 km E of Morro do Chapeu.","-41.1558","-11.5503","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1190289' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032053","NY01032053_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-01-28 13:11:28-03","MCN-PUC-MINAS","HPUC-MG","ANG2000","S","Plantae",NA,NA,"Orchidaceae","Habenaria","cf. nuda","Habenaria cf. nuda",NA,"J.A.N. Batista & R. Belisário","M.F.Vasconcelos","13-447","2013","06","01",NA,"Brasil","Minas Gerais","Catas Altas","Trilha para Bocaina - Serra do Caraça","-43.466667","-20.116667",NA,NA,NA,"Corola esverdeada.",NA,NA,"43°28'W","20°07'S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-22 11:16:05-03","UEMA","HABIT","3421","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","nuda","Habenaria nuda","Lindl.","Oliveira, M.S","Oliveira, M.S","124","2018","05","05",NA,"Brasil","MA","Caxias","Área de Proteção Ambiental Municipal do Inhamum","-43.3560981750488","-4.85889005661011",NA,NA,NA,"Ambiente: Cerrado",NA,NA,NA,NA,"72086","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-02 16:29:06-03","CPAN-UFMS","COR","12156","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","nuda","Habenaria nuda","Lindl.","Batista, J.A.N.","Ishii, I.H.; G.A.Damasceno Jr; alunos do 4° ano","700","2005","02","17",NA,"Brasil","Mato Grosso do Sul","Corumbá","MCR Rio Tinto. Beira de estrada de acesso ao RM2 (MCR) alto da barragem; ferrícola; morro.","-57.6533012390137","-19.0091991424561",NA,NA,NA,"Com Flor: creme, de 1cm; Com fruto:verde Habito: terrestre de 80cm de altura",NA,NA,NA,NA,"295160","auto","2019","05","02",NA,NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:28:42-03","UFBA","ALCB","69714","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Habenaria","nuda","Habenaria nuda","Lindl.","Batista, JAN","Guedes, ML; Velozo, ES","11819","2005","03","25","Southern America","Brasil","Bahia","Abaíra","Chapada Diamantina, Catolés, Trilha para a Serra do Barbado","-41.888611","-13.285278",NA,NA,NA,"de ca 1m. Folhas lineares. Flores com pétalas e labelo esverdeados. Ocasional.","ALCB007336","ALCB007336","-41.888611","-13.285278",NA,NA,"2014","05","09",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-31 13:41:04-03","MN","R","2479","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","nuda","Habenaria nuda var.nuda","Lindl.","Batista, J.A.N.","Ule, E.H.G.","755","1893","01",NA,NA,"Brasil","Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2000","01",NA,"var.nuda",NA,NA,NA,NA,NA,NA
"7","2020-12-20 21:18:45-03","UFV","VIC","45775","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","nuda","Habenaria nuda","Lindl. Pygmasa Hoehme","Batista, J.A.N.; T.L. Vieira","Paula, C.C. de; et al.","219","2002","08","04",NA,"Brasil","Minas Gerais","Ouro Branco","Serra do Ouro Branco, Área 2","-43.692222","-220.488889","1398","1398",NA,"Terrestre; brejo;herbácea de 0,45 m; frequência de 3 indivíduos num raio de aprox. 5 m; Folhas verde claro; sépalas verdes claro; pétalas verde claro.; Folhas verde claro; sépalas verdes claro; pétalas verde claro.; Terrestre; brejo;he","VIC045775","VIC045775","-43.692222","-220.488889",NA,NA,"2013","12",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-07 11:46:53-03","UFMS","CGMS","51189","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","nuda","Habenaria nuda","Lindl.","L. Bianchetti","V.J. Pott; A. Pott; G.A. Damasceno-Junior; J.A. Ratter; J. Yesilyurt; W. Milliken","7446","2005","02","16",NA,"Brasil","Mato Grosso do Sul","Corumbá","MCR (Mineração Corumbaense Reunidas), Rio Tinto.","-57.55","-19.2097222","840","840",NA,"Flor esverdeada. Coordenadas originais: 19°35#?#29'S 34°14#?#65'W Habitat: Cerrado. Solo minério de ferro. Relevo inclinado. Habito: Erva ereta terrestre, 70 - 90 cm de altura. Rara.","CGMS1081176",NA,"-57,55","-19,2097222",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-07 11:46:53-03","UFMS","CGMS","31470","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","nuda","Habenaria nuda","Lindl.","J.A.N. Batista","S.N. Moreira; V.J. Pott; A. Pott","324","2010","05","20",NA,"Brasil","Mato Grosso do Sul","Terenos","Fazenda Modelo da Embrapa Gado de Corte. Área de varjão proximo à ferrovia.","-54.7833333","-20.5566667","504","504",NA,"Flor esverdeada. Habitat: Borda de lagoa associada a vereda com buritis jovens esparsos em domínio de Cerrado. Habito: Erva anfíbia. 0,40-0,50m de altura.","CGMS1060908",NA,"-54,7833333","-20,5566667",NA,NA,"2011","06","29",NA,NA,NA,NA,NA,NA,NA
"10","2019-08-20 10:00:50-03","UNICAMP","UEC","112274","S","Plantae","Liliopsida",NA,"Orchidaceae","Habenaria","nuda","Habenaria nuda","Lindl.","Pansarin, ER","Ferreira, MCC; Belinello, R; Pansarin, ER; Faria, AD","113","2000","03",NA,NA,"Brazil","São Paulo","Itapeva","Rodovia SP 258 (Itapeva - Itararé), Margem do Rio Verde.","-48.8699989318848","-23.9799995422363",NA,NA,NA,NA,"UEC034330","UEC034330",NA,NA,"42926","auto","2001","09",NA,NA,NA,NA,NA,NA,NA,NA
