"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","recordNumber","typeStatus","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","coordinatePrecision","geoFlag","class","eventTime","fieldNumber","individualCount","relatedCatalogItem","sex"
"1","2021-04-05 14:33:41-03","UNESC","CRI","1539","PreservedSpecimen","Plantae","Melastomataceae","Miconia","fasciculata","Miconia fasciculata","Gardner","Maria Leonor de Souza D#?#el Rey","R. Negrelle","1992","11","16","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","9","9","Habitat: Floresta Atlântica de Planície Quaternária Habito: arbórea","CRI004442","CRI004442",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:41-03","UNESC","CRI","1538","PreservedSpecimen","Plantae","Melastomataceae","Miconia","fasciculata","Miconia fasciculata","Gardner","Maria Leonor de Souza D#?#el Rey","R. Negrelle; et al.","1992","01","11","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","9","9","Habito: arvoreta","CRI004444","CRI004444",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:31-03","UNESC","CRI","13018","PreservedSpecimen","Plantae","Melastomataceae","Miconia","fasciculata","Miconia fasciculata","Gardner","Oliveira, AA de","Oliveira, A.A. de","2015","02","12","Brasil","Santa Catarina","Apiúna","Salão. Salão.","-49.320556","-27.180278","49º19'14''W","27º10'49''S","647","647","Regeneração IFFSC 517 /O/56 Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração Habito: flor inflorescência verde clara","CRI011625",NA,"2015","02","12","1144",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:41:32-03","E","E","285852","PreservedSpecimen","Plantae","Melastomataceae","Miconia","fasciculata","Miconia fasciculata",NA,NA,"Gardner, George",NA,NA,NA,"BR","Rio de Janeiro",NA,"Rio Janeiro.",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00285852 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00285852",NA,NA,NA,NA,"183","unspecified kind of","E. Tropical South America","herbarium specimen of unspecif","BGBASE:297686",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","229130","PreservedSpecimen","Plantae","Melastomataceae","Miconia","divaricata","Miconia divaricata","Gardner",NA,"G. Gardner","1837","02",NA,"Brazil","Rio de Janeiro",NA,"Serra dos Orgaos. Brasil. trop.","-43.073169","-22.496706",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=556395' target='other'> <mi>dwc_moreinfo</mi></a>","NY00229130","NY00229130_01",NA,NA,NA,"391","isotype","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","521521","PreservedSpecimen","Plantae","Melastomataceae","Miconia","divaricata","Miconia divaricata","Gardner",NA,"A. F. M. Glaziou",NA,NA,NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,"Received July, 1888 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=556396' target='other'> <mi>dwc_moreinfo</mi></a>","NY00521521","NY00521521_01",NA,NA,NA,"16885",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","521522","PreservedSpecimen","Plantae","Melastomataceae","Miconia","divaricata","Miconia divaricata","Gardner",NA,"L. B. Smith","1928","12","17","Brazil","Rio de Janeiro","Teresópolis","Organ Mountains, vicinity of Therezopolis","-42.97","-22.45",NA,NA,"1100","1100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=556397' target='other'> <mi>dwc_moreinfo</mi></a>","NY00521522","NY00521522_01",NA,NA,NA,"1514",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","2480406","PreservedSpecimen","Plantae","Melastomataceae","Miconia","divaricata","Miconia divaricata","Gardner",NA,"A. M. Amorim","2008","02","15","Brazil","Espírito Santo","Cariacica","Reserva Biológica Duas Bocas. Localidade de Alegre, trilha do Pau Oco. Floresta Ombrófila Densa Montana.","-40.5194","-20.2914",NA,NA,NA,NA,"[Invalid elev.: 600. No unit provided.] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2706464' target='other'> <mi>dwc_moreinfo</mi></a>","NY02480406","NY02480406_01",NA,NA,NA,"7108",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1654185","PreservedSpecimen","Plantae","Melastomataceae","Miconia","fasciculata","Miconia fasciculata","Gardner","M. K. Caddah","M. K. Caddah","2011","02","07","Brazil","Espírito Santo","Santa Teresa","Nova Lombardia, Terreno do Furlani, próximo ao rio.","-40.53832","-19.8038",NA,NA,"770",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1568322' target='other'> <mi>dwc_moreinfo</mi></a>","NY01654185","NY01654185_01",NA,NA,NA,"843",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","229145","PreservedSpecimen","Plantae","Melastomataceae","Miconia","fasciculata","Miconia fasciculata","Gardner",NA,"G. Gardner","1836","11",NA,"Brazil","Rio de Janeiro",NA,"In adsunsu moutis Corcovado prope Rio Janeiro","-43.212076","-22.951842",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=116618' target='other'> <mi>dwc_moreinfo</mi></a>","NY00229145","NY00229145_01 NY00229145_02",NA,NA,NA,"183","isotype","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA
