"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","barcode","imagecode","identifiedBy","yearIdentified","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount","typeStatus","class","order","preparationType","infraspecificEpithet"
"1","2021-04-08 17:37:48-03","EAO","IAN","22196","PreservedSpecimen","Plantae","Dicotiledônea","Celastraceae","Hippocratea","decussata","Hippocratea decussata","Peyr.","Ruiz","s.n.","Southern America","Peru","IAN022196","IAN022196_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-24 17:08:53-03","UFES","SAMES","9998","PreservedSpecimen","Plantae",NA,"Celastraceae","Anthodon","decussatus","Anthodon decussatus","Ruiz & Pav.","Ribeiro, M.","1652",NA,"Brasil","SAMES09998",NA,"Ribeiro, M.; Siqueira, G.","2018","2011","04","30","Espírito Santo","Conceição da Barra","Floresta Alta, km 4 na estrada que circunda a reserva, trecho conservado, sub-bosque sombreado.","-39.7322006225586","-18.5932998657227","-398194445.0","-182555556.0","41644","com 42,5 cm CAP, sem latex ou exsudato; sobre um forófito de 22 m alt. Estéril. Transecto 6 planta 43. Habitat: Floresta de Tabuleiro Habito: Liana","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-06-29 09:30:00-03","UFRRJ","RBR","45567","S","Plantae",NA,"Celastraceae","Anthodon","decussatus","Anthodon decussatus","Ruiz & Pav.","G.V. Somner; Alunos Curso Lianas Neotropicais","1905",NA,"Brasil","RBR00045567","RBR00045567","T.A. Amorim","2018","2018","09","18","Rio de Janeiro","Teresópolis","estrada próximo à sede do Parque. Parque Nacional da Serra dos Órgãos","-42.9655990600586","-22.4122009277344",NA,NA,"38539",NA,"auto","09","18",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-21 16:20:22-03","MBM","MBM","203310","PreservedSpecimen","Plantae",NA,"Celastraceae","Anthodon","decussatus","Anthodon decussatus","Ruiz & Pav.","Hatschbach, G.; Silva, J.M.; Deodato, F.; Silva, J.M.; Deodato, F.","65559","Southern America","Brazil","MBM203310","MBM203310","Lombardi, J.A.",NA,"1996","11","13","Mato Grosso","Pontes e Lacerda","Matão","-59.3353004455566","-15.2260999679565",NA,NA,"110136",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:20:22-03","MBM","MBM","350028","PreservedSpecimen","Plantae",NA,"Celastraceae","Anthodon","decussatus","Anthodon decussatus","Ruiz & Pav.","Sperling, C.R.; Secco, R.S.; Condon, M.; Mesquita, A.L.; Secco, R.S.; Condon, M.; Mesquita, A.L.","5853","Southern America","Brazil","MBM350028","MBM350028","Biral, L.","2019","1982","05","28","Pará",NA,"Serra dos Carajás, 1-4km along road from camp Azul toward AMZA camp N-1.","-50.283333","-6.1","-50.283333","-6.1",NA,"Tree 10m, 10cm DBH. Fruits green to brown, 3-parted.; Forest on terra firme.",NA,"02",NA,"550","600",NA,NA,NA,NA,NA,NA,NA
"6","2020-12-21 16:20:22-03","MBM","MBM","398398","PreservedSpecimen","Plantae",NA,"Celastraceae","Anthodon","decussatus","Anthodon decussatus","Ruiz & Pav.","Engels, M.E.; Lorenzi, H.; Saka, M.N.; Lombardi, J.; Campos-Rocha, A.; Lautert,; Lorenzi, H.; Saka, M.N.; Lombardi, J.; Campos-Rocha, A.; Lautert, M.","3014","Southern America","Brazil","MBM398398","MBM398398","Engels, M.E.","2015","2014","12","06","Mato Grosso","Itaúba","Lote G de supressão","-55.441111","-11.005278","-55.441111","-11.005278",NA,"Liana as margens do rio Teles Pires. Caule castanho. Folhas verdes, levemente discolores. Flores amareladas.; Floresta de Planalto dos Parecís, região de ecótono entre a Floresta Amazônica e Cerrado.",NA,"03","20","270","270",NA,NA,NA,NA,NA,NA,NA
"7","2020-12-21 16:20:22-03","MBM","MBM","404123","PreservedSpecimen","Plantae",NA,"Celastraceae","Anthodon","decussatus","Anthodon decussatus","Ruiz & Pav.","Antoniazzi, S.A.; Souza, N.S.; Silva, M.; Plácido, J.J.; Souza, N.S.; Silva, M.; Plácido, J.J.","Eq.10106","Southern America","Brazil","MBM404123","MBM404123","Biral, L.","2019","2014","11","11","Mato Grosso","Nova Canaã do Norte","Resgate da Flora da UHE Colíder, Lote A de supressão","-55.673611","-10.976944","-55.673611","-10.976944",NA,"Cipó. Casca rugosa. Folhas simples, concolores. Flores com sépalas verdes e pétalas amarelas.; Floresta do Planalto dos Parecís, região de ecótono entre a Floresta Amazônica e Cerrado. Encontrada em floresta amazônica, solo seco.",NA,"02",NA,"254","254",NA,NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:20:22-03","MBM","MBM","412615","PreservedSpecimen","Plantae",NA,"Celastraceae","Anthodon","decussatus","Anthodon decussatus","Ruiz & Pav.","Engels, M.E.; Dias, D.C.; Dias, D.C.","4124","Southern America","Brazil","MBM412615","MBM412615","Biral, L.","2019","2016","01","07","Mato Grosso","Cláudia","Resgate de Flora da UHE Colíder","-54.8913993835449","-11.5152997970581",NA,NA,"67814","Liana do dossel. Folhas verdes discolores. Flores amareladas.; Floresta do Planalto dos Parecís, região de ecótono entre Floresta Amazônica e Cerrado.","auto","02",NA,"306","306",NA,NA,NA,NA,NA,NA,NA
"9","2013-11-26 05:40:00-02","MO","MOBOT","100218684","PreservedSpecimen","Plantae",NA,"Celastraceae","Anthodon","decussatus","Anthodon decussatus","Ruiz & Pav.","Javier Quisbert|Julia Gutiérrez R.|Concepción Miranda|Alejandro Noa","Quisbert Quispe 971","South America","Bolivia",NA,NA,"A. Fuentes (LPB)",NA,"2008","7","8","La Paz","Franz Tamayo","Parque Nacional Madidi, Sumpulo, 8 km al NW de la comunidad Virgen del Rosario. Bosque de yungas montano pluvial, con Melastomataceae y Rubiaceae. Ladera levemente pronunciada, pendiente 25º, exposición NNW, parcela temporal de muestreo ( 0,1 ha), plantas secadas en campo.","-68.7761111","-14.5769445",NA,NA,NA,NA,NA,NA,NA,"1100.00000000",NA,"08-10","4",NA,NA,NA,NA,NA
"10","2014-03-03 14:43:00-03","MO","MOBOT","100676593","PreservedSpecimen","Plantae",NA,"Celastraceae","Anthodon","decussatus","Anthodon decussatus","Ruiz & Pav.","Hipólito Ruiz L.|José A. Pavón","Ruiz López s.n.","South America","Peru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Holotype",NA,NA,NA,NA
