"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","typeStatus","individualCount","class","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","3909709","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Svitramia","wurdackiana","Svitramia wurdackiana","R.Romero & A.B.Martins","F. Almeda","9034","2005","09","14","South America","Brazil","Minas Gerais","São Roque de Minas","Serra da Canastra National Park. 10 km beyond the visitor center off the road to Cachoeira Casca d'Anta parte alta.","-46.5522995","-20.25880051","1380","1380","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4451389' target='other'> <mi>dwc_moreinfo</mi></a>","NY03909709","NY03909709_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00941523","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Svitramia","wurdackiana","Svitramia wurdackiana","R.Romero & A.B.Martins","J. N. Nakajima","2021","1996","07","11","South America","Brazil","Minas Gerais","São Roque de Minas","Próximo ao Córrego dos Passageiros.","-46.3656","-20.2456",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1016233' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941523","NY00941523_01","R. Romero; A. B. Martins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","3909712","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Svitramia","wurdackiana","Svitramia wurdackiana","R.Romero & A.B.Martins","F. Almeda","9042","2005","09","14","South America","Brazil","Minas Gerais","São Roque de Minas","Serra da Canastra National Park. Trailhead to its terminus at Cachoeira Casca d'Anta parte alta.","-46.52236557","-20.28091621","1120","1120","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4451396' target='other'> <mi>dwc_moreinfo</mi></a>","NY03909712","NY03909712_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-01 16:35:05-03","UNICAMP","UEC","138484","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Svitramia","wurdackiana","Svitramia wurdackiana","R.Romero & A.B.Martins","Fracasso, CM","s.n.","2005","03","31",NA,"Brazil","Minas Gerais","São Roque de Minas","Serra da Canastra, 3,2 km da portaria de São Roque","-47.820844","-20","1369","1369",NA,"População muito numerosa, flores púrpuras, estames amarelo-creme.",NA,NA,NA,"-47.820844","-20",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-01 16:35:05-03","UNICAMP","UEC","133680","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Svitramia","wurdackiana","Svitramia wurdackiana","R.Romero & A.B.Martins","Nakajima, JN; Ressel, K; Guimarães, FG","2036","1996","07","11",NA,"Brazil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra, Cachoeira do Rolinhos","-46.3657989501953","-20.2453002929688",NA,NA,NA,"Arbusto, ca. 1,5m. (exemplar fixado). Corola rósea. Estames creme.",NA,NA,"Mello Barreto, HL; Romero, R",NA,NA,"2003","01","57119","auto",NA,NA,NA,NA,NA
"6","2021-03-01 16:35:05-03","UNICAMP","UEC","133684","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Svitramia","wurdackiana","Svitramia wurdackiana","R.Romero & A.B.Martins","Romero, R; Alcantara, MB; Prado Lima, CA; Nakajima, JN","2162","1995","05","09",NA,"Brazil","Minas Gerais","São Roque de Minas","Serra da Canastra, Base do morro próximo a sede administrativa, PARNA Serra da Canastra","-46.3657989501953","-20.2453002929688",NA,NA,NA,"Subarbusto, ca 0,8m. Corola rósea com guia de néctar vinho. Anteras, filetes e estilete creme; Campo limpo alterado, solo pedregoso, beira da trilha",NA,NA,"Martins, AB; Romero, R",NA,NA,"2003","01","57119","auto",NA,NA,NA,NA,NA
"7","2020-12-11 11:38:38-03","UFMG","BHCB","168689","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Svitramia","wurdackiana","Svitramia wurdackiana","R.Romero & A.B.Martins","Almeda, F; Martins, AB; Belinello, R; Almeda, MB","9034","2005","09","14","Southern America","Brasil","Minas Gerais","São Roque de Minas","Serra da Canastra, Natiotal Park. 10 km beyond the visitor center off the road to Cachoeira Casca d'Anta parte alta.","-33.216667","-20.25","1380","1380",NA,"Laxly branched shrub to 2 m tall in post-mature fruit.; Campo limpo with a scattering of low shrubs.","BHCB012697",NA,NA,"-33.216667","-20.25","2009","01",NA,NA,"29",NA,NA,NA,NA
"8","2020-07-31 16:51:00-03","MO","MOBOT","101210880","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Pleroma","wurdackianum","Pleroma wurdackianum","(R. Romero & A.B. Martins) P.J.F. Guim. & Michelang.","Rosana Romero|et al.","Romero 2162","1995","5","9","South America","Brazil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra, morro próximo à sede administrativa","-46.4222223","-20.2561111","1352.00000000",NA,NA,NA,NA,NA,"fide Guimarães et al.",NA,NA,NA,NA,NA,NA,NA,"Holotype","1",NA,NA
"9","2020-09-12 05:00:02-03","US","US","3466843","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Svitramia","wurdackiana","Svitramia wurdackiana","R. Romero & A.B. Martins","J. N. Nakajima, R. Romero, M. Alcantara & C. Prado Lima","1061","1995","5","12","South America - Neotropics","Brazil","Minas Gerais","São Roque deinas","Cachoeira da Casca D´Anta, trilha para a guarita de baixo, PARNA Serra da Canastra",NA,NA,NA,NA,NA,NA,"US01894049","US01894049_01 US01894049_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA
"10","2020-09-12 05:00:02-03","US","US","3466839","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Svitramia","wurdackiana","Svitramia wurdackiana","R. Romero & A.B. Martins","R. Romero, J. N. Nakajima, M. Alcantara & C. Prado Lima","2162","1995","5","9","South America - Neotropics","Brazil","Minas Gerais",NA,"Base do morro próximo a sede administrativa, PARNA Serra da Canastra, São Roque de Minas, Minas Gerais, Brasil.",NA,NA,NA,NA,NA,"Holotype at HUFU.","US00810593","US00810593_01","Romero, R.; Martins, A. B.",NA,NA,NA,NA,NA,NA,NA,"Isotype","1","Dicotyledonae",NA
