"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","typeStatus","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","1009421","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Trattinnickia","ferruginea","Trattinnickia ferruginea","Kuhlm.","L. de S. Leoni","7159","2008","05","24","South America","Brazil","Minas Gerais","Faria Lemos","Fazenda Santa Rita.","-42.057344","-20.759971","680","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1747592' target='other'> <mi>dwc_moreinfo</mi></a>","NY01009421","NY01009421_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02398697","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Trattinnickia","ferruginea","Trattinnickia ferruginea","Kuhlm.","L. V. Costa",NA,"1994","09",NA,"South America","Brazil","Minas Gerais","Marliéria","Parque Estadual do Rio Doce","-42.7322006225586","-19.7122001647949",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2602289' target='other'> <mi>dwc_moreinfo</mi></a>","NY02398697","NY02398697_01","28215","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-20 21:16:30-03","UFV","VIC","20508","PreservedSpecimen","Plantae",NA,NA,"Burseraceae","Trattinnickia","ferruginea","Trattinnickia ferruginea","Kuhln.","Meira Neto, J.A.A.","s.n.","1993","11",NA,NA,"Brasil","Minas Gerais","Viçosa","Campus da UFV, Mata da Silvicultura.","-42.8819007873535","-20.7539005279541",NA,NA,"Árvore com 6,0 metros de altura.","VIC020508","VIC020508","13937","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-20 21:16:30-03","UFV","VIC","40473","PreservedSpecimen","Plantae",NA,NA,"Burseraceae","Trattinnickia","ferruginea","Trattinnickia ferruginea","Kuhln.","Simão, M.V.R.C.","501","2013","02","16",NA,"Brasil","Minas Gerais","Viçosa","Mata do Paraiso, Estação de Pesquisa , treinamento e educação ambiental da Mata do paraíso.","-42.8819007873535","-20.7539005279541",NA,NA,"Árvore, 14 m, botão floral verde, flor diminuta com cálice e corola verde.","VIC040473","VIC040473","13937","auto","Simão, M.V.R.C.","2013","06","13",NA,NA,NA,NA,NA
"5","2020-12-20 21:16:30-03","UFV","VIC","2283","PreservedSpecimen","Plantae",NA,NA,"Burseraceae","Trattinnickia","ferruginea","Trattinnickia ferruginea","Kuhln.","Kuhlmann, J.G.","s.n.","1935","11","16",NA,"Brasil","Minas Gerais","Viçosa","Represa","-42.8819007873535","-20.7539005279541",NA,NA,"TIPO.","VIC002283","VIC002283","13937","auto","Alvim, P.","1943","07","03","Tipo",NA,NA,NA,NA
"6","2020-04-27 16:09:09-03","UFES","VIES","28314","S","Plantae",NA,NA,"Burseraceae","Trattinnickia","ferruginea","Trattinnickia ferruginea","Kuhlm.","L.S. Leoni","7159","2008","05","24",NA,"Brasil","Minas Gerais","Faria Lemos","Fazenda Santa Rita.","-42.0297012329102","-20.8083000183105","680",NA,NA,"VIES028314",NA,"14353","auto","L.S. Leoni","2008","05","24",NA,"680",NA,NA,NA
"7","2020-06-29 09:29:57-03","UFRRJ","RBR","3743","S","Plantae",NA,NA,"Burseraceae","Trattinnickia","ferruginea","Trattinnickia ferruginea","Kuhlm.","E.P. Heringer","2595","1948","10","25",NA,"Brasil","Minas Gerais","Rio Pomba","Fazenda de Bocaiú. Silverania","-43.17919921875","-21.2747001647949",NA,NA,NA,"RBR00003743","RBR00003743","18289","auto","T.A. Amorim","2018","05","03",NA,NA,NA,NA,NA
"8","2020-12-21 16:19:42-03","MBM","MBM","255780","PreservedSpecimen","Plantae",NA,NA,"Burseraceae","Trattinickia","ferruginea","Trattinickia ferruginea","Kuhlm.","Barreto, M.","1747","1935","07","25","Southern America","Brazil","Minas Gerais","Tombos","Fazenda da Cachoeira","-42.0228004455566","-20.9046993255615",NA,NA,NA,"MBM255780","MBM255780","16749","auto","Barreton, M.",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-01 17:01:20-03","UFMG","BHCB","142419","PreservedSpecimen","Plantae","Dicotyledon",NA,"Burseraceae","Trattinnickia","ferruginea","Trattinnickia ferruginea",NA,"Santos, MF; Serafim, H","342","2008","03","17","Southern America","Brasil","Minas Gerais","Itambé do Mato Dentro","Distrito de Santana do Rio Preto (Cabeça de Boi), Interior da mata nas terras de José Agostinho","-43.402056","-19.396361",NA,NA,"Árvore, 21 m. Folhas discolores, pilosidade ocre. Frutos maduros negros.; Árvore, 21m. Folhas discolores, pilosidade ocre. Frutos maduros negros.","BHCB005833",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-43.402056","-19.396361",NA
"10","2020-12-11 11:34:12-03","UFMG","BHCB","192466","PreservedSpecimen","Plantae","Dicotyledon",NA,"Burseraceae","Trattinnickia","ferruginea","Trattinnickia ferruginea",NA,"Martinelli, G; Silva, JF; Sucre, D","20","1973","08","30","Southern America","Brasil","Minas Gerais",NA,"Reserva Natural Vale do Rio Doce. Matas em frente ao Hotel Pousada",NA,NA,"250",NA,"Árvore com cerca de 18m de altura, frutos ainda verdes de cor verde-claro lúcido; Mata","BHCB192466",NA,NA,NA,NA,"2013",NA,NA,NA,"250",NA,NA,NA
"11","2021-04-01 17:01:20-03","UFMG","BHCB","22168","PreservedSpecimen","Plantae","Dicotyledon",NA,"Burseraceae","Trattinnickia","ferruginea","Trattinnickia ferruginea",NA,"Costa, LVC","s.n.","1992","04","12","Southern America","Brasil","Minas Gerais","Caratinga","Estação Biológica de Caratinga","-42.1391983032227","-19.7896995544434",NA,NA,"Arbóreo 5m","BHCB005832",NA,"49886","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
