"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","class","infraspecificEpithet","verbatimLongitude","verbatimLatitude","dayIdentified","minimumDepthInMeters","maximumDepthInMeters","individualCount","coordinatePrecision","geoFlag","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","00982892","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Arachis","villosa","Arachis villosa","Benth.","F. J. Hermann","J. L. Stephens","SH255","1948","03","15","South America","Brazil","Mato Grosso","Cuiabá","10 km East of Cuiabá","-55.9506166","-15.612755","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1110720' target='other'> <mi>dwc_moreinfo</mi></a>","NY00982892","NY00982892_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00982867","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Arachis","villosa","Arachis villosa","Benth.","M. T. K. Arroyo","H. S. Irwin","19196","1968","01","25","South America","Brazil","Goiás","Cocalzinho de Goiás","75 km N. of Corumbá de Goiás on road to Niquelândia, valley of Rio Maranhão. Serra dos Pirineus.","-48.63","-15.35","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1110719' target='other'> <mi>dwc_moreinfo</mi></a>","NY00982867","NY00982867_01","700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00982891","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Arachis","villosa","Arachis villosa","Benth.","M. T. K. Arroyo","H. S. Irwin","7605","1964","10","31","South America","Brazil","Goiás","Caiapônia","Ca. 20 km. S. of Caiapônia on rd. to Jataí. Serra do Caiapó.","-51.82","-17.1","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1110717' target='other'> <mi>dwc_moreinfo</mi></a>","NY00982891","NY00982891_01","800","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00982866","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Arachis","villosa","Arachis villosa","Benth.","R. S. Cowan","J. H. Kirkbride Jr.","3042","1977","03","04","South America","Brazil","Mato Grosso","Porto Esperidião","At km 135 on the road from Caceres to S of Serra do Aguapei","-58.695957","-15.720016","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1110715' target='other'> <mi>dwc_moreinfo</mi></a>","NY00982866","NY00982866_01","190","190",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-08 17:41:15-03","EAO","IAN","137591","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Arachis","villosa","Arachis villosa","Benth.","Arroyo, MTK","Irwin, HS; Soderstrom, TR","7605","1964","10","31","Southern America","Brasil","Goiás",NA,"Roadside and adjacent cerrado slopes, ca. 20km S of Caiapônia.",NA,NA,NA,"Stems prostrate, trailing but not rooting. Co yellow-orange. Locally abundant.","IAN137591",NA,NA,NA,"1971",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-08 17:41:15-03","EAO","IAN","142616","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Arachis","villosa","Arachis villosa","Benth.","Rosa, NA","Pinheiro, GS; Carvalho, JFV","90","1974","04","05","Southern America","Brasil","Pará",NA,"Estreito-Marabá, km 1.",NA,NA,NA,"plantinha rasteira, com flor amarela.","IAN142616",NA,NA,NA,"1975","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-08 17:41:15-03","EAO","IAN","39465","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Arachis","villosa","Arachis villosa","Benth.","Hoehne, FC","Archer, WA","4982","1937","01","17","Southern America","Uruguai",NA,NA,"Playa Real de San Carlos, 7km north of Puerto Colonia.",NA,NA,NA,"In coarse white sand along river bank.","IAN039465",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:11:37-03","NBC","NL-BOTANY","L.1972123","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Arachis","villosa","Arachis villosa","Benth.",NA,"Pedersen TM",NA,"1962","01","04","Southern America","Argentina",NA,NA,"Loma Alta Dep. Mburucuyá Prov. Corrientes.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1972123 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1972123","NL-L1972123",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 09:11:37-03","NBC","NL-BOTANY","U.1252320","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Arachis","villosa","Arachis villosa","Benth.",NA,"Krapovickas A; Cristóbal CL",NA,"1964","03","28","Southern America","Argentina",NA,NA,"Prov. Corrientes, dep. Monte Caseros, Monte Caseros, rio Mirinay, cerca de su desembocadura en el rio Uruguay, en medano.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1252320 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1252320","NL-U1252320",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 09:11:37-03","NBC","NL-BOTANY","U.1252321","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Arachis","villosa","Arachis villosa","Benth.",NA,"Pedersen TM",NA,"1967","03","30","Southern America","Argentina",NA,NA,"entre Rios Uruguay, Estancia La Pemnira near R. Uruguay.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1252321 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1252321","NL-U1252321",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
