"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","coordinatePrecision","imagecode","geoFlag","class","identifiedBy","yearIdentified","monthIdentified","dayIdentified","fieldNumber","individualCount","infraspecificEpithet"
"1","2020-09-23 10:43:57-03","E","E","16341","PreservedSpecimen","Plantae","Umbelliferae","Apium","prostratum","Apium prostratum","Gardner, Martin F.","3600","1986","01","27","Temperate South America","CL","Región X [Los Lagos]","Provincia de Chiloé","Chiloé National Park, 30 km north of Cucao at the mouth of the Río Anay","-74.25","-42.466667","-74.250000","-42.466667","3","3","herbarium specimen of unspecif","BGBASE:23805","<a href=http://data.rbge.org.uk/herb/E00016341 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00016341",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:43:57-03","E","E","334933","PreservedSpecimen","Plantae","Umbelliferae","Apium","prostratum","Apium prostratum","Dudley, T., Goodall, R. & Crow, G.","381","1971","10","17","Temperate South America","AR","Tierritorio Nacional Tierra Del Fuego, Antártida E",NA,"Tierra del Fuego, Isla de Los Estados, Bahia Crossley. On islet called Faro Le Maire at northwest corner of Bahia Crossley, opposite Cabo Galeano at north of Bahia","-64.716667","-54.783333","-64.716667","-54.783333",NA,NA,"herbarium specimen of unspecif","BGBASE:365184","<a href=http://data.rbge.org.uk/herb/E00334933 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00334933",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:43:57-03","E","E","334934","PreservedSpecimen","Plantae","Umbelliferae","Apium","prostratum","Apium prostratum","Goodall, Rae Natalie Prosser","344","1966","02","22","Temperate South America","AR","Tierritorio Nacional Tierra Del Fuego, Antártida E",NA,"Estancia Harberton, Varela Peninsula",NA,NA,NA,NA,NA,NA,"herbarium specimen of unspecif","BGBASE:365185","<a href=http://data.rbge.org.uk/herb/E00334934 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00334934",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:43:57-03","E","E","236132","PreservedSpecimen","Plantae","Umbelliferae","Apium","prostratum","Apium prostratum","Hechenleitner Vega, P.","332","2006","02","21","Temperate South America","CL","Región XII [Magallanes y de la Antárctica Chilena]","Provincia de Magallanes","Punta Arenas, Fuerte Bulnes camino a playa Punta Santa Ana","-70.9125","-53.631389","-70.912500","-53.631389","11","11","herbarium specimen of unspecif","BGBASE:246690","<a href=http://data.rbge.org.uk/herb/E00236132 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00236132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-10-21 18:42:00-02","NY","NYBG","617299","PreservedSpecimen","Plantae","Apiaceae","Apium","prostratum","Apium prostratum","C. B. Villamil","3563","1986","11","24","South America","Argentina","Buenos Aires",NA,"Neochea, Las Grutas",NA,NA,NA,NA,NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=326624' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617299","Magnoliophyta","Apiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","03082289","PreservedSpecimen","Plantae","Apiaceae","Apium","prostratum","Apium prostratum","M. G. Bovini","3758","2012","11","19","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Monumento Natural das Ilhas Cagarras, Ilha Comprida, ponta sudoeste, área próxima ao capim-colonião.","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3313363' target='other'> <mi>dwc_moreinfo</mi></a>","NY03082289","Magnoliophyta","Apiales","Labill.","57442","NY03082289_01","auto",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 08:43:43-03","NBC","NL-BOTANY","L.2580012","PreservedSpecimen","Plantae","Umbelliferae","Apium","australe","Apium australe","Goodall RN",NA,"1967","03","17","Southern America","Argentina",NA,NA,"Tierra del Fuego: Estancia Harberton; No Top Mountain. Cambaceres River. On lower slope of W. side of mountain, in damp spots and along stream.",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2580012 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2580012",NA,"Apiales","Thouars",NA,"NL-L2580012",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 08:43:43-03","NBC","NL-BOTANY","U.1083400","PreservedSpecimen","Plantae","Umbelliferae","Apium","australe","Apium australe","Lindeman JC; Haas JH de",NA,"1966","12","30","Southern America","Brazil",NA,NA,"Flora Brasiliae australis. Est. Rio Grande do Sul, Rock at seacoast just S of Torres, in niche with rock debris within reach of spring tide.",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1083400 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1083400",NA,"Apiales","Thouars",NA,"NL-U1083400",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 08:43:43-03","NBC","NL-BOTANY","L.2574619","PreservedSpecimen","Plantae","Umbelliferae","Apium","prostratum","Apium prostratum","Klein RM",NA,"1967","02","25","Southern America","Brazil",NA,NA,"Santa Catarina - Brasil, Cabecudas, Itajai.",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2574619 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2574619",NA,"Apiales","Vent.",NA,"NL-L2574619",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"10","2019-08-27 13:33:43-03","IAP","PACA-AGP","54856","PreservedSpecimen","Plantae","Umbelliferae","Apium","prostratum","Apium prostratum","Rambo, B.",NA,"1954","02","11",NA,"Brasil","RS","Torres",NA,"-49.7268981933594","-29.3353004455566",NA,NA,NA,NA,NA,NA,"EM PERIGO&nf;fl. fr. Habitat: ad litus in prato rupestri Fenofase: flor e fruto","PACA054856","Magnoliophyta","Umbellales","Labill.","20837",NA,"auto","Magnoliatae","A. M. Carneiro","2000","10","26",NA,NA,NA
"11","2019-08-27 13:33:43-03","IAP","PACA-AGP","66956","PreservedSpecimen","Plantae","Umbelliferae","Apium","prostratum","Apium prostratum","R. M. Klein","7256","1967","02","25",NA,"Brasil","SC","Itajaí","Cabeçudas","-48.6618995666504","-26.9078006744385",NA,NA,"2","2",NA,NA,"EM PERIGO&nf;erva; flor branca; altit. 2m. Habitat: rocha beira mar Fenofase: flor branca Hábito: erva","PACA066956","Magnoliophyta","Umbellales","Labill.","27253",NA,"auto","Magnoliatae","L. Constance","1970",NA,NA,NA,NA,NA
"12","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0011893","PreservedSpecimen","Plantae","Apiaceae","Apium","australe","Apium australe","L. R. Landrum; S. S. Landrum","8453","1994","12","31",NA,"Chile","Magallanes",NA,"Punta Steinman, ca. 35 km along road from main highway to Punta Canelo.","-71.295105","-53.068456",NA,NA,"3",NA,NA,NA,"Coarse herb near level of high tide; flowers white",NA,"Magnoliophyta","Apiales","Thouars",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-01 16:21:30-03","UNICAMP","UEC","62974","S","Plantae","Apiaceae","Apium","prostratum","Apium prostratum","Souza, WS; Silva, SM","24654","1985","02","20",NA,"Brazil","Paraná","Paranaguá","Ilha do Mel, Morro do Farol.","-48.5092010498047","-25.5200004577637",NA,NA,NA,NA,NA,NA,"Erva de flores brancas, com frutos.",NA,"Magnoliopsida",NA,"Labill.","24916",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-11-05 16:42:52-03","UFOP","OUPR","27956","PreservedSpecimen","Plantae","Apiaceae","Apium","prostratum","Apium prostratum","Prado, A.C.; Rangel, E.B. & Messias, M.C.T.B.","s.n.","2012","07","24",NA,"Brasil","Minas Gerais","Ouro Preto","São Bartolomeu, APA da Cachoeira das Andorinhas.","-43.508056","-20.385556","-43.508056","-20.385556","1028","1028",NA,NA,"Erva, 50cm de altura. Floresta.",NA,NA,NA,"Labill. ex Vent.",NA,NA,NA,NA,"Messias, M.C.T.B.",NA,NA,NA,NA,NA,NA
"15","2019-11-05 16:42:52-03","UFOP","OUPR","29068","PreservedSpecimen","Plantae","Apiaceae","Apium","prostratum","Apium prostratum","Rossi, B.; Messias, M.C.T.B.","167","2016","01","12",NA,"Brasil","Minas Gerais","Santana de Pirapama","Inhames, Comunidade de São José da Cachoeira","-43.773611","-19.004444","-43.773611","-19.004444",NA,NA,NA,NA,"Erva, ca. 20cm, comestível. Cresce próximo a ambiente aquático, cerrado",NA,NA,NA,"Labill. ex Vent.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-11-05 16:42:52-03","UFOP","OUPR","30388","PreservedSpecimen","Plantae","Apiaceae","Apium","prostratum","Apium prostratum","Urriago, L.M.; Jardim, C.M. & Vieira, K.S.","133","2017","09","30",NA,"Brasil","Minas Gerais","Ouro Preto","Morro da Queimada","-43.493611","-20.383889","-43.493611","-20.383889",NA,NA,NA,NA,"Erva. Sementes verdes. Cultivada.",NA,NA,NA,"Labill. ex Vent.",NA,NA,NA,NA,"Messias, M.C.T.B.","2017","10",NA,NA,NA,NA
"17","2020-10-14 09:58:12-03","FURB","FURB","36280","PreservedSpecimen","Plantae","Apiaceae","Apium","prostratum","Apium prostratum","Gasper, A.L. de; Bueno, M.L. & Neves, D.R.M.","2555","2011","03","15",NA,"Brasil","Minas Gerais","Delfim Moreira","Fazenda da Onça.","-45.345","-22.6080556","-45.3450000","-22.6080556","1670","1670",NA,NA,NA,"FURB00486",NA,NA,"Labill. ex Vent.",NA,"FURB00486",NA,NA,"Neves, DRM","2011","03","16",NA,NA,NA
"18","2020-10-14 09:58:12-03","FURB","FURB","46314","PreservedSpecimen","Plantae","Apiaceae","Apium","prostratum","Apium prostratum","Funez, L.A.","3580","2014","11","27",NA,"Brasil","Santa Catarina","Florianópolis","joaquina.","-48.4291667","-27.5961111","-48.4291667","-27.5961111","42","42",NA,NA,NA,"FURB14630",NA,NA,"Labill. ex Vent.",NA,"FURB14630",NA,NA,"Funez, L.A.","2014","11","27",NA,NA,NA
"19","2020-10-14 09:58:12-03","FURB","FURB","47052","PreservedSpecimen","Plantae","Apiaceae","Apium","prostratum","Apium prostratum","Funez, L.A.","4120","2015","03","21",NA,"Brasil","Santa Catarina","Palhoça","Guarda do Embaú.","-48.5880555","-27.9036111","-48.5880555","-27.9036111","36","36",NA,NA,NA,"FURB14628",NA,NA,"Labill. ex Vent.",NA,"FURB14628",NA,NA,"Funez, L.A.","2015","03","21",NA,NA,NA
"20","2020-10-14 09:58:12-03","FURB","FURB","50029","PreservedSpecimen","Plantae","Apiaceae","Apium","prostratum","Apium prostratum","Funez, L.A.","4792","2015","11","28",NA,"Brasil","Santa Catarina","Florianópolis","Costão do Santinho.","-48.3722223","-27.45","-48.3722223","-27.4500000","5","5",NA,NA,NA,"FURB50029",NA,NA,"Labill. ex Vent.",NA,"FURB50029",NA,NA,"Funez, L.A.","2016","06",NA,NA,NA,NA
"21","2021-03-24 16:38:34-03","FURB","FURB","67328","PreservedSpecimen","Plantae","Apiaceae","Apium","prostratum","Apium prostratum","Funez, L.A.; Hassemer, G.","9449","2020","01","09",NA,"Brasil","Santa Catarina","Florianópolis","Lagoinha do Leste.","-48.4786111","-27.7666667","-48.4786111","-27.7666667","58","58",NA,NA,"Flores brancas Habitat: Costão rochoso Habito: Erva","FURB67328",NA,NA,"Labill. ex Vent.",NA,"FURB67328",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-16 17:50:03-03","UCS","HUCS","06432","PreservedSpecimen","Plantae","Apiaceae","Apium","prostratum","Apium prostratum","Wasum, R.A.","s.n.","1989","12","01",NA,"Brasil","Rio Grande do Sul","Torres","Praia da Guarita","-49.7268981933594","-29.3353004455566",NA,NA,NA,NA,NA,NA,"junto aos rochedos",NA,"Angiospermae","Apiales","Labill.","20837",NA,"auto",NA,"Smith, S.F.","1990","04",NA,NA,NA,NA
"23","2019-11-25 12:11:24-03","UFSM","SMDB","87","S","Plantae","Apiaceae","Apium","australe","Apium australe","Rau, G","s.n.","1935","09","19",NA,"Brasil","Rio Grande do Sul","Santa Maria",NA,"-53.8069000244141","-29.6842002868652",NA,NA,NA,NA,NA,NA,NA,"SMDB000087",NA,NA,"Thouars","37819",NA,"auto",NA,"Rau, G","1935",NA,NA,NA,NA,NA
"24","2020-12-21 16:12:07-03","MBM","MBM","122755","PreservedSpecimen","Plantae","Apiaceae","Apium","australe","Apium australe","Bangerter, E.B.","5573","1987","02","17",NA,"New Zealand",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MBM122755",NA,NA,"Thouars",NA,"MBM122755",NA,NA,"Bangerter, E.B.",NA,NA,NA,NA,NA,NA
"25","2020-12-21 16:12:07-03","MBM","MBM","127444","PreservedSpecimen","Plantae","Apiaceae","Apium","australe","Apium australe","Pedersen, T.M.","14459","1986","01","22","Southern America","Chile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MBM127444",NA,NA,"Thouars",NA,"MBM127444",NA,NA,"Pedersen, T.M.",NA,NA,NA,NA,NA,NA
"26","2020-12-21 16:12:07-03","MBM","MBM","155932","PreservedSpecimen","Plantae","Apiaceae","Apium","australe","Apium australe","Kral, R.","53050","1974","05","28","Northern America","USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MBM155932",NA,NA,"Thouars",NA,"MBM155932",NA,NA,"Kral, R.",NA,NA,NA,NA,NA,NA
"27","2020-12-21 16:12:07-03","MBM","MBM","167179","PreservedSpecimen","Plantae","Apiaceae","Apium","australe","Apium australe","Bangerter, E.B.","5573","1987","01","17",NA,"New Zealand",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MBM167179",NA,NA,"Thouars",NA,"MBM167179",NA,NA,"Bangerter, E.B.",NA,NA,NA,NA,NA,NA
