"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","barcode","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","identifiedBy","infraspecificEpithet","yearIdentified","monthIdentified","imagecode","class","order","relatedCatalogItem","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","preparationType","individualCount","minimumElevationInMeters","maximumElevationInMeters","typeStatus"
"1","2021-03-30 12:34:28-03","EAO","IAN","24495","PreservedSpecimen","Plantae","Dicotiledônea","Asteraceae","Aspilia","ovalifolia","Aspilia ovalifolia","(DC.) Baker","Vauthier","321","Southern America","Brasil","IAN024495",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:34:28-03","EAO","IAN","120163","PreservedSpecimen","Plantae","Dicotiledônea","Asteraceae","Aspilia","ovalifolia","Aspilia ovalifolia","(DC.) Baker","Belém, RP","1980","Southern America","Brasil","IAN120163","1965","12","14","Distrito Federal","Brasília","Barragens do Paranoá, cerrado.","-47.9296989440918","-15.7797002792358","70570","Planta de 50-60cm de altura; flores amarelas.","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:34:28-03","EAO","IAN","157150","PreservedSpecimen","Plantae","Dicotiledônea","Asteraceae","Aspilia","ovalifolia","Aspilia ovalifolia","(DC.) Baker","Silva, MG da; Pinheiro, A","4076","Southern America","Brasil","IAN157150","1979","01","01","Rondônia","Vilhena","Arredores do aeroporto.","-60.1458015441895","-12.7405996322632","196523","Arbusto de 1m de altura, flor amarela, campo cerrado.","auto","Silva, MG da",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:35:20-03","EAO","IAN","41768","PreservedSpecimen","Plantae","Dicotiledônea","Asteraceae","Wedelia","ovalifolia","Wedelia ovalifolia reticulata","Rich.","Herb; Richards, PW","s.n.",NA,"Ons.Martinigue","IAN041768",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"reticulata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:09:49-03","UFBA","ALCB","133540","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Aspilia","ovalifolia","Aspilia ovalifolia","(DC.) Baker","Duarte, AP","9954","Southern America","Brasil","ALCB054854","1966","11","25","Distrito Federal","Brasília","Área do Zoobatânico.","-47.9296989440918","-15.7797002792358","70570",NA,"auto","Santos, JU",NA,"1981","08","ALCB054854",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 08:47:38-03","NBC","NL-BOTANY","U.1108200","PreservedSpecimen","Plantae",NA,"Compositae","Aspilia","ovalifolia","Aspilia ovalifolia","(DC.) Baker","Oldenburger FHF; Mecenas VV",NA,"Southern America","Brazil","NL-U1108200","1975","12","04","Distrito Federal",NA,"D.F. Near Planaltina on monument hill.",NA,NA,NA,"Cerrado.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1108200 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Robinson HE",NA,NA,NA,"NL-U1108200","Magnoliopsidae","Asterales","U 0250593",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 08:47:38-03","NBC","NL-BOTANY","U.1108201","PreservedSpecimen","Plantae",NA,"Compositae","Aspilia","ovalifolia","Aspilia ovalifolia","(DC.) Baker","Oldenburger FHF; Mecenas VV",NA,"Southern America","Brazil","NL-U1108201","1975","12","04","Distrito Federal",NA,"D.F. Burití valley near Braslandia.",NA,NA,NA,"Galery forest.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1108201 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Robinson HE",NA,NA,NA,"NL-U1108201","Magnoliopsidae","Asterales","U 0250592",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-02-15 11:33:44-02","IPA","IPA","15485","S","Plantae","Plantae","Asteraceae","Aspilia","ovalifolia","Aspilia ovalifolia","Baker","Belém, R.P.","1980","Southern America","Brasil","IPA0015485","1965","12","14","Distrito Federal","Brasília","Barragem do Paranoá.","-47.9296989440918","-15.7797002792358","70570","Planta de 50-60 cm; flores amarelas. Herbário Universidade de Brasília.","auto","Barroso, G.M.",NA,"1972",NA,"IPA0015485",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-01 16:23:04-03","UNICAMP","UEC","121092","S","Plantae","Magnoliopsida","Asteraceae","Aspilia","ovalifolia","Aspilia ovalifolia","(A.DC.) Baker","Silva, MA","4685",NA,"Brazil","UEC102808","2000","12","11","Distrito Federal","Brasília","Reserva Ecológica do IBGE.","-47.885278","-15.944722",NA,"Subarbusto em moiita ca. 50cm de altura, capítulos amarelos, folhas ásperas discoloes verdes.; Campo sujo com queima bienal modal, área queimada ca. 4 meses",NA,"Silva, MA",NA,"2000","12","UEC102808",NA,NA,NA,"11","-47.885278","-15.944722",NA,NA,NA,NA,NA,NA
"10","2020-12-21 16:14:12-03","MBM","MBM","146525","PreservedSpecimen","Plantae",NA,"Asteraceae","Aspilia","ovalifolia","Aspilia ovalifolia","(DC.) Baker","Hatschbach, G.; Hatschbach, M.; Silva, J.M.; Hatschbach, M.; Silva, J.M.","55060","Southern America","Brazil","MBM146525","1991","11","07","Goiás","São Gabriel","São Gabriel, arredores",NA,NA,NA,NA,NA,"Pruski, J.",NA,NA,NA,"MBM146525",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
