"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","individualCount","class","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","00926328","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Lagenocarpus","bracteosus","Lagenocarpus bracteosus","C.B.Clarke","T. M. Koyama","A. P. Duarte","2220","1949","12","07","South America","Brazil","Minas Gerais","Serra do Cipó, Km 136.","1250","1250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1002336' target='other'> <mi>dwc_moreinfo</mi></a>","NY00926328","NY00926328_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00923660","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Lagenocarpus","bracteosus","Lagenocarpus bracteosus","C.B.Clarke","F. A. Vitta","S. J. Mayo","7064","2001","03","01","South America","Brazil","Minas Gerais","Km 115 ao longo da rodovia Belo Horizonte - Conceição do Mato Dentro. Serra do Cipó.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1005993' target='other'> <mi>dwc_moreinfo</mi></a>","NY00923660","NY00923660_01","Santana do Riacho","-43.7142","-19.1692",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00926315","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Lagenocarpus","bracteosus","Lagenocarpus bracteosus","C.B.Clarke","S. M. Costa","M. A. Farinaccio","437","2000","11","23","South America","Brazil","Minas Gerais","Serra do Cipó. MG 116. Bifurcação para o Morro do Pilar.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1002296' target='other'> <mi>dwc_moreinfo</mi></a>","NY00926315","NY00926315_01","Santana do Riacho","-43.7142","-19.1692",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00926326","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Lagenocarpus","bracteosus","Lagenocarpus bracteosus","C.B.Clarke","T. M. Koyama","J. Vidal","II-6014","1953","02",NA,"South America","Brazil","Minas Gerais","Serra do Cipó entre as localidades de Palacio (posto Palacio) Morro do Pilar.","3000","3000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1002330' target='other'> <mi>dwc_moreinfo</mi></a>","NY00926326","NY00926326_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00926314","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Lagenocarpus","bracteosus","Lagenocarpus bracteosus","C.B.Clarke","S. M. Costa","J. R. Pirani","10362","1987","07","22","South America","Brazil","Minas Gerais","Conceição do Mato Dentro Km 135. Bifurcação da Rodovia para Morro do Pilar.","1350","1350","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1002285' target='other'> <mi>dwc_moreinfo</mi></a>","NY00926314","NY00926314_01","Belo Horizonte","-43.5","-19.22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00926312","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Lagenocarpus","bracteosus","Lagenocarpus bracteosus","C.B.Clarke","S. M. Costa","F. A. Vitta","11745","1990","03","10","South America","Brazil","Minas Gerais","Estrada para Belo Horizonte-Conceição do Mato Dentro, próximo à bifurcação para Morro do Pilar, lado direito da estrada.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1002283' target='other'> <mi>dwc_moreinfo</mi></a>","NY00926312","NY00926312_01","Santana do Riacho","-43.7142","-19.1692",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00926327","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Lagenocarpus","bracteosus","Lagenocarpus bracteosus","C.B.Clarke","T. M. Koyama","J. Vidal","II-6014","1953","02",NA,"South America","Brazil","Minas Gerais","Serra do Cipó entre as localidades de Palacio (posto Palacio) Morro do Pilar.","1350","1350","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1002334' target='other'> <mi>dwc_moreinfo</mi></a>","NY00926327","NY00926327_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00926313","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Lagenocarpus","bracteosus","Lagenocarpus bracteosus","C.B.Clarke","S. M. Costa","G. G. Hatschbach","30057","1972","08","08","South America","Brazil","Minas Gerais","Serra do Cipó. Fda. Palacio.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1002284' target='other'> <mi>dwc_moreinfo</mi></a>","NY00926313","NY00926313_01","Jaboticatubas","-43.7447","-19.5136",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-08 17:44:52-03","EAO","IAN","107740","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Cyperaceae","Lagenocarpus","bracteosus","Lagenocarpus bracteosus","C.B.Clarke","Costa, SM","Magalhães, MG","16982",NA,NA,NA,"Southern America","Brasil",NA,"Serra do Cipó, Km 140 (Conceição Mato dentro)",NA,NA,NA,NA,"IAN107740",NA,NA,NA,NA,"2014","02","19",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-01 16:19:34-03","UNICAMP","UEC","204962","S","Plantae","Liliopsida",NA,"Cyperaceae","Lagenocarpus","bracteosus","Lagenocarpus bracteosus","C.B.Clarke","Costa, S","Oliveira, JA; Berbel, RR","808","2017","01","05",NA,"Brazil","Minas Gerais","Brasil, Minas Gerais.Santana do Riacho.Serra do Cipó","1233","1233",NA,"Erva pouco frequente, indivíduos concentrados em apenas uma área do campo.Folhas discolores, brácteas do escapo com ápice verde, região mediana rosadae base arroxeada, inflorescência masculina rosa-alaranjada.Material coletado em síl","UEC164036","UEC164036","Sanatana do Riacho","-43.561389","-19.292222","2017","02",NA,"-43.561389","-19.292222",NA,NA,NA,NA,NA
"11","2021-03-01 16:19:34-03","UNICAMP","UEC","160559","S","Plantae","Liliopsida",NA,"Cyperaceae","Lagenocarpus","bracteosus","Lagenocarpus bracteosus","C.B.Clarke","Costa, SM","Duarte, AP","2220","1949","12","07",NA,"Brazil","Minas Gerais","Serra do Cipó, Kilometro 136,","1250","1250",NA,"Planta de brejo ácido em pequena formação, com área bem delimitada rara.","UEC017229","UEC017229",NA,NA,NA,"2016","06",NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-01 16:19:34-03","UNICAMP","UEC","93910","S","Plantae","Liliopsida",NA,"Cyperaceae","Lagenocarpus","bracteosus","Lagenocarpus bracteosus","C.B.Clarke","Costa, SM","Sano, PT; Lima, LR; Roque, N; Forzza, RC; Marcato, AC","785","1997","12","11",NA,"Brazil","Minas Gerais","Estrada para São João da Chapada. Margem direita da estrada.",NA,NA,NA,"Espiguetas castanhos-claras.; Planta em solo arenoso úmido. Campo com afloramentos rochosos.","UEC017267","UEC017267","Diamantina","-43.6002998352051","-18.2493991851807","2016","06",NA,NA,NA,"101169","auto",NA,NA,NA
"13","2019-08-20 09:59:55-03","UNICAMP","UEC","16292","S","Plantae","Liliopsida",NA,"Cyperaceae","Lagenocarpus","bracteosus","Lagenocarpus bracteosus","C.B.Clarke","Costa, SM","Joly, AB; Semir, J; Ugadin, Y","s.n.","1970","06","08",NA,"Brazil","Minas Gerais","km 139 - Ao longo da Rod.Lagoa Santa, -Conceição do Mato dentro.","1290","1290",NA,NA,"UEC017711","UEC017711","Diamantina","-43.6002998352051","-18.2493991851807","2016","06",NA,NA,NA,"101169","auto",NA,NA,NA
"14","2021-03-01 16:19:34-03","UNICAMP","UEC","160560","S","Plantae","Liliopsida",NA,"Cyperaceae","Lagenocarpus","bracteosus","Lagenocarpus bracteosus","C.B.Clarke","Costa, SM","Vitta, FA; Souza, VC","s.n.","1990","03","10",NA,"Brazil","Minas Gerais","Estrada para Belo H.-Conceição M. Dentro, Próximo à bifurcação para Morro do Pilar, lado direito da estrada. Campo rupestre, solo úmido.",NA,NA,NA,"Erva ca. 80 cm alt. Bainhas castanhas. Junto a população de Oncidium.","UEC017230","UEC017230","Santana do Riacho","-43.7144012451172","-19.1688995361328","2017","05",NA,NA,NA,"26557","auto",NA,NA,NA
"15","2019-08-20 09:59:55-03","UNICAMP","UEC","158186","S","Plantae","Liliopsida",NA,"Cyperaceae","Lagenocarpus","bracteosus","Lagenocarpus bracteosus","C.B.Clarke","Costa, SM","Pirani, JR; Coffani-Nunes, JV; Vitta, FA; Parra-Lazzari, L; et al.","12269","1991","04","27",NA,"Brazil","Minas Gerais","Serra do Cipó, Parque Nacional. Campo junto à sede do IBAMA do Alto do Palácio. vide suplemento.",NA,NA,NA,NA,"UEC015517","UEC015517","Santana do Riacho","-43.7144012451172","-19.1688995361328","2016","06",NA,NA,NA,"26557","auto",NA,NA,NA
"16","2021-03-01 16:19:34-03","UNICAMP","UEC","195690","S","Plantae","Liliopsida",NA,"Cyperaceae","Lagenocarpus","bracteosus","Lagenocarpus bracteosus","C.B.Clarke","Costa, SM","Costa, SM; Silva, ACAS; Nascimento-Junior, JE","1238","2014","11","19",NA,"Brazil","Minas Gerais","Serra do Cipó, Sede do IBAMA - Alto do Palácio",NA,NA,NA,"Erva crescendo em touceiras, escapos jovens e folhas ereos e escapos mais velhos pendentes. Glumas adquirindo coloração amarronzada com o tempo. Folhas secas não enroladas.; Campo rupestre. Solo arenoso-pedregoso.","UEC135372","UEC135372","Santana do Riacho","-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,NA,"26557","auto",NA,NA,NA
"17","2020-12-21 16:22:20-03","MBM","MBM","425858","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Lagenocarpus","bracteosus","Lagenocarpus bracteosus","C.B.Clarke","Costa, S.","Oliveira, J.A.","808","2017","01","05","Southern America","Brazil","Minas Gerais","Serra do Cipó","1233","1233",NA,"Erva. Pouco frequente. Folhas discolores, brácteas do escapo com ápice verde, região mediana rosada e base arroxeada, inflorescência masculina rosa-alaranjada. Material coletado em sílica. Material prensado em álcool. Foto.; Campo gr","MBM425858",NA,"Santana do Riacho","-43.561389","-19.292222","2017","02",NA,"-43.561389","-19.292222",NA,NA,NA,NA,NA
"18","2020-12-11 11:43:48-03","UFMG","BHCB","182244","PreservedSpecimen","Plantae","Monocotyledon",NA,"Cyperaceae","Lagenocarpus","bracteosus","Lagenocarpus bracteosus","C.B.Clarke",NA,"Moreira, SN; França, M; Toledo, F; Farias, AP; Knegt, R","1760","2015","07","08","Southern America","Brasil","Minas Gerais","Parque Estadual da Serra do Intendente",NA,NA,NA,"Erva rosulada até 30cm, escapo até 1,3m de altura. Flor roxa. Campo quartzítico. Solo arenoso.","BHCB037575",NA,"Conceição do Mato Dentro","-43.677222","-18.9425","2015","07",NA,"-43.677222","-18.9425",NA,NA,NA,NA,NA
"19","2020-12-11 11:43:48-03","UFMG","BHCB","58737","PreservedSpecimen","Plantae","Monocotyledon",NA,"Cyperaceae","Lagenocarpus","bracteosus","Lagenocarpus bracteosus","C.B.Clarke",NA,"Sampaio, A","6851",NA,NA,NA,"Southern America","Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,"Santa Luzia","-43.8513984680176","-19.7696990966797",NA,NA,NA,NA,NA,"19939","auto",NA,NA,NA
"20","2013-11-21 14:40:00-02","MO","MOBOT","3086931","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Lagenocarpus","bracteosus","Lagenocarpus bracteosus","C.B. Clarke","C. Clarke","Sena","Sena 12163","1896","7",NA,"South America","Brazil","Minas Gerais","Serra do Cipó. In loc. humidis ad cac.","1200.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"21","2020-09-12 05:00:02-03","US","US","2824923","PreservedSpecimen","Plantae",NA,"Cyperales","Cyperaceae","Lagenocarpus","bracteosus","Lagenocarpus bracteosus","C.B. Clarke",NA,"H. S. Irwin, H. Maxwell & D. C. Wasshausen","20062","1968","2","14","South America - Neotropics","Brazil","Minas Gerais","The Planalto do Brasil, Serra do Espinhaco, Serra do Cipo, Minas Gerais, km 120 (145 km N. of Belo Horizonte)","1200",NA,NA,NA,"US02235397","US02235397_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Monocotyledonae",NA
