"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","identifiedBy","recordNumber","locality","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","yearIdentified","monthIdentified","dayIdentified","phylum","order","typeStatus","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","infraspecificEpithet","sex"
"1223","2021-03-04 15:45:13-03","IF","SPSF","39023","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","guazumifolia","Campomanesia guazumifolia","(Camb.) O.Berg","J.B.Baitello & R.Cielo-Filho & O.T. Aguiar","2007","12","05","Brasil","SP","Paranapanema","-48.738889","-23.508889",NA,NA,NA,NA,"O.T. Aguiar","1973","Estação Ecológica de Paranapanema","630","630","COLETA: Arvoreta com 2,5m, frutos verdes; GEOGRAFIA: Borda da mata, próximo à entrada da cachoeira.;","2008","05","13","Magnoliophyta","Myrtales",NA,"América do Sul",NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA
"1224","2021-03-04 15:45:13-03","IF","SPSF","39246","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","guazumifolia","Campomanesia guazumifolia","(Camb.) O.Berg","C.R.Lima & R.Cielo-Filho & J.B.Baitello","2008","01","31","Brasil","SP","Paranapanema","-48.741667","-23.509722",NA,NA,NA,NA,"J.B.Baitello","84","Estação Ecológica de Paranapanema","610","610","COLETA: Flores em botão, 7m, casca variegada branca.; GEOGRAFIA: Trilha 5; muito lonchiarpus e guaruacaia - homogêneo, jacarandá-paulista bem grande.;","2008","01","31","Magnoliophyta","Myrtales",NA,"América do Sul",NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA
"1225","2021-03-04 15:45:13-03","IF","SPSF","39900","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","guazumifolia","Campomanesia guazumifolia","(Camb.) O.Berg","F.M.Souza & N.M.Ivanauskas & N. Guerin & A.Dário & D.Souza","2007","11","28","Brasil","SP","Bauru","-49.079444","-22.238889",NA,NA,NA,NA,"G.A.D.C. Franco","990","Estação Ecológica de Bauru","573","573","COLETA: Árvore, 4 m. Frutos imaturos verdes.; GEOGRAFIA: Floresta Estacional Semidecidual. Seguindo pela estrada após o experimento de peroba (sentido leste).;","2008","01","11","Magnoliophyta","Myrtales",NA,"América do Sul",NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA
"1226","2021-03-04 15:45:13-03","IF","SPSF","43037","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","guazumifolia","Campomanesia guazumifolia","(Camb.) O.Berg","N.Guerin & G.Durigan & E.Furlan","2008","09","24","Brasil","SP","Águas de Santa Bárbara","-49.231667","-22.836389",NA,NA,NA,NA,"G.Durigan","242","Estação Ecológica Águas de Sta.Bárbara",NA,NA,"COLETA: Floresta Estacional com influência ripária.&nf;Árvore 6m; botões florais;","2008","09","24","Magnoliophyta","Myrtales",NA,"América do Sul",NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA
"1227","2021-03-04 15:45:13-03","IF","SPSF","44381","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","guazumifolia","Campomanesia guazumifolia","(Camb.) O.Berg","J.C.F.Melo Jr. & M.C.Bartz & F.Andreacci & R.J.F.Garcia & R.H.Cardim","2006","10","23","Brasil","MG","Matozinhos","-44.016944","-19.482778",NA,NA,NA,NA,"M.F.Santos","574","Lapa do Santo","678","678","COLETA: Árvore 6m altura; DAP=20cm.&nf;Possui várias ramificações na base; casca em placas longitudinais; flores brancas.; GEOGRAFIA: Fazenda Cauaia&nf;Voucher de estudo paleoambiental (IG/USP);",NA,NA,NA,"Magnoliophyta","Myrtales",NA,"América do Sul",NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA
"1228","2021-03-04 15:45:13-03","IF","SPSF","48314","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","guazumifolia","Campomanesia guazumifolia","(Camb.) O.Berg","N.M.Ivanauskas & M.C.Assis & R. Fletcher","2014","03","20","Brasil","MG","Delfim Moreira","-45.266389","-22.526667",NA,NA,NA,NA,"N.M.Ivanauskas","6618","Fazendas Bartira (Unidade Alegria)","1307","1307","COLETA: Árvore de 9m. Frutos imaturos verdes.; GEOGRAFIA: Floresta Ombrófila Mista.;","2014","03","20","Magnoliophyta","Myrtales",NA,"América do Sul",NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA
"1229","2021-03-04 15:45:13-03","IF","SPSF","51455","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","guazumifolia","Campomanesia guazumifolia","(Cambess.) O.Berg","A. Maruyama & L. Cicco","2016","11","11","Brasil","SP","Cunha","-45.014722","-23.228611",NA,NA,NA,NA,"M.Ibrahim","610",NA,"1091","1091","COLETA: Árvore ca. 3,5 m alt. Flores com pétalas brancas e sépalas verdes.; GEOGRAFIA: Floresta Ombrófila Densa;","2016","11","19","Magnoliophyta","Myrtales",NA,"América do Sul",NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA
"1230","2021-03-04 15:45:13-03","IF","SPSF","26718","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","guazumifolia","Campomanesia guazumifolia",NA,"A.A.Carpanezzi","1999","12","31","Brasil","PR","Pato Branco","-52.6706008911133","-26.2285995483398",NA,NA,NA,NA,NA,"174","floresta ombrofila mista",NA,NA,"COLETA: XLS: SPSFAntigo;",NA,NA,NA,"Magnoliophyta","Myrtales",NA,"América do Sul",NA,"26000","auto","Magnoliopsida",NA,NA,NA,NA,NA
"1231","2021-03-04 15:45:13-03","IF","SPSF","28199","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","guazumifolia","Campomanesia guazumifolia",NA,"O.C.Pavao","1999","10","04","Brasil","PR","Sao Jeronimo da Serra","-50.7411003112793","-23.7275009155273",NA,NA,NA,NA,"O.T. Aguiar",NA,"borda da mata",NA,NA,"COLETA: XLS: SPSFAntigo;","2016","06","30","Magnoliophyta","Myrtales",NA,"América do Sul",NA,"30511","auto","Magnoliopsida",NA,NA,NA,NA,NA
"1232","2021-03-04 15:45:13-03","IF","SPSF","26055","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","guazumifolia","Campomanesia guazumifolia",NA,"R.Zachia & C.F.Pfluck","1999","02","02","Brasil","RS","Santa Maria","-53.8069000244141","-29.6842002868652",NA,NA,NA,NA,NA,"3224","jardim botânico, campus UFSM",NA,NA,"COLETA: XLS: SPSFAntigo;",NA,NA,NA,"Magnoliophyta","Myrtales",NA,"América do Sul",NA,"37819","auto","Magnoliopsida",NA,NA,NA,NA,NA
