"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","day","county","verbatimLongitude","verbatimLatitude","decimalLongitude","decimalLatitude","class","relatedCatalogItem","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","495799","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Primulaceae","Cybianthus","densicomus","Cybianthus densicomus","Mart.","L. Riedel","2436","1834","08","South America","Brazil","Minas Gerais","Pr. Uberava","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=514758' target='other'> <mi>dwc_moreinfo</mi></a>","NY00495799","NY00495799_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","495798","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Primulaceae","Cybianthus","densicomus","Cybianthus densicomus","Mart.","L. Riedel","s.n.","1834","08","South America","Brazil","Minas Gerais","Pr. Uberava","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=514757' target='other'> <mi>dwc_moreinfo</mi></a>","NY00495798","NY00495798_01","C. C. Kossinsky",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-02-18 09:30:31-03","UNESP-IBB","BOTU","5749","PreservedSpecimen","Plantae",NA,NA,"Primulaceae","Cybianthus","densicomus","Cybianthus densicomus","Mart.","Pinto, M.F.F.","4","1974","09",NA,"Brasil","São Paulo",NA,NA,"Mata de galeria; arbusto com 1,5m de altura; folhas simples; inflorescência esbranquiçadas.","BOTU005749",NA,"Jung-Mendaçolli, S.L.","2002","08","15","15","Botucatu","9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-02-08 11:09:55-03","UNESP-IBB","BOTU","25543","PreservedSpecimen","Plantae",NA,NA,"Primulaceae","Cybianthus","densicomus","Cybianthus densicomus","Mart.","Carboni, M.","401","2006","05",NA,"Brasil","São Paulo",NA,NA,"Mata de brejo; 1,4m alt., flores creme.","BOTU025543",NA,"Souza, V.C.","2006","06","01","19","Bauru","49°01'w","22°20's","-49.016667","-22.333333",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-02-18 09:30:31-03","UNESP-IBB","BOTU","5955","PreservedSpecimen","Plantae",NA,NA,"Primulaceae","Cybianthus","densicomus","Cybianthus densicomus","Mart.","Rocha, C.P.","46","1974","10",NA,"Brasil","São Paulo",NA,NA,"Mata de galeria secundária com pouca infiltração solar; arbusto de 1,5m de alt.; com flores esverdeadas.","BOTU005955",NA,"Jung-Mendaçolli, S.L.","2002","08","15","05","Botucatu","9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-02-18 09:30:31-03","UNESP-IBB","BOTU","5748","PreservedSpecimen","Plantae",NA,NA,"Primulaceae","Cybianthus","densicomus","Cybianthus densicomus","Mart.","Ribeiro, L.A.","19","1974","09",NA,"Brasil","São Paulo",NA,NA,"3m alt.; plata lenhosa, com folhas inteiras, flores pequenas.","BOTU005748",NA,"Jung-Mendaçolli, S.L.","2002","08","15","19","Botucatu","9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-02-25 11:47:35-03","UNESP-IBB","BOTU","25544","PreservedSpecimen","Plantae",NA,NA,"Myrsinaceae","Cybianthus","densicomus","Cybianthus densicomus","Mart.","Carboni, M.","231","2005","05",NA,"Brasil","São Paulo","Reserva Legal do Campus da UNESP",NA,NA,"BOTU025544",NA,"Souza, V.C.","2005","06","01","01","Bauru","49º01'w","22º20's","-49.016667","-22.333333",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-02-08 11:09:55-03","UNESP-IBB","BOTU","29600","PreservedSpecimen","Plantae",NA,NA,"Primulaceae","Cybianthus","densicomus","Cybianthus densicomus","Mart.","Bignotto, R.B.","40","2003","10",NA,"Brasil","São Paulo",NA,NA,"Arbusto de 1,5m, flores palhas.; Coleção: Jardim Botânico UNESP Botucatu","BOTU029600",NA,NA,NA,NA,NA,"06","Botucatu","48°26'w","22°52's","-48.433333","-22.866667",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 09:03:23-03","NBC","NL-BOTANY","U.1437130","PreservedSpecimen","Plantae",NA,"Ericales","Myrsinaceae","Cybianthus","densicomus","Cybianthus densicomus","Mart.","Martius CFP von",NA,NA,NA,"Southern America","Brazil",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1437130 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1437130","NL-U1437130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0137837",NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:17:48-03","ESALQ","ESA","14930","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Primulaceae","Cybianthus","densicomus","Cybianthus densicomus","Mart.","Barreto, K.D. et al.","802.0","1993","07",NA,"Brasil","São Paulo",NA,NA,NA,"ESA014930","ESA014930","Sigrid-Mendaçolli, S.L.","2005","01","01","30","Piracicaba",NA,NA,"-47.6399993896484","-22.7199993133545",NA,NA,"44778","auto",NA,NA,NA,NA,NA
"11","2020-11-04 11:17:48-03","ESALQ","ESA","96228","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Primulaceae","Cybianthus","densicomus","Cybianthus densicomus","Mart.","Viani, R.A.G.","602.0","2006","06",NA,"Brasil","São Paulo",NA,NA,NA,"ESA096228","ESA096228",NA,NA,NA,NA,"18","São Carlos",NA,NA,"-47.8899993896484","-22.0100002288818",NA,NA,"45913","auto",NA,NA,NA,NA,NA
"12","2020-11-04 11:17:48-03","ESALQ","ESA","91470","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Primulaceae","Cybianthus","densicomus","Cybianthus densicomus","Mart.","Viani, R.A.G. et al.","445.0","2004","07",NA,"Brasil","São Paulo","Fazenda Santa Terezinha (Eucatex). Remanescente de Floresta Estacional Semidecidual",NA,NA,"ESA091470","ESA091470","Bernacci, L.C.",NA,NA,NA,"12","Bofete","-48,183,333","-230,333",NA,"-230.333",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-11-04 11:17:48-03","ESALQ","ESA","99859","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Primulaceae","Cybianthus","densicomus","Cybianthus densicomus",NA,"Carboni, M.","401.0","2006","05",NA,"Brasil","São Paulo",NA,NA,NA,"ESA099859","ESA099859","Souza, V.C.","2006","06","01","19","Bauru",NA,NA,"-49.060001373291","-22.3099994659424",NA,NA,"29186","auto",NA,NA,NA,NA,NA
"14","2020-11-04 11:17:48-03","ESALQ","ESA","99858","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Primulaceae","Cybianthus","densicomus","Cybianthus densicomus",NA,"Carboni, M.","231.0","2005","07",NA,"Brasil","São Paulo",NA,NA,NA,"ESA099858","ESA099858","Souza, V.C.","2006","06","01","01","Bauru",NA,NA,"-49.060001373291","-22.3099994659424",NA,NA,"29186","auto",NA,NA,NA,NA,NA
"15","2015-07-02 14:03:05-03","JBP","HPL","5050","S","Plantae",NA,NA,"Myrsinaceae","Cybianthus","densicomus","Cybianthus densicomus","Mart.","R. Tsuji","1071","2005","09",NA,"Brasil","SP","Coletada em mata de brejo nas proximidades do posto depois da entrada que liga Itirapina a São Pedro.",NA,NA,NA,NA,"V.C. Souza","2011","05","04","17","Itirapina",NA,NA,"-47.82","-22.25",NA,NA,"22843","auto",NA,NA,NA,NA,NA
"16","2019-02-15 11:46:08-02","IPA","IPA","17472","S","Plantae","Plantae",NA,"Myrsinaceae","Cybianthus","densicomus","Cybianthus densicomus","Mart.","Giulietti, A.M.","165","1968","06","Southern America","Brasil","São Paulo","alto da serra.",NA,"Arbusto com flores alvo-esverdeadas.","IPA0017472",NA,"Giulietti, A.M.","1970","04","22","24","Paranapiacaba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-01 16:38:29-03","UNICAMP","UEC","130718","S","Plantae","Magnoliopsida",NA,"Primulaceae","Cybianthus","densicomus","Cybianthus densicomus","Mart.","Sciamarelli, A; et al.","870","2001","07",NA,"Brazil","Mato Grosso do Sul","Estrada Campo Grande - Rio Brilhante. BR-163",NA,"Árvore 4m. Flores verdes.",NA,NA,"Meireles, LD",NA,NA,NA,"09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-01 16:38:29-03","UNICAMP","UEC","145671","S","Plantae","Magnoliopsida",NA,"Primulaceae","Cybianthus","densicomus","Cybianthus densicomus","Mart.","Farah, FT","2371","2001","07",NA,"Brazil","São Paulo","RPPN Estância Jatobá, Floresta ciliar.",NA,"Árvore, 6 mde altura, inflorescência vinho, frutos esféricos verdes com uma semente esbranquiçada.","UEC060397","UEC060397","Farah, FT",NA,NA,NA,"20","Jaguariúna","-47.037222","-22.667417","-47.037222","-22.667417",NA,NA,NA,NA,"585","585",NA,NA,NA
"19","2019-08-20 10:23:33-03","UNICAMP","UEC","148877","S","Plantae","Magnoliopsida",NA,"Primulaceae","Cybianthus","densicomus","Cybianthus densicomus","Mart.","Aranha, BA","517","2007","01",NA,"Brazil","São Paulo","Fazenda Capricórnio, Parcela J",NA,NA,NA,NA,"Aranha, BA","2008","10",NA,"12","Ubatuba","-45.084167","-23.366389","-45.084167","-23.366389",NA,NA,NA,NA,"380","380",NA,NA,NA
"20","2021-03-01 16:38:29-03","UNICAMP","UEC","11575","S","Plantae","Magnoliopsida",NA,"Primulaceae","Cybianthus","densicomus","Cybianthus densicomus","Mart.","Ratter, JA; Fonseca, SG; Fonsêca Filho, J; Ribeiro, JF; Silva, JCS","R3682","1976","09",NA,"Brazil","Distrito Federal","Fazenda Água Limpa, near Vargem Bonita, 18cm SSW of Brasília TV tower.",NA,"Small understorey tree, 3m tall.&nf;Corolla pale green with orange spots at the tips of the lobes. In very wet swampy gallery forest.",NA,NA,"Freitas, MF","2010","08","02","28","Brasília",NA,NA,"-47.9296989440918","-15.7797002792358",NA,NA,"70570","auto",NA,NA,NA,NA,NA
"21","2021-03-01 16:38:29-03","UNICAMP","UEC","71395","S","Plantae","Magnoliopsida",NA,"Primulaceae","Cybianthus","densicomus","Cybianthus densicomus","Mart.","Durigan, G","30609","1992","09",NA,"Brazil","São Paulo","Estação Ecológica de Assis",NA,"Arbusto.; Em terreno encharcado. Mata ciliar.",NA,NA,"Jung-Mendaçolli, SL","2002","08","15","09","Assis",NA,NA,"-50.4099998474121","-22.6599998474121",NA,NA,"23972","auto",NA,NA,NA,NA,NA
"22","2021-03-01 16:38:29-03","UNICAMP","UEC","99898","S","Plantae","Magnoliopsida",NA,"Primulaceae","Cybianthus","densicomus","Cybianthus densicomus","Mart.","Spina, AP","26","1992","08",NA,"Brazil","São Paulo","Fazenda de Santa Genebra",NA,"Interior da mata, arbórea, folhas congestas, flores em racemos, terminais, frutos redondos castanhos.; Mata higrófila",NA,NA,"Bernacci, LC; Sigrist, JM",NA,NA,NA,"31","Campinas",NA,NA,"-47.060001373291","-22.8999996185303",NA,NA,"23900","auto",NA,NA,NA,NA,NA
"23","2021-03-01 16:38:29-03","UNICAMP","UEC","99597","S","Plantae","Magnoliopsida",NA,"Primulaceae","Cybianthus","densicomus","Cybianthus densicomus","Mart.","Spina, AP","292","1994","08",NA,"Brazil","São Paulo","Fazenda de Santa Genebra",NA,"Interior da mata, arbórea, 1.7m alt., folhas esverdeadas.; Mata higrófila",NA,NA,"Bernacci, LC; Sigrist, JM",NA,NA,NA,"12","Campinas",NA,NA,"-47.060001373291","-22.8999996185303",NA,NA,"23900","auto",NA,NA,NA,NA,NA
"24","2020-12-21 16:36:09-03","MBM","MBM","298726","PreservedSpecimen","Plantae",NA,NA,"Myrsinaceae","Cybianthus","densicomus","Cybianthus densicomus","Mez","Spina, A.P.","292","1994","08","Southern America","Brazil","São Paulo","Distrito de Barão Geraldo",NA,NA,"MBM298726","MBM298726","Spina, A.P.",NA,NA,NA,"12","Campinas",NA,NA,"-47.060001373291","-22.8999996185303",NA,NA,"23900","auto",NA,NA,NA,NA,NA
"25","2020-12-21 16:36:09-03","MBM","MBM","37793","PreservedSpecimen","Plantae",NA,NA,"Myrsinaceae","Cybianthus","densicomus","Cybianthus densicomus","Mez","Hatschbach, G.","14761",NA,NA,"Southern America","Brazil","Paraná","Cacatu",NA,NA,"MBM037793","MBM037793","Smith, S.F.; L.B.",NA,NA,NA,NA,"Antonina",NA,NA,"-48.7118988037109","-25.4286003112793",NA,NA,"38300","auto",NA,NA,NA,NA,NA
"26","2020-12-21 16:41:58-03","MBM","MBM","414013","PreservedSpecimen","Plantae",NA,NA,"Primulaceae","Cybianthus","densicomus","Cybianthus densicomus","Mart.","Völtz, R.R.; Santos, G.H.; Santos, G.H.","1680","2017","07","Southern America","Brazil","Paraná","RPPN Salto Morato",NA,"Arvoreta 2 m alt.; frutos enegrecidos.; Floresta Ombrófila Densa Submontana; interior de floresta de encosta.","MBM414013",NA,"Völtz, R.R.","2018","08","07","09","Guaraqueçaba","-48.278611","-25.161389","-48.278611","-25.161389",NA,NA,NA,NA,"115","115",NA,NA,NA
"27","2020-12-21 16:41:58-03","MBM","MBM","415191","PreservedSpecimen","Plantae",NA,NA,"Primulaceae","Cybianthus","densicomus","Cybianthus densicomus","Mart.","Völtz, R.R.; Santos, G.H.; Santos, G.H.","1974","2016","09","Southern America","Brazil","Paraná","RPPN Salto Morato",NA,"Arvoreta 2 m alt.; flores esverdeadas; interior de Floresta Ombrófila Densa Submontana.; Floresta Ombrófila Densa Submontana.","MBM415191","MBM415191","Völtz, R.R.","2018","11","26","16","Guaraqueçaba","-48.300278","-25.171389","-48.300278","-25.171389",NA,NA,NA,NA,"75","75",NA,NA,NA
"28","2015-09-04 16:44:59-03","MNHN","RECOLNAT_MNHN_P","P04908653","PreservedSpecimen",NA,NA,NA,"Primulaceae","Cybianthus","densicomus","Cybianthus densicomus","Mart.","Saint-Hilaire, A.",NA,NA,NA,NA,"Brasil","Minas Gerais",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04908653' target='other'> <mi>dwc_moreinfo</mi></a>","P04908653","P04908653_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C1 304",NA,NA
"29","2021-02-11 17:20:37-03","UFPR","UPCB","49696","PreservedSpecimen","Plantae",NA,NA,"Myrsinaceae","Cybianthus","densicomus","Cybianthus densicomus","Mart.","Spina, A.P.","26","1992","08",NA,"Brasil","São Paulo","Barão Geraldo, Fazenda Santa Genebra",NA,"Arbórea, folhas congestas, flores em racemos, terminais, fruto redondo castanho, interior da mata. Mata higrófila..",NA,NA,"Spina, A.P.",NA,NA,NA,"31","Campinas",NA,NA,"-47.060001373291","-22.8999996185303",NA,NA,"23900","auto",NA,NA,NA,NA,NA
"30","2017-11-24 14:12:13-02","UFLA","ESAL","5684","S","Plantae",NA,NA,"Primulaceae","Cybianthus","densicomus","Cybianthus densicomus","Mart.","Oliveira Filho, AT","383",NA,NA,NA,"Brasil","Mato Grosso","Chapada dos Guimarães",NA,"árvore; 2.0; ;",NA,NA,"Ary T.O.Filho",NA,NA,NA,NA,"Salgadeira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2020-09-12 05:00:02-03","US","US","2509069","PreservedSpecimen","Plantae",NA,"Primulales","Myrsinaceae","Cybianthus","densicomus","Cybianthus densicomus","Mart.","G. Hatschbach","14761","1966","9","South America","Brazil","Paraná","Mun. Antonina. Cacatu.",NA,NA,"US03114497","US03114497_01",NA,NA,NA,NA,"27",NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,"1",NA
"32","2020-09-12 05:00:02-03","US","US","1484068","PreservedSpecimen","Plantae",NA,"Primulales","Myrsinaceae","Cybianthus","densicomus","Cybianthus densicomus","Mart.","I. Riedel & B. Luschnatt","2436","1834","8","South America","Brazil",NA,"Ad rivulos pr. Uberava.",NA,NA,"US03114498","US03114498_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,"1",NA
"33","2020-09-02 16:38:28-03","Cenargen","CEN","97396","PreservedSpecimen","Plantae",NA,NA,"Primulaceae","Cybianthus","densicomus","Cybianthus densicomus","Mart.","Anderson Cássio Sevilha","5216","2008","12",NA,"Brasil","MG","Assentamento Vereda Funda.","Exsicatas","Exala cheiro desagradável. Mata de galeria.","CEN00097396","CEN00097396","B. M. T. Walter","2017","04",NA,"16","RIO PARDO DE MINAS","-42.490277","-15.923888","-42.490277","-15.923888",NA,NA,NA,NA,"871","871",NA,"3",NA
"34","2020-09-02 16:38:27-03","Cenargen","CEN","14171","PreservedSpecimen","Plantae",NA,NA,"Primulaceae","Cybianthus","densicomus","Cybianthus densicomus","Mart.","Taciana Barbosa Cavalcanti","926","1991","10",NA,"Brasil","GO","Próximo ao rio Carneiro (entre o rio Carneiro e rio Boa Nova) - bacia de inundação. Área de influência direta da UHE - Serra da Mesa.","Exsicatas","Botões esverdeados.","CEN00014171","CEN00014171","B. M. T. Walter","2017","01",NA,"10","CAMPINACU","48.25","-13.816666","48.25","-13.816666",NA,NA,NA,NA,"450","450",NA,"2",NA
"35","2020-09-02 16:38:27-03","Cenargen","CEN","6956","PreservedSpecimen","Plantae",NA,NA,"Primulaceae","Cybianthus","densicomus","Cybianthus densicomus","Mart.","Patrícia Scheiner","85","1982","10",NA,"Brasil","GO","Mata da Lagoa Feia, perto da margem.","Exsicatas","Folha membranácea. Flor amarela clara. Comportamento independente.","CEN00006956","CEN00006956","B. M. T. Walter","2017","01",NA,"20","FORMOSA","-4730000.0","-1556667.0","-47.334400177002","-15.5371999740601",NA,NA,"113054","auto",NA,NA,NA,"1",NA
"36","2020-09-02 16:38:28-03","Cenargen","CEN","94382","PreservedSpecimen","Plantae",NA,NA,"Primulaceae","Cybianthus","densicomus","Cybianthus densicomus","Mart.","Wilson Hoehne",NA,"1951","07",NA,"Brasil","SP","Próximo ao Mun. Limeira.","Exsicatas","(Det. in dupl.) Doação da Universidadde de São Paulo - SP - Herbário SPF.","CEN00094382","CEN00094382","S. L. Jung","2002","08",NA,"31","SAO PAULO",NA,NA,"-46.6300010681152","-23.5400009155273",NA,NA,"53584","auto",NA,NA,NA,"1",NA
