"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","continentOcean","coordinatePrecision","geoFlag","occurrenceRemarks","class","order","typeStatus","individualCount","phylum"
"1","2019-11-08 08:53:08-03","FURB","FURB","44527","PreservedSpecimen","Plantae","Malvaceae","Calyptraemalva","catharinensis","Calyptraemalva catharinensis","Krapov.","Barbosa, E","2013","12","03","Cervi, A.C.; Barbosa, E. & Cordeiro, J.","10121","2013","11","06","Brasil","Santa Catarina","Urupema","Estrada Rio Rufino.","-49.8516667","-27.9336111","-49.8516667","-27.9336111","FURB27369","FURB27369",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-10-14 10:02:35-03","FURB","FURB","44988","PreservedSpecimen","Plantae","Malvaceae","Calyptraemalva","catharinensis","Calyptraemalva catharinensis","Krapov.",NA,NA,NA,NA,"Funez, L.A.","3467","2014","10","01","Brasil","Santa Catarina","Grão Pará","Serra do Corvo Branco.","-49.3677778","-28.0552778","-49.3677778","-28.0552778","FURB27368","FURB27368","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-21 16:33:07-03","MBM","MBM","146817","PreservedSpecimen","Plantae","Malvaceae","Calyptraemalva","catharinensis","Calyptraemalva catharinensis","Krapov.","Krapovickas, A.",NA,NA,NA,"Hatschbach, G.; Silva, J.M.; Silva, J.M.","55702",NA,NA,NA,"Brazil","Santa Catarina","Grão Pará","Serra do Corvo Branco","-49.2146987915039","-28.1849994659424",NA,NA,"MBM146817","MBM146817",NA,NA,"Southern America","24844","auto",NA,NA,NA,NA,NA,NA
"4","2020-12-21 16:33:07-03","MBM","MBM","386907","PreservedSpecimen","Plantae","Malvaceae","Calyptraemalva","catharinensis","Calyptraemalva catharinensis","Krapov.","Barboza, E.","2013","12","03","Cervi, A.C.; Barboza, E.; Cordeiro, J.; Barboza, E.; Cordeiro, J.","10121","2013","11","06","Brazil","Santa Catarina","Urupema","Estrada Rio Rufino","-49.851778","-27.933686","-49.851778","-27.933686","MBM386907","MBM386907","1535","1535","Southern America",NA,NA,"Arbusto de 1,80m. Flores com pétalas róseas.",NA,NA,NA,NA,NA
"5","2020-12-21 16:33:07-03","MBM","MBM","386907","PreservedSpecimen","Plantae","Malvaceae","Calyptraemalva","catharinensis","Calyptraemalva catharinensis","Krapov.","Barboza, E.","2013","12","03","Cervi, A.C.; Barboza, E.; Cordeiro, J.; Barboza, E.; Cordeiro, J.","10121","2013","11","06","Brazil","Santa Catarina","Urupema","Estrada Rio Rufino","-49.851778","-27.933686","-49.851778","-27.933686","MBM386907","MBM386907","1535","1535","Southern America",NA,NA,"Arbusto de 1,80m. Flores com pétalas róseas.",NA,NA,NA,NA,NA
"6","2020-12-21 16:33:07-03","MBM","MBM","386920","PreservedSpecimen","Plantae","Malvaceae","Calyptraemalva","catharinensis","Calyptraemalva catharinensis","Krapov.","Barboza, E.","2013","12","03","Cervi, A.C.; Barboza, E.; Cordeiro, J.; Barboza, E.; Cordeiro, J.","10209","2013","11","05","Brazil","Santa Catarina","Grão Pará","Serra do Corvo Branco","-49.366722","-28.055622","-49.366722","-28.055622","MBM386920","MBM386920","1233","1233","Southern America",NA,NA,"Arbusto 1,20m. Flores róseas.; Beira de paredão.",NA,NA,NA,NA,NA
"7","2020-12-21 16:33:07-03","MBM","MBM","386920","PreservedSpecimen","Plantae","Malvaceae","Calyptraemalva","catharinensis","Calyptraemalva catharinensis","Krapov.","Barboza, E.","2013","12","03","Cervi, A.C.; Barboza, E.; Cordeiro, J.; Barboza, E.; Cordeiro, J.","10209","2013","11","05","Brazil","Santa Catarina","Grão Pará","Serra do Corvo Branco","-49.366722","-28.055622","-49.366722","-28.055622","MBM386920","MBM386920","1233","1233","Southern America",NA,NA,"Arbusto 1,20m. Flores róseas.; Beira de paredão.",NA,NA,NA,NA,NA
"8","2018-06-22 05:25:00-03","MO","MOBOT","2457323","PreservedSpecimen","Plantae","Malvaceae","Calyptraemalva","catharinensis","Calyptraemalva catharinensis","Krapov.",NA,NA,NA,NA,"Pe. Raulino Reitz|Roberto M. Klein","Reitz 7181","1956","9","18","Brazil","Santa Catarina",NA,"São Joaquim. Serra do Oratorio, Bom Jardim, aparados da serra",NA,NA,NA,NA,NA,NA,"1000.00000000",NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-12 05:00:02-03","US","US","2323420","PreservedSpecimen","Plantae","Malvaceae","Calyptraemalva","catharinensis","Calyptraemalva catharinensis","Krapov.",NA,NA,NA,NA,"R. Reitz & R. M. Klein","7181","1958","9","18","Brazil","Santa Catarina",NA,"Serra do Oratorio, Bom Jardim, San Joaquin.",NA,NA,NA,NA,"US00098197","US00098197_01","1000","1000","South America",NA,NA,NA,"Dicotyledonae","Malvales","Isotype","1",NA
"10","2019-10-07 09:33:07-03","UEFS","HUEFS","208810","PreservedSpecimen","Plantae","Malvaceae","Calyptraemalva","catharinensis","Calyptraemalva catharinensis","Krapov.",NA,NA,NA,NA,"Cervi, A.C.","10121","2013","11","06","Brasil","Santa Catarina","Urupema","Estrada Rio Rufino.","-49.851667","-27.933611","49W51'6''","27S56'1''","HUEFS0208810","HUEFS0208810","1535","1535",NA,NA,NA,NA,"Rosanae","Malvales",NA,NA,"Angiospermae"
"11","2020-08-20 14:57:32-03","UFSC","FLOR","54871","PreservedSpecimen","Plantae","Malvaceae","Calyptraemalva","catharinensis","Calyptraemalva catharinensis","Krapov.","Barboza, E.","2013","12","03","Cervi, A.C.; Barboza, E. & Cordeiro, J.","10209","2013","11","05","Brasil","Santa Catarina","Grão Pará","Serra do Corvo Branco.","-49.366667","-28.055556","49º22'0''W","28º3'20''S","FLOR0054871",NA,"1233","1233",NA,NA,NA,"arbusto de 1,20m, flores róseas",NA,"Malvales",NA,NA,NA
"12","2020-08-20 14:57:32-03","UFSC","FLOR","61105","PreservedSpecimen","Plantae","Malvaceae","Calyptraemalva","catharinensis","Calyptraemalva catharinensis","Krapov.","Barboza, E.","2013","12","03","Cervi, A.C.; Barboza, E. & Cordeiro, J.","10121","2013","11","06","Brasil","Santa Catarina","Urupema","Estrada Rio Rufino.","-49.851667","-27.933611","49º51'6''W","27º56'1''S","FLOR0061105","FLOR0061105","1535","1535",NA,NA,NA,"Arbusto de 1,8m alt, flores com pétalas róseas",NA,"Malvales",NA,NA,NA
"13","2021-02-08 12:43:18-03","UFRGS","ICN","181631","S","Plantae","Malvaceae","Calyptraemalva","catharinensis","Calyptraemalva catharinensis","Krapov.","Barboza, E","2013","12","03","Cervi, AC; Barboza, E; Cordeiro, J","10121","2013","11","06","Brasil","SC","Urupema","Estrada Rio Rufino","-49.851667","-27.933611","-49.851667","-27.933611",NA,NA,NA,NA,"América do Sul",NA,NA,"Doação Herbário MBM; Arbusto de 1,80m. Flores com pétalas róseas.",NA,NA,NA,NA,"Dicotyledon"
