"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","class","yearIdentified","monthIdentified","dayIdentified","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","fieldNumber","typeStatus","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","4013648","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Campylocentrum","neglectum","Campylocentrum neglectum","(Rchb.f. & Warm.) Cogn.","M. H. Nee","45395","1994","07","27","South America","Bolivia","Santa Cruz","Andrés Ibáñez","10 km. E of Cotoca, along Quebrada Quitachiyú, 2 km. S of Cotoca - Pailas highway","-62.9","-17.7458","350","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4328393' target='other'> <mi>dwc_moreinfo</mi></a>","NY04013648","NY04013648_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","547383","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Campylocentrum","neglectum","Campylocentrum neglectum","(Rchb.f. & Warm.) Cogn.","G. T. Prance","59630","1964","10","24","South America","Brazil","Goiás","Caiapônia","30 km south of Caiaponia. Serra do Caiapó","-51.8103","-16.9569",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=628888' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547383","NY00547383_01","G. F. J. Pabst",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","4013657","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Campylocentrum","neglectum","Campylocentrum neglectum","(Rchb.f. & Warm.) Cogn.","O. S. Shirley","121","1994","12","28","South America","Bolivia","Santa Cruz","Chiquitos","Poza del Tigre, 135 km al este de la ciudad de Santa Cruz, propiedad de la empresa ABAFA, alrededores del campamento principal","-61.95","-17.57","250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4328425' target='other'> <mi>dwc_moreinfo</mi></a>","NY04013657",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","4013643","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Campylocentrum","neglectum","Campylocentrum neglectum","(Rchb.f. & Warm.) Cogn.","M. H. Nee","35096","1987","07","10","South America","Bolivia","Santa Cruz","Andrés Ibáñez","12 km. E of center of Santa Cruz, on road to Cotoca","-63.07","-17.78","375","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4328388' target='other'> <mi>dwc_moreinfo</mi></a>","NY04013643","NY04013643_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 08:46:01-03","NBC","NL-BOTANY","L.1494514","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Campylocentrum","neglectum","Campylocentrum neglectum","(Rchb.f. & Warm.) Cogn.","Pedersen TM",NA,"1956","10","16","Southern America","Paraguay",NA,NA,"Puerto Casado & Vicinity km 39.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1494514 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1494514","NL-L1494514",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 08:46:01-03","NBC","NL-BOTANY","L.1494515","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Campylocentrum","neglectum","Campylocentrum neglectum","(Rchb.f. & Warm.) Cogn.","Fiebrig K",NA,"1902","12","07","Southern America","Paraguay",NA,NA,"Plantae paraguayenses. Cordillera de Altos.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1494515 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1494515","NL-L1494515",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 08:46:01-03","NBC","NL-BOTANY","L.1494516","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Campylocentrum","neglectum","Campylocentrum neglectum","(Rchb.f. & Warm.) Cogn.","Hassler E",NA,"1913","01","01","Southern America","Paraguay",NA,NA,"Plantæ Paraguarienses. Paraguaria centralis: Prope Sapucay.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1494516 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1494516","NL-L1494516",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 08:46:01-03","NBC","NL-BOTANY","L.1494517","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Campylocentrum","neglectum","Campylocentrum neglectum","(Rchb.f. & Warm.) Cogn.","Vincent D",NA,"1919","01","01","Southern America","Brazil",NA,NA,"Pres de Minat Geraes. *.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1494517 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1494517","NL-L1494517",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 12:17:23-03","ESALQ","ESA","56765","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orchidaceae","Campylocentrum","neglectum","Campylocentrum neglectum",NA,"Paula-Souza, J.; Ferrucci, M.S.; Meza Torres, E.I.","8107.0","2007","01","31",NA,"Argentina","Corrientes","San Cosme","Paso de la Patria, estrada para Puerto González, ca. 3km da ruta 9. Selva",NA,NA,"50",NA,"Epífita, frutos imaturos verdes","ESA056765",NA,"Pessoa, E.",NA,"2013","08","19","50",NA,NA,NA,NA,NA,NA,NA
"10","2020-07-02 18:55:41-03","UFJF","CESJ","48670","PreservedSpecimen","Plantae","Angiosperma",NA,"Orchidaceae","Campylocentrum","neglectum","Campylocentrum neglectum","(Rchb. f. & Warm.) Cogn.","L. Menini Neto; R.C. Forzza; R.F.Monteiro; R.Dias-Melo; M.C.M. Garcia","28","2003","10","18","América do Sul","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca, Subida para o Pico do Pião.","-43.793098449707","-21.8425006866455",NA,NA,"Erva epífita, na transição da mata com o campo rupestre, próximo ao curso d'água. Caule amarelo-esverdeado, folhas verde-escuras, flores alvas com a base verde-clara, cálcar verde-claro, amarelado, pedicelo e ovário verdes, brácteas florais castanhas. Ra","CESJ048670",NA,"L. Menini Neto",NA,"2005","01",NA,NA,"30417","auto",NA,NA,NA,NA,NA
