"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordNumber","verbatimLongitude","verbatimLatitude","order","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","barcode","imagecode","class","fieldNumber"
"1","2019-06-10 10:11:04-03","FZB-BH","CVJBFZB","1476","S","Plantae","Pterydophyta","Anemiaceae","Anemia","gardneri","Anemia gardneri","Hook.","Carlos A. Ferreira Jr.","2011","12","12","Carlos Alberto F. Jr.; Alysson Rezende","2010","05","30","Brasil","Minas Gerais","Caeté","Funil - Próximo ao corrego Caeté","-43.6697006225586","-19.8799991607666","22051","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:11:04-03","FZB-BH","CVJBFZB","1594","S","Plantae","Pterydophyta","Anemiaceae","Anemia","gardneri","Anemia gardneri","Hook.","Carlos A. Ferreira Jr.","2011","07","14","Carlos Alberto F. Jr.; João Barbosa, Gladstone C. Araújo, Lucas Assis","2011","07","14","Brasil","Minas Gerais","Santana do Riacho","Área da nova estrada que liga Santana do Riacho a Serro.","-43.7144012451172","-19.1688995361328","26557","1","254","auto","CAF342","43°38'17.65","19°20'23.57",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:11:04-03","FZB-BH","CVJBFZB","1593","S","Plantae","Pterydophyta","Anemiaceae","Anemia","gardneri","Anemia gardneri","Hook.","Carlos A. Ferreira Jr.","2011","07","14","Carlos Alberto F. Jr.; João Barbosa, Gladstone C. Araújo, Lucas Assis","2011","07","14","Brasil","Minas Gerais","Santana do Riacho","Área da nova estrada que liga Santana do Riacho a Serro.","-43.7144012451172","-19.1688995361328","26557","1","254","auto","CAF342","43°38'17.65","19°20'23.57",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1015615","PreservedSpecimen","Plantae","Pteridophyta","Anemiaceae","Anemia","gardneri","Anemia gardneri","Hook.","P. H. Labiak E.; F. B. Matos",NA,NA,NA,"P. H. Labiak E.","2007","07","13","Brazil","Espírito Santo",NA,"São Roque do Canaã. Alto Misterioso.","-40.7719","-19.8028",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1108938' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"4108",NA,NA,"Schizaeales","South America","1130","1130","sheet","NY01015615","NY01015615_01",NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1016666","PreservedSpecimen","Plantae","Pteridophyta","Anemiaceae","Anemia","gardneri","Anemia gardneri","Hook.","J. T. Mickel",NA,NA,NA,"A. C. Brade","1941","07","17","Brazil","Rio de Janeiro",NA,"Pico da Tijuca",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1181495' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"16855",NA,NA,"Schizaeales","South America","900","900","sheet","NY01016666","NY01016666_01",NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02514580","PreservedSpecimen","Plantae","Pteridophyta","Anemiaceae","Anemia","gardneri","Anemia gardneri","Hook.",NA,NA,NA,NA,"A. C. Brade","1928","10",NA,"Brazil","Rio de Janeiro","Rio de Janeiro","Tijuca","-43.2075004577637","-22.9027996063232","57442",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2808322' target='other'> <mi>dwc_moreinfo</mi></a>","auto","8583",NA,NA,"Schizaeales","South America",NA,NA,"sheet","NY02514580","NY02514580_01",NA,NA
"7","2020-11-13 09:18:47-03","UFRJ","RFA","23630","PreservedSpecimen","Plantae",NA,"Anemiaceae","Anemia","gardneri","Anemia gardneri","Hook.","V.L. Lima & L.S. Sylvestre","2011","09","21","F. Segadas-Vianna","1944","03","11","Brasil","Rio de Janeiro","Rio de Janeiro","Morro dos Cabritos","-43.2075004577637","-22.9027996063232","57442",NA,NA,"auto","333",NA,NA,NA,NA,NA,NA,NA,"RFA32118",NA,NA,NA
"8","2021-01-14 15:19:29-03","MN","R","86369","PreservedSpecimen","Plantae",NA,"Anemiaceae","Anemia","gardneri","Anemia gardneri","Hook.","Mickel, J.T.","2005",NA,NA,"s.col.",NA,NA,NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,"Herb. J. de Saldanha nº 6436; Herbário Amélia",NA,NA,NA,NA,NA,NA,NA,NA,NA,"R010039293","R010039293",NA,NA
"9","2021-01-14 15:19:29-03","MN","R","21389","PreservedSpecimen","Plantae",NA,"Anemiaceae","Anemia","gardneri","Anemia gardneri","Hook.","Mickel, J.T.","1961",NA,NA,"Brade, A.C.","1929","06","02","Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232","57442",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,"R010039288,R010039289,R010039290","R010039288 R010039289 R010039290",NA,NA
"10","2021-01-14 15:19:29-03","MN","R","16696","PreservedSpecimen","Plantae",NA,"Anemiaceae","Anemia","gardneri","Anemia gardneri","Hook.","Mickel, J.T.","1961",NA,NA,"Brade, A.C.","1928","06",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Corcovado","-43.2075004577637","-22.9027996063232","57442",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,"R010039285","R010039285",NA,NA
"11","2021-01-14 15:19:29-03","MN","R","1417","PreservedSpecimen","Plantae",NA,"Anemiaceae","Anemia","gardneri","Anemia gardneri","Hook.","Mickel, J.T.","1961",NA,NA,"Ule, E.H.G.","1899","09",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Tijuca","-43.2075004577637","-22.9027996063232","57442",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,"R010039282,R010039286,R010039287","R010039282 R010039286 R010039287",NA,NA
"12","2016-02-02 14:39:09-02","BGBM","B","B 20 0132807","S","Plantae",NA,"Schizaeaceae","Anemia","gardneri","Anemia gardneri","Hook.",NA,NA,NA,NA,"C. Brade","1828","10",NA,"Brazil",NA,NA,"Brazil, Rio Tijuca.",NA,NA,NA,NA,"Dr. E. Rosenstock, filicis brasiliensis exsicc. N. II. 231 <a href=http://herbarium.bgbm.org/object/B200132807 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>",NA,"8583",NA,NA,NA,"Middle and South America",NA,NA,NA,"B200132807","B200132807",NA,NA
"13","2016-02-02 14:39:09-02","BGBM","B","B 20 0132808","S","Plantae",NA,"Schizaeaceae","Anemia","gardneri","Anemia gardneri","Hook.",NA,NA,NA,NA,"Miers",NA,NA,NA,"Brazil",NA,NA,"Brazil, Rio Janeiro.",NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B200132808 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>",NA,NA,NA,NA,NA,"Middle and South America",NA,NA,NA,"B200132808","B200132808",NA,NA
"14","2019-02-15 11:50:27-02","IPA","IPA","24540","S","Plantae","Plantae","Schizaeaceae","Anemia","gardneri","Anemia gardneri","Hook.","Brade","1941",NA,NA,"Brade","1941","07","17","Brasil","Rio de Janeiro","Rio de Janeiro","Pico da Tijuca","-43.2075004577637","-22.9027996063232","57442",NA,NA,"auto","16855",NA,NA,NA,"Southern America","900","900",NA,"IPA0024540",NA,NA,NA
"15","2019-08-27 13:36:26-03","IAP","PACA-AGP","76054","PreservedSpecimen","Plantae","Pteridophyta","Schizaeaceae","Anemia","gardneri","Anemia gardneri","Hook.","A. Sehnem SJ",NA,NA,NA,"Schaefer","1958",NA,NA,"Brasil","MG","São Lourenço do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Polypodiales",NA,NA,NA,NA,"PACA076054",NA,"Filicopsida",NA
"16","2019-11-21 14:51:21-03","UFJF","CESJ","3118","PreservedSpecimen","Plantae","Polypodiopsida","Anemiaceae","Anemia","gardneri","Anemia gardneri","Hook.","A.C. Brade","1941",NA,NA,"A.C. Brade","1941",NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Pico da Tijuca","-43.2075004577637","-22.9027996063232","57442",NA,NA,"auto","16855",NA,NA,NA,"América do Sul","900","900",NA,"CESJ003118","CESJ003118",NA,NA
"17","2020-03-12 10:28:54-03","UFOP","OUPR","34139","PreservedSpecimen","Plantae",NA,"Anemiaceae","Anemia","gardneri","Anemia gardneri","Hook.","Pedrosa, L.G.","2019","05","02","Pedrosa, L.G.","2019","05","02","Brasil","Minas Gerais","Ouro Preto","Região de Lavras Novas.","-43.5080986022949","-20.2875003814697","44599",NA,"Erva rupícola, 10cm. Campo rupestre.","auto","1615",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-04-27 16:08:32-03","UFES","VIES","35595","S","Plantae",NA,"Anemiaceae","Anemia","gardneri","Anemia gardneri","Hook.","Manhães, V.C.","2013","01","07","Manhães, V.C.","2012","12","08","Brasil","Espírito Santo","Cachoeiro de Itapemirim","Sítio Dois Irmãos - Fazenda Andorinha.","-41.1128005981445","-20.8488998413086","35694",NA,NA,"auto","279",NA,NA,NA,NA,NA,NA,NA,"VIES035595","VIES035595",NA,NA
"19","2020-12-21 16:11:49-03","MBM","MBM","393026","PreservedSpecimen","Plantae",NA,"Anemiaceae","Anemia","gardneri","Anemia gardneri","Hook.","Matos, F.B.; Labiak, P.H.","2007","07",NA,"Labiak, P.H.; Matos, F.B.; Kaehler, M.; Fontana, A.P.; Matos, F.B.; Kaehler, M.; Fontana, A.P.","2007","07","13","Brazil","Espírito Santo","São Roque do Canaã","Alto Misterioso","-40.771944","-19.802778",NA,NA,"Rupícola exposta ao sol.; Afloramentos rochosos com vales úmidos de mata de encosta.",NA,"4108","-40.771944","-19.802778",NA,"Southern America","1130","1130",NA,"MBM393026","MBM393026",NA,NA
"20","2015-09-20 23:36:04-03","MNHN","RECOLNAT_MNHN_P","P00583961","PreservedSpecimen",NA,NA,"Pteridophyta","Anemia","gardneri","Anemia gardneri","Hook.","Mickel",NA,NA,NA,"Glaziou, A.","1868","12","19","Brésil",NA,NA,"Bico do Papagayo",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00583961' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,"hb","P00583961","P00583961_01",NA,"3175"
"21","2017-06-14 11:51:07-03","MNHN","RECOLNAT_MNHN_P","P00583964","PreservedSpecimen",NA,NA,"Pteridophyta","Anemia","gardneri","Anemia gardneri","Hook.","Mickel",NA,NA,NA,"Glaziou, A.",NA,NA,NA,"Brésil",NA,NA,"Bico del papagaio (voisin du pic de Tijuaca)",NA,NA,NA,NA,"sur la même planche d'herbier que P00583965 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00583964' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,"hb","P00583964","P00583964_01",NA,"2058"
