"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","typeStatus","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","relatedCatalogItem","fieldNumber","individualCount"
"11","2019-10-09 11:18:11-03","UFBA","ALCB","137871","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lauraceae","Ocotea","lobbii","Ocotea lobbii","(Meissn) Rohwer","Moraes, PLR de; Werff, H van der; Vergne, M; Pontes, TA; Siqueira, GS; Cruz, M","4607","2015","01","22","Southern America","Brasil","Espírito Santo","Linhares","Reserva Natural Vale.","-40.0722007751465","-19.3910999298096",NA,"1 m, frutos verdes.","ALCB068338","ALCB068338","Moraes, PLR de",NA,"2015","01",NA,"48094","auto",NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-02-08 09:36:30-03","NBC","NL-BOTANY","L 0036984","PreservedSpecimen","Plantae",NA,"Laurales","Lauraceae","Ocotea","lobbii","Ocotea lobbii","(Meisn.) Rohwer","Lobb W",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"Brasilia",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200036984 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0036984","NL-L0036984","Rohwer JG","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","292268",NA,NA
"13","2020-02-08 09:36:30-03","NBC","NL-BOTANY","U.1416436","PreservedSpecimen","Plantae",NA,"Laurales","Lauraceae","Ocotea","lobbii","Ocotea lobbii","(Meisn.) Rohwer","Widgren JF",NA,"1845","01","01","Southern America","Brazil",NA,NA,"Prov. Minas Geraes.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1416436 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1416436","NL-U1416436",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"14","2020-02-08 09:36:30-03","NBC","NL-BOTANY","WAG.1693532","PreservedSpecimen","Plantae",NA,"Laurales","Lauraceae","Ocotea","lobbii","Ocotea lobbii","(Meisn.) Rohwer","Hatschbach GG",NA,"1984","09","19","Southern America","Brazil",NA,NA,"Capão da Volta (mun. Ibiquara) Bahia.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1693532 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1693532","NL-WAG1693532",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"15","2020-11-04 11:12:04-03","ESALQ","ESA","65830","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lauraceae","Ocotea","lobbii","Ocotea lobbii","(Meisn.) Rohwer","Pereira, O.J.","1782.0","1988","08","30",NA,"Brasil","Espírito Santo","Vitória",NA,"-40.3377990722656","-20.3194007873535",NA,NA,"ESA065830",NA,"Moraes, P.L.R.",NA,NA,NA,NA,"15291","auto",NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-11-04 11:12:03-03","ESALQ","ESA","53898","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lauraceae","Ocotea","cf. lobbii","Ocotea cf. lobbii","(Meisn.) Rower","Lucas, E.J. et al.","898.0","2006","12","01",NA,"Brasil","Espírito Santo","Linhares",NA,NA,"-19.214",NA,NA,"ESA053898","ESA053898","Ribeiro, H.L.",NA,"2018","09","21",NA,NA,NA,"-19,214",NA,NA,NA,NA,NA,NA
"17","2020-11-04 11:12:04-03","ESALQ","ESA","53900","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lauraceae","Ocotea","lobbii","Ocotea lobbii",NA,"Lucas, E.J. et al.","900.0","2006","12","01",NA,"Brasil","Espírito Santo","Linhares",NA,NA,"-19.214",NA,NA,"ESA053900","ESA053900","Moraes, P.L.R.",NA,NA,NA,NA,NA,NA,NA,"-19,214",NA,NA,NA,NA,NA,NA
"18","2020-11-04 11:12:04-03","ESALQ","ESA","88041","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lauraceae","Ocotea","lobbii","Ocotea lobbii","(Meissner) Rohwer","Hatschbach, G. et al.","75198.0","2003","06","12",NA,"Brasil","Bahia","Canavieiras",NA,"-38.9472007751465","-15.6750001907349",NA,NA,"ESA088041","ESA088041","van der Werff, H.",NA,"2003","01","01","48203","auto",NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-11-04 11:12:04-03","ESALQ","ESA","114419","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lauraceae","Ocotea","lobbii","Ocotea lobbii",NA,"Popovkin, A.","601.0","2009","06","15",NA,"Brasil","Bahia","Entre Rios",NA,"-38.084400177002","-11.9419002532959",NA,NA,"ESA114419","ESA114419","Alves, F.M.",NA,NA,NA,NA,"52418","auto",NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-11-04 11:12:04-03","ESALQ","ESA","49969","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lauraceae","Ocotea","lobbii","Ocotea lobbii","(Meissn.) Rohwer","Gibran, M.","72.0","1990","05","09",NA,"Brasil","Espírito Santo","Itapemirim",NA,"-40.8339004516602","-21.011100769043",NA,NA,"ESA049969","ESA049969","Moraes, P.L.R.",NA,NA,NA,NA,"28626","auto",NA,NA,NA,NA,NA,NA,NA,NA
