"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","00960875","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","lagotois","Chamaecrista lagotois","H.S.Irwin & Barneby","M. M. T. Cota","M. Pereira","1023","1991","09","25","South America","Brazil","Minas Gerais","Santana do Riacho","Parque Nacional Serra do Cipó. Na regiao do Congonhas (AnM4)","-43.7142","-19.1692","1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051783' target='other'> <mi>dwc_moreinfo</mi></a>","NY00960875","NY00960875_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02681506","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","lagotois","Chamaecrista lagotois","H.S.Irwin & Barneby",NA,"A. M. Giulietti","CFSC12625","1991","07","28","South America","Brazil","Minas Gerais","Santana do Riacho","Parque Nacional da Serra do Cipó, descida da Serra das Bandeirinhas. Vide suplemento.","-43.7142","-19.1692",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2957424' target='other'> <mi>dwc_moreinfo</mi></a>","NY02681506","NY02681506_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","3827","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","lagotois","Chamaecrista lagotois","H.S.Irwin & Barneby",NA,"H. S. Irwin","20356","1968","02","17","South America","Brazil","Minas Gerais",NA,"Serra do Cipó ca km 105 (ca 130 km N of Belo Horizonte). Alt. 1150 m.","-43.4","-19",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=32533' target='other'> <mi>dwc_moreinfo</mi></a>","NY00003827","NY00003827_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","3826","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","lagotois","Chamaecrista lagotois","H.S.Irwin & Barneby",NA,"H. S. Irwin","20356","1968","02","17","South America","Brazil","Minas Gerais",NA,"Serra do Cipó ca km 105 (ca 130 km N of Belo Horizonte). Alt. 1150 m.","-43.4","-19",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=32532' target='other'> <mi>dwc_moreinfo</mi></a>","NY00003826","NY00003826_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-12 15:31:41-03","UFABC","HUFABC","001840","PreservedSpecimen","Plantae","Angiospermas",NA,"Fabaceae","Chamaecrista","lagotois","Chamaecrista lagotois","H.S.Irwin & Barneby",NA,"Prochazka, L S; Nogueira, A","30","2018","12","13",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, Trilha dos escravos, entrada da trilha pela MG 10.","-43.605833","-19.313444","941","941",NA,"Não foi observado nodulação. solo rochoso, pedregoso, arenoso e úmido (cinza e bege) com alguma matéria orgânica, aparentemente o solo possui calcário, individuo plaqueado 1560. Presença de um fruto seco com furos de herbivoria.; In","HUFABC001840",NA,NA,"-43.605833","-19.313444",NA,NA,NA,NA,NA,NA,NA
"6","2020-12-20 21:17:16-03","UFV","VIC","42415","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Chamaecrista","lagotois","Chamaecrista lagotois","H.S. Irwin & Barneby","Coutinho, Í.A.C.","Coutinho, Í.A.C.; et al.","408","2014","03","24",NA,"Brasil","Minas Gerais","Jaboticatubas","Serra do Cipó, Trilha dos escravos, campo rupestre.","-43.7449989318848","-19.513599395752",NA,NA,NA,"Cerca de 1m, abundante,apenas exemplares vegetativos.","VIC042415","VIC042415",NA,NA,NA,"2014","03","24","31264","auto",NA,NA
"7","2020-12-20 21:17:16-03","UFV","VIC","41416","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Chamaecrista","lagotois","Chamaecrista lagotois","H.S. Irwin & Barneby","Coutinho, Í.A.C.","Coutinho, Í.A.C.; et al.","407","2014","03","24",NA,"Brasil","Minas Gerais","Jaboticatubas","Serra do Cipó, Trilha dos escravos, campo rupestre.","-43.7449989318848","-19.513599395752",NA,NA,NA,"Cerca de 1m, abundante,apenas exemplares vegetativos.","VIC041416","VIC041416",NA,NA,NA,"2014","03","24","31264","auto",NA,NA
"8","2020-12-20 21:17:16-03","UFV","VIC","42414","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Chamaecrista","lagotois","Chamaecrista lagotois","H.S. Irwin & Barneby","Coutinho, Í.A.C.","Coutinho, Í.A.C.; et al.","409","2014","03","24",NA,"Brasil","Minas Gerais","Jaboticatubas","Serra do Cipó, Trilha dos escravos, campo rupestre.","-43.7449989318848","-19.513599395752",NA,NA,NA,"Cerca de 1m, abundante,apenas exemplares vegetativos.","VIC042414","VIC042414",NA,NA,NA,"2014","03","24","31264","auto",NA,NA
"9","2020-12-20 21:17:16-03","UFV","VIC","45770","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Chamaecrista","lagotois","Chamaecrista lagotois","H.S.Irwin & Barneby","Hervencio, P.","Giulietti, A.M.; et al.","CFSC12625","1991","07","28",NA,"Brasil","Minas Gerais","Santana do Riacho","Parque Nacional da Serra do Cipó., Descida da Serra das Bandeirinhas. Vide suplemento.","-43.7144012451172","-19.1688995361328",NA,NA,NA,"Arbusto 12m alt. Folhoso apenas no ápice.Sépalas verde-claras, pétalas e estames amarelos. Folhas glaucas e eretas em solo pedregoso na encosta aos Sol. Folha mucronada.; Sépalas verde-claras, pétalas e estames amarelos. Folhas glaucas","VIC045770","VIC045770",NA,NA,NA,"1997","01",NA,"26557","auto",NA,NA
"10","2019-08-20 10:12:41-03","UNICAMP","UEC","69878","S","Plantae","Magnoliopsida",NA,"Fabaceae","Chamaecrista","lagotois","Chamaecrista lagotois","H.S.Irwin & Barneby","Hervêncio, P","Pereira, M","1023","1991","09","25",NA,"Brazil","Minas Gerais","Santana do Riacho","Área III, P.1 (Ar. M.4). Campo rupestre.","-43.7144012451172","-19.1688995361328",NA,NA,NA,"Arbusto mais ou menos 90cm, folhasconcolores com borda amarelada. Flores amarelas, cálice verde - amarelado. Manchas vináceas na base das pétalas, estames amarelos.","UEC145598",NA,NA,NA,NA,"2000","03",NA,"26557","auto",NA,NA
