"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","year","month","day","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","county","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","typeStatus","fieldNumber","individualCount","class","relatedCatalogItem"
"1","2020-09-23 10:44:05-03","E","E","191509","PreservedSpecimen","Plantae","Umbelliferae","Eryngium","eurycephalum","Eryngium eurycephalum","Bang, A. Miguel","1820","W. Tropical South America","BO","herbarium specimen of unspecif","BGBASE:197092","<a href=http://data.rbge.org.uk/herb/E00191509 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00191509",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","617497","PreservedSpecimen","Plantae","Apiaceae","Eryngium","eurycephalum","Eryngium eurycephalum","J. W. C. Harshberger","3314","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=250627' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617497","Magnoliophyta","Apiales","Malme","L. Constance","1927","07","23","São Paulo","Campos do Jordao","-45.540301","-22.687374","1585.0","1585.0","NY00617497_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00877733","PreservedSpecimen","Plantae","Apiaceae","Eryngium","eurycephalum","Eryngium eurycephalum","G. G. Hatschbach","30150","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=943505' target='other'> <mi>dwc_moreinfo</mi></a>","NY00877733","Magnoliophyta","Apiales","Malme","L. Constance","1972","08","10","Minas Gerais","Rod. MG-2, prox. a Pedro Less.","-43.3792","-18.6047",NA,NA,"NY00877733_01","Serro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00877734","PreservedSpecimen","Plantae","Apiaceae","Eryngium","eurycephalum","Eryngium eurycephalum","A. P. Duarte","2122","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=943508' target='other'> <mi>dwc_moreinfo</mi></a>","NY00877734","Magnoliophyta","Apiales","Malme","L. Constance","1949","12","05","Minas Gerais","Serra do Cipó, km. 131.","-43.499904","-19.221042","1100","1100","NY00877734_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","617597","PreservedSpecimen","Plantae","Apiaceae","Eryngium","eurycephalum","Eryngium eurycephalum","W. Hoehne","s.n.","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=645754' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617597","Magnoliophyta","Apiales","Malme","D. Lucas","1942","01","14","São Paulo","Próximo à Sao Miguel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","617496","PreservedSpecimen","Plantae","Apiaceae","Eryngium","eurycephalum","Eryngium eurycephalum","A. F. M. Glaziou","17015","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=250626' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617496","Magnoliophyta","Apiales","Malme","L. Constance",NA,NA,NA,"Rio de Janeiro",NA,NA,NA,NA,NA,"NY00617496_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","617494","PreservedSpecimen","Plantae","Apiaceae","Eryngium","eurycephalum","Eryngium eurycephalum","R. M. Tryon","6723","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=250630' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617494","Magnoliophyta","Apiales","Malme","L. B. Smith","1965","11","05","Rio de Janeiro","Planalto of Itatiaia (mountain), 150 km west-northwest of Rio de Janeiro",NA,NA,NA,NA,"NY00617494_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00877728","PreservedSpecimen","Plantae","Apiaceae","Eryngium","eurycephalum","Eryngium eurycephalum","H. S. Irwin","20240","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=943478' target='other'> <mi>dwc_moreinfo</mi></a>","NY00877728","Magnoliophyta","Apiales","Malme","L. Constance","1968","02","16","Minas Gerais","Serra do Cipó, km 132, (ca. 153km N. of Belo Horizonte).","-43.68","-18.57","1300","1300","NY00877728_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00877730","PreservedSpecimen","Plantae","Apiaceae","Eryngium","eurycephalum","Eryngium eurycephalum","H. S. Irwin","22851","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=943487' target='other'> <mi>dwc_moreinfo</mi></a>","NY00877730","Magnoliophyta","Apiales","Malme","L. Constance","1969","01","29","Minas Gerais","Ca. 7km NE of Diamantina, road to Mendanha. Serra do Espinhaço.","-43.57","-18.2","1300","1300","NY00877730_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00877731","PreservedSpecimen","Plantae","Apiaceae","Eryngium","eurycephalum","Eryngium eurycephalum","H. S. Irwin","29417","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=943489' target='other'> <mi>dwc_moreinfo</mi></a>","NY00877731","Magnoliophyta","Apiales","Malme","L. Constance","1971","01","30","Minas Gerais","Serra do Espinhaço, on summit of Pico de Itacolomi, ca. 3 km S. of Ouro Preto","-43.5058333","-20.3874","1850","1850","NY00877731_01","Ouro Preto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
